Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0053605,   -0.0060229
  -20.0000000,    2.5000000,    0.0060129,   -0.0068062
  -20.0000000,    5.0000000,    0.0078953,   -0.0071808
  -20.0000000,    7.5000000,    0.0105060,   -0.0071408
  -20.0000000,   10.0000000,    0.0116507,   -0.0060036
  -20.0000000,   12.5000000,    0.0166169,   -0.0080753
  -20.0000000,   15.0000000,    0.0175159,    0.0023278
  -20.0000000,   17.5000000,    0.0122575,    0.0013590
  -20.0000000,   20.0000000,    0.0143601,    0.0056693
  -20.0000000,   22.5000000,    0.0074127,    0.0051099
  -20.0000000,   25.0000000,    0.0211828,    0.0057295
  -20.0000000,   27.5000000,    0.0149199,    0.0260309
  -20.0000000,   30.0000000,    0.0056060,    0.0226939
  -20.0000000,   32.5000000,    0.0045277,    0.0283591
  -20.0000000,   35.0000000,   -0.0034659,    0.0249633
  -20.0000000,   37.5000000,   -0.0022468,    0.0259322
  -20.0000000,   40.0000000,   -0.0108918,    0.0241502
  -20.0000000,   42.5000000,   -0.0092537,    0.0199251
  -20.0000000,   45.0000000,   -0.0147830,    0.0129240
  -20.0000000,   47.5000000,   -0.0016398,    0.0031554
  -20.0000000,   50.0000000,    0.0000260,    0.0174851
  -20.0000000,   52.5000000,   -0.0097395,    0.0072002
  -20.0000000,   55.0000000,   -0.0116493,   -0.0023020
  -20.0000000,   57.5000000,   -0.0051308,   -0.0182041
  -20.0000000,   60.0000000,    0.0115148,   -0.0130907
  -20.0000000,   62.5000000,    0.0170790,   -0.0062767
  -20.0000000,   65.0000000,    0.0241051,    0.0146246
  -20.0000000,   67.5000000,    0.0067131,    0.0279889
  -20.0000000,   70.0000000,    0.0003503,    0.0254032
  -20.0000000,   72.5000000,   -0.0126868,    0.0270473
  -20.0000000,   75.0000000,   -0.0170829,    0.0102898
  -20.0000000,   77.5000000,   -0.0039544,    0.0042297
  -20.0000000,   80.0000000,    0.0018895,    0.0154375
  -20.0000000,   82.5000000,   -0.0047019,    0.0162771
  -20.0000000,   85.0000000,   -0.0039315,    0.0148936
  -20.0000000,   87.5000000,   -0.0094623,    0.0153778
  -20.0000000,   90.0000000,   -0.0063902,    0.0062251
  -20.0000000,   92.5000000,   -0.0012251,    0.0098221
  -20.0000000,   95.0000000,   -0.0010911,    0.0121109
  -20.0000000,   97.5000000,    0.0002069,    0.0099908
  -20.0000000,  100.0000000,    0.0042243,    0.0128700
  -20.0000000,  102.5000000,   -0.0007108,    0.0172840
  -20.0000000,  105.0000000,   -0.0025090,    0.0125672
  -20.0000000,  107.5000000,   -0.0003704,    0.0158038
  -20.0000000,  110.0000000,   -0.0010883,    0.0179233
  -20.0000000,  112.5000000,   -0.0019205,    0.0201007
  -20.0000000,  115.0000000,   -0.0029819,    0.0227029
  -20.0000000,  117.5000000,   -0.0045286,    0.0226243
  -20.0000000,  120.0000000,    0.0023521,    0.0195990
  -20.0000000,  122.5000000,    0.0070963,    0.0297304
  -20.0000000,  125.0000000,   -0.0008951,    0.0390484
  -20.0000000,  127.5000000,   -0.0113904,    0.0404398
  -20.0000000,  130.0000000,   -0.0167255,    0.0390871
  -20.0000000,  132.5000000,   -0.0243426,    0.0397426
  -20.0000000,  135.0000000,   -0.0283747,    0.0344899
  -20.0000000,  137.5000000,   -0.0318739,    0.0333963
  -20.0000000,  140.0000000,   -0.0347429,    0.0312379
  -20.0000000,  142.5000000,   -0.0429757,    0.0335948
  -20.0000000,  145.0000000,   -0.0578933,    0.0257124
  -20.0000000,  147.5000000,   -0.0657309,    0.0106252
  -20.0000000,  150.0000000,   -0.0637048,   -0.0107973
  -20.0000000,  152.5000000,   -0.0520915,   -0.0240275
  -20.0000000,  155.0000000,   -0.0403042,   -0.0298551
  -20.0000000,  157.5000000,   -0.0312520,   -0.0284776
  -20.0000000,  160.0000000,   -0.0298506,   -0.0256333
  -20.0000000,  162.5000000,   -0.0270883,   -0.0294248
  -20.0000000,  165.0000000,   -0.0185960,   -0.0294098
  -20.0000000,  167.5000000,   -0.0157096,   -0.0210788
  -20.0000000,  170.0000000,   -0.0234623,   -0.0287273
  -20.0000000,  172.5000000,   -0.0027635,   -0.0371181
  -20.0000000,  175.0000000,    0.0043895,   -0.0160357
  -20.0000000,  177.5000000,   -0.0027520,   -0.0154363
  -20.0000000,  180.0000000,    0.0011946,   -0.0124736
  -20.0000000,  182.5000000,   -0.0054516,   -0.0083689
  -20.0000000,  185.0000000,   -0.0012494,   -0.0117059
  -20.0000000,  187.5000000,   -0.0020358,   -0.0058081
  -20.0000000,  190.0000000,   -0.0037787,   -0.0021877
  -20.0000000,  192.5000000,   -0.0067364,    0.0050551
  -20.0000000,  195.0000000,   -0.0159424,    0.0039211
  -20.0000000,  197.5000000,   -0.0187428,    0.0001360
  -20.0000000,  200.0000000,   -0.0206407,   -0.0067764
  -20.0000000,  202.5000000,   -0.0102463,   -0.0183054
  -20.0000000,  205.0000000,    0.0025673,   -0.0108277
  -20.0000000,  207.5000000,    0.0001082,    0.0014800
  -20.0000000,  210.0000000,   -0.0124788,    0.0010218
  -20.0000000,  212.5000000,   -0.0121445,   -0.0058801
  -20.0000000,  215.0000000,   -0.0123525,    0.0033352
  -20.0000000,  217.5000000,   -0.0279511,   -0.0004405
  -20.0000000,  220.0000000,   -0.0320921,   -0.0145716
  -20.0000000,  222.5000000,   -0.0300635,   -0.0268567
  -20.0000000,  225.0000000,   -0.0229028,   -0.0381151
  -20.0000000,  227.5000000,   -0.0112599,   -0.0435310
  -20.0000000,  230.0000000,    0.0036688,   -0.0372198
  -20.0000000,  232.5000000,    0.0018048,   -0.0313603
  -20.0000000,  235.0000000,    0.0137036,   -0.0286335
  -20.0000000,  237.5000000,    0.0123645,   -0.0062855
  -20.0000000,  240.0000000,    0.0018595,   -0.0069069
  -20.0000000,  242.5000000,    0.0015615,   -0.0050213
  -20.0000000,  245.0000000,    0.0000125,   -0.0063820
  -20.0000000,  247.5000000,   -0.0005994,   -0.0018350
  -20.0000000,  250.0000000,   -0.0048191,   -0.0051596
  -20.0000000,  252.5000000,   -0.0012193,   -0.0058694
  -20.0000000,  255.0000000,   -0.0011510,   -0.0036891
  -20.0000000,  257.5000000,   -0.0039874,    0.0018553
  -20.0000000,  260.0000000,   -0.0124127,   -0.0014293
  -20.0000000,  262.5000000,   -0.0121529,   -0.0083177
  -20.0000000,  265.0000000,   -0.0087677,   -0.0119394
  -20.0000000,  267.5000000,   -0.0062546,   -0.0107196
  -20.0000000,  270.0000000,   -0.0051161,   -0.0113627
  -20.0000000,  272.5000000,   -0.0049993,   -0.0082351
  -20.0000000,  275.0000000,   -0.0095048,   -0.0114406
  -20.0000000,  277.5000000,   -0.0066659,   -0.0146251
  -20.0000000,  280.0000000,   -0.0053446,   -0.0162549
  -20.0000000,  282.5000000,   -0.0031760,   -0.0153591
  -20.0000000,  285.0000000,   -0.0071320,   -0.0180704
  -20.0000000,  287.5000000,   -0.0032229,   -0.0265455
  -20.0000000,  290.0000000,    0.0076209,   -0.0285418
  -20.0000000,  292.5000000,    0.0149795,   -0.0226140
  -20.0000000,  295.0000000,    0.0204417,   -0.0201884
  -20.0000000,  297.5000000,    0.0185076,   -0.0045515
  -20.0000000,  300.0000000,    0.0094166,   -0.0121410
  -20.0000000,  302.5000000,    0.0227588,   -0.0123214
  -20.0000000,  305.0000000,    0.0220123,   -0.0133509
  -20.0000000,  307.5000000,    0.0415599,   -0.0078210
  -20.0000000,  310.0000000,    0.0324273,    0.0320248
  -20.0000000,  312.5000000,    0.0000527,    0.0362958
  -20.0000000,  315.0000000,   -0.0176043,    0.0238134
  -20.0000000,  317.5000000,   -0.0187385,    0.0101880
  -20.0000000,  320.0000000,   -0.0209979,    0.0033383
  -20.0000000,  322.5000000,   -0.0146623,   -0.0141745
  -20.0000000,  325.0000000,   -0.0072789,   -0.0197616
  -20.0000000,  327.5000000,    0.0046795,   -0.0266690
  -20.0000000,  330.0000000,    0.0134763,   -0.0164767
  -20.0000000,  332.5000000,    0.0164613,   -0.0102110
  -20.0000000,  335.0000000,    0.0139189,    0.0031533
  -20.0000000,  337.5000000,    0.0038831,    0.0005913
