Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0057155,   -0.0089970
  -20.0000000,    2.5000000,    0.0066761,   -0.0071759
  -20.0000000,    5.0000000,    0.0041922,   -0.0057450
  -20.0000000,    7.5000000,    0.0025148,   -0.0066196
  -20.0000000,   10.0000000,    0.0015662,   -0.0076652
  -20.0000000,   12.5000000,    0.0007779,   -0.0029180
  -20.0000000,   15.0000000,   -0.0162246,   -0.0089275
  -20.0000000,   17.5000000,   -0.0089365,   -0.0264684
  -20.0000000,   20.0000000,   -0.0002760,   -0.0195543
  -20.0000000,   22.5000000,    0.0004145,   -0.0233936
  -20.0000000,   25.0000000,    0.0095305,   -0.0208225
  -20.0000000,   27.5000000,    0.0147330,   -0.0228722
  -20.0000000,   30.0000000,    0.0243557,   -0.0122615
  -20.0000000,   32.5000000,    0.0138655,   -0.0045344
  -20.0000000,   35.0000000,    0.0106156,   -0.0094376
  -20.0000000,   37.5000000,    0.0121569,   -0.0116389
  -20.0000000,   40.0000000,    0.0150623,   -0.0155149
  -20.0000000,   42.5000000,    0.0230050,   -0.0159808
  -20.0000000,   45.0000000,    0.0259274,   -0.0063676
  -20.0000000,   47.5000000,    0.0243958,   -0.0057963
  -20.0000000,   50.0000000,    0.0305033,    0.0036608
  -20.0000000,   52.5000000,    0.0182666,    0.0104889
  -20.0000000,   55.0000000,    0.0160275,    0.0034689
  -20.0000000,   57.5000000,    0.0152798,    0.0046691
  -20.0000000,   60.0000000,    0.0145131,    0.0038409
  -20.0000000,   62.5000000,    0.0151094,    0.0050420
  -20.0000000,   65.0000000,    0.0156704,    0.0083249
  -20.0000000,   67.5000000,    0.0122709,    0.0098406
  -20.0000000,   70.0000000,    0.0136133,    0.0157455
  -20.0000000,   72.5000000,   -0.0008617,    0.0210501
  -20.0000000,   75.0000000,   -0.0045293,    0.0095809
  -20.0000000,   77.5000000,   -0.0034003,    0.0158286
  -20.0000000,   80.0000000,   -0.0135009,    0.0071683
  -20.0000000,   82.5000000,   -0.0088965,   -0.0000857
  -20.0000000,   85.0000000,   -0.0077825,   -0.0018741
  -20.0000000,   87.5000000,   -0.0063836,   -0.0050542
  -20.0000000,   90.0000000,   -0.0038637,   -0.0099147
  -20.0000000,   92.5000000,    0.0018156,   -0.0088827
  -20.0000000,   95.0000000,   -0.0004986,   -0.0065969
  -20.0000000,   97.5000000,    0.0015281,   -0.0109690
  -20.0000000,  100.0000000,    0.0035850,   -0.0079382
  -20.0000000,  102.5000000,    0.0017793,   -0.0051049
  -20.0000000,  105.0000000,   -0.0001046,   -0.0104681
  -20.0000000,  107.5000000,    0.0077178,   -0.0119682
  -20.0000000,  110.0000000,    0.0098117,   -0.0081109
  -20.0000000,  112.5000000,    0.0143105,   -0.0087033
  -20.0000000,  115.0000000,    0.0162749,    0.0003124
  -20.0000000,  117.5000000,    0.0107822,    0.0049462
  -20.0000000,  120.0000000,    0.0046494,    0.0068531
  -20.0000000,  122.5000000,    0.0013928,    0.0052939
  -20.0000000,  125.0000000,   -0.0022288,    0.0092804
  -20.0000000,  127.5000000,   -0.0119525,    0.0072989
  -20.0000000,  130.0000000,   -0.0179016,   -0.0008637
  -20.0000000,  132.5000000,   -0.0162421,   -0.0151174
  -20.0000000,  135.0000000,   -0.0009244,   -0.0181085
  -20.0000000,  137.5000000,    0.0008816,   -0.0139952
  -20.0000000,  140.0000000,    0.0024076,   -0.0196439
  -20.0000000,  142.5000000,    0.0114549,   -0.0211070
  -20.0000000,  145.0000000,    0.0184442,   -0.0124460
  -20.0000000,  147.5000000,    0.0160623,   -0.0079563
  -20.0000000,  150.0000000,    0.0162084,   -0.0067796
  -20.0000000,  152.5000000,    0.0133518,   -0.0055579
  -20.0000000,  155.0000000,    0.0143751,   -0.0075239
  -20.0000000,  157.5000000,    0.0170886,   -0.0046767
  -20.0000000,  160.0000000,    0.0173343,   -0.0040069
  -20.0000000,  162.5000000,    0.0205362,   -0.0035766
  -20.0000000,  165.0000000,    0.0243075,    0.0027913
  -20.0000000,  167.5000000,    0.0240166,    0.0074765
  -20.0000000,  170.0000000,    0.0252512,    0.0154080
  -20.0000000,  172.5000000,    0.0173687,    0.0191007
  -20.0000000,  175.0000000,    0.0199277,    0.0179186
  -20.0000000,  177.5000000,    0.0123633,    0.0255393
  -20.0000000,  180.0000000,    0.0058045,    0.0213450
  -20.0000000,  182.5000000,   -0.0015016,    0.0229434
  -20.0000000,  185.0000000,   -0.0049098,    0.0080301
  -20.0000000,  187.5000000,    0.0054040,    0.0107372
  -20.0000000,  190.0000000,   -0.0033479,    0.0118662
  -20.0000000,  192.5000000,   -0.0021613,    0.0076004
  -20.0000000,  195.0000000,   -0.0079783,    0.0052077
  -20.0000000,  197.5000000,   -0.0025914,   -0.0001014
  -20.0000000,  200.0000000,    0.0011831,    0.0004083
  -20.0000000,  202.5000000,    0.0097079,   -0.0008512
  -20.0000000,  205.0000000,    0.0117741,    0.0129599
  -20.0000000,  207.5000000,    0.0001211,    0.0143999
  -20.0000000,  210.0000000,   -0.0011888,    0.0108955
  -20.0000000,  212.5000000,   -0.0014292,    0.0154255
  -20.0000000,  215.0000000,   -0.0102268,    0.0207012
  -20.0000000,  217.5000000,   -0.0194692,    0.0155232
  -20.0000000,  220.0000000,   -0.0200694,   -0.0000209
  -20.0000000,  222.5000000,   -0.0082574,   -0.0038465
  -20.0000000,  225.0000000,   -0.0071359,    0.0059683
  -20.0000000,  227.5000000,   -0.0213677,    0.0022827
  -20.0000000,  230.0000000,   -0.0155111,   -0.0153847
  -20.0000000,  232.5000000,    0.0020911,   -0.0155882
  -20.0000000,  235.0000000,    0.0069039,   -0.0059948
  -20.0000000,  237.5000000,    0.0001922,    0.0014487
  -20.0000000,  240.0000000,   -0.0018024,   -0.0078808
  -20.0000000,  242.5000000,    0.0134844,   -0.0016796
  -20.0000000,  245.0000000,    0.0036878,    0.0134644
  -20.0000000,  247.5000000,   -0.0051588,    0.0097853
  -20.0000000,  250.0000000,   -0.0038036,    0.0086921
  -20.0000000,  252.5000000,   -0.0067696,    0.0079011
  -20.0000000,  255.0000000,   -0.0063087,    0.0051746
  -20.0000000,  257.5000000,   -0.0053643,    0.0068691
  -20.0000000,  260.0000000,   -0.0078142,    0.0080778
  -20.0000000,  262.5000000,   -0.0109010,    0.0069440
  -20.0000000,  265.0000000,   -0.0133247,    0.0014157
  -20.0000000,  267.5000000,   -0.0086508,    0.0014177
  -20.0000000,  270.0000000,   -0.0096996,    0.0020141
  -20.0000000,  272.5000000,   -0.0072364,    0.0026896
  -20.0000000,  275.0000000,   -0.0090390,    0.0044366
  -20.0000000,  277.5000000,   -0.0067143,    0.0052296
  -20.0000000,  280.0000000,   -0.0070382,    0.0086280
  -20.0000000,  282.5000000,   -0.0046741,    0.0117679
  -20.0000000,  285.0000000,   -0.0106188,    0.0170968
  -20.0000000,  287.5000000,   -0.0133358,    0.0152157
  -20.0000000,  290.0000000,   -0.0137255,    0.0194001
  -20.0000000,  292.5000000,   -0.0209460,    0.0328205
  -20.0000000,  295.0000000,   -0.0570238,    0.0289610
  -20.0000000,  297.5000000,   -0.0708704,   -0.0057941
  -20.0000000,  300.0000000,   -0.0631842,   -0.0218671
  -20.0000000,  302.5000000,   -0.0539317,   -0.0494714
  -20.0000000,  305.0000000,   -0.0356222,   -0.0542717
  -20.0000000,  307.5000000,   -0.0261705,   -0.0651219
  -20.0000000,  310.0000000,    0.0031342,   -0.0618428
  -20.0000000,  312.5000000,    0.0101799,   -0.0460628
  -20.0000000,  315.0000000,    0.0158264,   -0.0313309
  -20.0000000,  317.5000000,    0.0081622,   -0.0231274
  -20.0000000,  320.0000000,    0.0139147,   -0.0241410
  -20.0000000,  322.5000000,    0.0167371,   -0.0166792
  -20.0000000,  325.0000000,    0.0199627,   -0.0113743
  -20.0000000,  327.5000000,    0.0130392,    0.0030229
  -20.0000000,  330.0000000,    0.0022324,   -0.0018466
  -20.0000000,  332.5000000,   -0.0001808,   -0.0074754
  -20.0000000,  335.0000000,    0.0048698,   -0.0134673
  -20.0000000,  337.5000000,    0.0055649,   -0.0072463
  -20.0000000,  340.0000000,    0.0030894,   -0.0132610
  -20.0000000,  342.5000000,    0.0060380,   -0.0109424
  -20.0000000,  345.0000000,    0.0060243,   -0.0113369
  -20.0000000,  347.5000000,    0.0080434,   -0.0092269
  -20.0000000,  350.0000000,    0.0050947,   -0.0072691
  -20.0000000,  352.5000000,    0.0051504,   -0.0051129
  -20.0000000,  355.0000000,   -0.0004857,   -0.0079164
  -20.0000000,  357.5000000,    0.0042016,   -0.0117961
  -17.5000000,    0.0000000,    0.0052566,   -0.0060954
  -17.5000000,    2.5000000,    0.0061157,   -0.0072351
  -17.5000000,    5.0000000,    0.0046656,   -0.0035219
  -17.5000000,    7.5000000,    0.0013042,   -0.0044351
  -17.5000000,   10.0000000,    0.0026991,   -0.0010162
  -17.5000000,   12.5000000,   -0.0112644,    0.0055303
  -17.5000000,   15.0000000,   -0.0329595,   -0.0131393
  -17.5000000,   17.5000000,   -0.0162507,   -0.0377415
  -17.5000000,   20.0000000,    0.0043986,   -0.0264481
  -17.5000000,   22.5000000,   -0.0001102,   -0.0241149
  -17.5000000,   25.0000000,    0.0142761,   -0.0321954
  -17.5000000,   27.5000000,    0.0260758,   -0.0160859
  -17.5000000,   30.0000000,    0.0183824,   -0.0073901
  -17.5000000,   32.5000000,    0.0162185,   -0.0064097
  -17.5000000,   35.0000000,    0.0147546,   -0.0044234
  -17.5000000,   37.5000000,    0.0113564,   -0.0054621
  -17.5000000,   40.0000000,    0.0135829,   -0.0117562
  -17.5000000,   42.5000000,    0.0212501,   -0.0047101
  -17.5000000,   45.0000000,    0.0102836,    0.0004199
  -17.5000000,   47.5000000,    0.0122473,   -0.0103605
  -17.5000000,   50.0000000,    0.0253397,   -0.0014496
  -17.5000000,   52.5000000,    0.0190514,    0.0080487
  -17.5000000,   55.0000000,    0.0119016,    0.0064235
  -17.5000000,   57.5000000,    0.0100244,    0.0037031
  -17.5000000,   60.0000000,    0.0125679,    0.0033858
  -17.5000000,   62.5000000,    0.0115677,    0.0076599
  -17.5000000,   65.0000000,    0.0079878,    0.0091528
  -17.5000000,   67.5000000,    0.0064220,    0.0132919
  -17.5000000,   70.0000000,    0.0017223,    0.0150100
  -17.5000000,   72.5000000,   -0.0024843,    0.0154739
  -17.5000000,   75.0000000,   -0.0083646,    0.0124777
  -17.5000000,   77.5000000,   -0.0099075,    0.0093208
  -17.5000000,   80.0000000,   -0.0154640,    0.0041549
  -17.5000000,   82.5000000,   -0.0120261,   -0.0049515
  -17.5000000,   85.0000000,   -0.0095154,   -0.0055115
  -17.5000000,   87.5000000,   -0.0095159,   -0.0087347
  -17.5000000,   90.0000000,   -0.0060288,   -0.0100746
  -17.5000000,   92.5000000,   -0.0050530,   -0.0100181
  -17.5000000,   95.0000000,   -0.0037099,   -0.0112685
  -17.5000000,   97.5000000,   -0.0025601,   -0.0123842
  -17.5000000,  100.0000000,   -0.0022611,   -0.0124575
  -17.5000000,  102.5000000,    0.0008889,   -0.0127167
  -17.5000000,  105.0000000,    0.0016009,   -0.0096012
  -17.5000000,  107.5000000,    0.0011171,   -0.0100283
  -17.5000000,  110.0000000,    0.0044997,   -0.0114954
  -17.5000000,  112.5000000,    0.0082937,   -0.0088317
  -17.5000000,  115.0000000,    0.0078857,   -0.0048128
  -17.5000000,  117.5000000,    0.0063862,   -0.0013186
  -17.5000000,  120.0000000,    0.0024954,    0.0003965
  -17.5000000,  122.5000000,   -0.0015799,    0.0032333
  -17.5000000,  125.0000000,   -0.0137136,    0.0036437
  -17.5000000,  127.5000000,   -0.0217935,   -0.0073804
  -17.5000000,  130.0000000,   -0.0172047,   -0.0206634
  -17.5000000,  132.5000000,   -0.0037115,   -0.0276828
  -17.5000000,  135.0000000,    0.0048665,   -0.0244619
  -17.5000000,  137.5000000,    0.0097823,   -0.0232374
  -17.5000000,  140.0000000,    0.0108524,   -0.0235583
  -17.5000000,  142.5000000,    0.0234602,   -0.0253607
  -17.5000000,  145.0000000,    0.0281287,   -0.0074048
  -17.5000000,  147.5000000,    0.0182185,   -0.0025854
  -17.5000000,  150.0000000,    0.0151070,   -0.0023691
  -17.5000000,  152.5000000,    0.0123337,   -0.0057166
  -17.5000000,  155.0000000,    0.0154399,   -0.0060959
  -17.5000000,  157.5000000,    0.0164224,   -0.0065306
  -17.5000000,  160.0000000,    0.0205480,   -0.0043785
  -17.5000000,  162.5000000,    0.0284626,    0.0027346
  -17.5000000,  165.0000000,    0.0273110,    0.0173826
  -17.5000000,  167.5000000,    0.0187918,    0.0214927
  -17.5000000,  170.0000000,    0.0144603,    0.0256858
  -17.5000000,  172.5000000,    0.0080648,    0.0249816
  -17.5000000,  175.0000000,    0.0001507,    0.0253671
  -17.5000000,  177.5000000,   -0.0092115,    0.0134991
  -17.5000000,  180.0000000,   -0.0064576,    0.0079098
  -17.5000000,  182.5000000,   -0.0068822,   -0.0026643
  -17.5000000,  185.0000000,    0.0084988,    0.0000003
  -17.5000000,  187.5000000,    0.0005839,    0.0077761
  -17.5000000,  190.0000000,   -0.0022168,    0.0043404
  -17.5000000,  192.5000000,   -0.0076696,    0.0039497
  -17.5000000,  195.0000000,    0.0002308,   -0.0007925
  -17.5000000,  197.5000000,   -0.0013709,    0.0018585
  -17.5000000,  200.0000000,    0.0075432,   -0.0030026
  -17.5000000,  202.5000000,    0.0114063,    0.0115169
  -17.5000000,  205.0000000,    0.0014684,    0.0139870
  -17.5000000,  207.5000000,   -0.0084449,    0.0146292
  -17.5000000,  210.0000000,   -0.0155757,    0.0042052
  -17.5000000,  212.5000000,   -0.0100816,    0.0002826
  -17.5000000,  215.0000000,   -0.0067361,    0.0014574
  -17.5000000,  217.5000000,   -0.0114306,    0.0065196
  -17.5000000,  220.0000000,   -0.0157920,   -0.0060428
  -17.5000000,  222.5000000,   -0.0064784,   -0.0008889
