Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,   -0.0029749,   -0.0019719
  -20.0000000,    2.5000000,   -0.0035496,   -0.0036431
  -20.0000000,    5.0000000,   -0.0030060,   -0.0044949
  -20.0000000,    7.5000000,   -0.0022817,   -0.0044978
  -20.0000000,   10.0000000,   -0.0013105,   -0.0036800
  -20.0000000,   12.5000000,   -0.0025433,   -0.0023486
  -20.0000000,   15.0000000,   -0.0036256,   -0.0024353
  -20.0000000,   17.5000000,   -0.0036254,   -0.0026930
  -20.0000000,   20.0000000,   -0.0053282,   -0.0019167
  -20.0000000,   22.5000000,   -0.0072684,   -0.0023689
  -20.0000000,   25.0000000,   -0.0081699,   -0.0054495
  -20.0000000,   27.5000000,   -0.0063189,   -0.0067130
  -20.0000000,   30.0000000,   -0.0064424,   -0.0088934
  -20.0000000,   32.5000000,   -0.0020201,   -0.0102680
  -20.0000000,   35.0000000,   -0.0026829,   -0.0063447
  -20.0000000,   37.5000000,   -0.0070833,   -0.0074612
  -20.0000000,   40.0000000,   -0.0102023,   -0.0145101
  -20.0000000,   42.5000000,   -0.0035803,   -0.0222452
  -20.0000000,   45.0000000,   -0.0005766,   -0.0223612
  -20.0000000,   47.5000000,    0.0071978,   -0.0302476
  -20.0000000,   50.0000000,    0.0213409,   -0.0213953
  -20.0000000,   52.5000000,    0.0196476,   -0.0099625
  -20.0000000,   55.0000000,    0.0150298,    0.0008260
  -20.0000000,   57.5000000,    0.0064995,    0.0027118
  -20.0000000,   60.0000000,    0.0066649,    0.0025973
  -20.0000000,   62.5000000,    0.0033182,    0.0042655
  -20.0000000,   65.0000000,    0.0033052,    0.0014858
  -20.0000000,   67.5000000,    0.0037115,    0.0005042
  -20.0000000,   70.0000000,    0.0028436,   -0.0009650
  -20.0000000,   72.5000000,    0.0038675,   -0.0032797
  -20.0000000,   75.0000000,    0.0071060,   -0.0011547
  -20.0000000,   77.5000000,    0.0055498,    0.0016098
  -20.0000000,   80.0000000,    0.0066867,    0.0022199
  -20.0000000,   82.5000000,    0.0025631,    0.0054051
  -20.0000000,   85.0000000,   -0.0016922,   -0.0000016
  -20.0000000,   87.5000000,    0.0023791,   -0.0047516
  -20.0000000,   90.0000000,    0.0037294,   -0.0026933
  -20.0000000,   92.5000000,    0.0019267,   -0.0063587
  -20.0000000,   95.0000000,    0.0089250,   -0.0096098
  -20.0000000,   97.5000000,    0.0121018,   -0.0053629
  -20.0000000,  100.0000000,    0.0155166,   -0.0013906
  -20.0000000,  102.5000000,    0.0139842,    0.0080102
  -20.0000000,  105.0000000,    0.0071644,    0.0096662
  -20.0000000,  107.5000000,    0.0069231,    0.0101643
  -20.0000000,  110.0000000,    0.0037996,    0.0113358
  -20.0000000,  112.5000000,    0.0020144,    0.0103030
  -20.0000000,  115.0000000,    0.0006281,    0.0096574
  -20.0000000,  117.5000000,    0.0009869,    0.0079929
  -20.0000000,  120.0000000,   -0.0019997,    0.0077431
  -20.0000000,  122.5000000,   -0.0028353,    0.0027392
  -20.0000000,  125.0000000,   -0.0013315,    0.0029857
  -20.0000000,  127.5000000,   -0.0018546,   -0.0000706
  -20.0000000,  130.0000000,    0.0015232,    0.0010381
  -20.0000000,  132.5000000,    0.0008343,    0.0020973
  -20.0000000,  135.0000000,    0.0015881,    0.0027727
  -20.0000000,  137.5000000,    0.0000958,    0.0032898
  -20.0000000,  140.0000000,    0.0002380,    0.0050200
  -20.0000000,  142.5000000,   -0.0040546,    0.0056550
  -20.0000000,  145.0000000,   -0.0045335,    0.0034635
  -20.0000000,  147.5000000,   -0.0065690,    0.0025375
  -20.0000000,  150.0000000,   -0.0077048,   -0.0003415
  -20.0000000,  152.5000000,   -0.0092472,   -0.0051352
  -20.0000000,  155.0000000,   -0.0036892,   -0.0085176
  -20.0000000,  157.5000000,   -0.0030963,   -0.0070181
  -20.0000000,  160.0000000,    0.0007809,   -0.0092685
  -20.0000000,  162.5000000,    0.0017219,   -0.0103585
  -20.0000000,  165.0000000,    0.0135189,   -0.0130306
  -20.0000000,  167.5000000,    0.0206126,    0.0011932
  -20.0000000,  170.0000000,    0.0183842,    0.0089276
  -20.0000000,  172.5000000,    0.0156065,    0.0174370
  -20.0000000,  175.0000000,    0.0090768,    0.0198751
  -20.0000000,  177.5000000,    0.0057893,    0.0225112
  -20.0000000,  180.0000000,   -0.0026089,    0.0238601
  -20.0000000,  182.5000000,   -0.0051562,    0.0150523
  -20.0000000,  185.0000000,    0.0022629,    0.0174555
  -20.0000000,  187.5000000,   -0.0087037,    0.0289614
  -20.0000000,  190.0000000,   -0.0189549,    0.0173216
  -20.0000000,  192.5000000,   -0.0166945,    0.0110415
  -20.0000000,  195.0000000,   -0.0173921,    0.0069362
  -20.0000000,  197.5000000,   -0.0163948,    0.0012577
  -20.0000000,  200.0000000,   -0.0078382,   -0.0056352
  -20.0000000,  202.5000000,   -0.0050758,    0.0019785
  -20.0000000,  205.0000000,   -0.0070660,   -0.0032863
  -20.0000000,  207.5000000,    0.0008604,    0.0007042
  -20.0000000,  210.0000000,   -0.0062930,    0.0054117
  -20.0000000,  212.5000000,   -0.0065066,    0.0003938
  -20.0000000,  215.0000000,   -0.0047517,   -0.0018118
  -20.0000000,  217.5000000,    0.0020132,   -0.0026677
  -20.0000000,  220.0000000,    0.0045777,    0.0066507
  -20.0000000,  222.5000000,    0.0017287,    0.0133600
  -20.0000000,  225.0000000,   -0.0054921,    0.0181023
  -20.0000000,  227.5000000,   -0.0086214,    0.0151063
  -20.0000000,  230.0000000,   -0.0075151,    0.0185735
  -20.0000000,  232.5000000,   -0.0171804,    0.0229558
  -20.0000000,  235.0000000,   -0.0227628,    0.0135238
  -20.0000000,  237.5000000,   -0.0175807,    0.0095124
  -20.0000000,  240.0000000,   -0.0164423,    0.0086163
  -20.0000000,  242.5000000,   -0.0158414,    0.0097434
  -20.0000000,  245.0000000,   -0.0196049,    0.0075953
  -20.0000000,  247.5000000,   -0.0189021,    0.0038482
  -20.0000000,  250.0000000,   -0.0167330,    0.0011350
  -20.0000000,  252.5000000,   -0.0142310,    0.0035647
  -20.0000000,  255.0000000,   -0.0169695,    0.0031310
  -20.0000000,  257.5000000,   -0.0148005,    0.0034000
  -20.0000000,  260.0000000,   -0.0187281,    0.0050686
  -20.0000000,  262.5000000,   -0.0207416,    0.0008646
  -20.0000000,  265.0000000,   -0.0206363,   -0.0017955
  -20.0000000,  267.5000000,   -0.0189231,   -0.0044591
  -20.0000000,  270.0000000,   -0.0167882,   -0.0051110
  -20.0000000,  272.5000000,   -0.0159161,   -0.0038558
  -20.0000000,  275.0000000,   -0.0172455,   -0.0043849
  -20.0000000,  277.5000000,   -0.0168920,   -0.0055884
  -20.0000000,  280.0000000,   -0.0164242,   -0.0074414
  -20.0000000,  282.5000000,   -0.0140505,   -0.0068239
  -20.0000000,  285.0000000,   -0.0143149,   -0.0063935
  -20.0000000,  287.5000000,   -0.0132666,   -0.0056379
  -20.0000000,  290.0000000,   -0.0127967,   -0.0055245
  -20.0000000,  292.5000000,   -0.0104347,    0.0001440
  -20.0000000,  295.0000000,   -0.0216233,    0.0044105
