Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,   -0.0041194,   -0.0148256
  -20.0000000,    2.5000000,   -0.0028886,   -0.0148139
  -20.0000000,    5.0000000,   -0.0018292,   -0.0143139
  -20.0000000,    7.5000000,    0.0005985,   -0.0157103
  -20.0000000,   10.0000000,    0.0035582,   -0.0128898
  -20.0000000,   12.5000000,    0.0098072,   -0.0081881
  -20.0000000,   15.0000000,    0.0122925,    0.0083708
  -20.0000000,   17.5000000,    0.0017263,    0.0098180
  -20.0000000,   20.0000000,   -0.0011051,    0.0099609
  -20.0000000,   22.5000000,   -0.0111865,    0.0115525
  -20.0000000,   25.0000000,   -0.0168289,    0.0015699
  -20.0000000,   27.5000000,   -0.0200995,   -0.0111918
  -20.0000000,   30.0000000,   -0.0194205,   -0.0213297
  -20.0000000,   32.5000000,   -0.0229113,   -0.0410609
  -20.0000000,   35.0000000,    0.0028007,   -0.0601879
  -20.0000000,   37.5000000,    0.0129696,   -0.0504936
  -20.0000000,   40.0000000,    0.0129903,   -0.0489465
  -20.0000000,   42.5000000,    0.0236612,   -0.0463682
  -20.0000000,   45.0000000,    0.0330776,   -0.0369852
  -20.0000000,   47.5000000,    0.0397783,   -0.0259908
  -20.0000000,   50.0000000,    0.0409463,   -0.0098493
  -20.0000000,   52.5000000,    0.0231489,   -0.0028774
  -20.0000000,   55.0000000,    0.0178011,   -0.0084502
  -20.0000000,   57.5000000,    0.0192507,    0.0100184
  -20.0000000,   60.0000000,    0.0116604,    0.0122560
  -20.0000000,   62.5000000,    0.0120775,    0.0140993
  -20.0000000,   65.0000000,    0.0135570,    0.0211325
  -20.0000000,   67.5000000,    0.0063055,    0.0200074
  -20.0000000,   70.0000000,    0.0053702,    0.0093046
  -20.0000000,   72.5000000,    0.0078352,    0.0049439
  -20.0000000,   75.0000000,    0.0094236,    0.0043084
  -20.0000000,   77.5000000,    0.0060652,    0.0115091
  -20.0000000,   80.0000000,    0.0071126,    0.0017470
  -20.0000000,   82.5000000,    0.0094954,    0.0128746
  -20.0000000,   85.0000000,   -0.0030980,    0.0063715
  -20.0000000,   87.5000000,    0.0028002,   -0.0005084
  -20.0000000,   90.0000000,   -0.0026870,    0.0074809
  -20.0000000,   92.5000000,   -0.0056769,    0.0010294
  -20.0000000,   95.0000000,   -0.0107595,   -0.0022176
  -20.0000000,   97.5000000,   -0.0123144,   -0.0132552
  -20.0000000,  100.0000000,   -0.0099361,   -0.0171013
  -20.0000000,  102.5000000,   -0.0082898,   -0.0226215
  -20.0000000,  105.0000000,   -0.0053794,   -0.0239767
  -20.0000000,  107.5000000,   -0.0044290,   -0.0244117
  -20.0000000,  110.0000000,   -0.0040653,   -0.0270936
  -20.0000000,  112.5000000,   -0.0034350,   -0.0322436
  -20.0000000,  115.0000000,   -0.0010095,   -0.0360839
  -20.0000000,  117.5000000,    0.0016790,   -0.0346192
  -20.0000000,  120.0000000,   -0.0009715,   -0.0402646
  -20.0000000,  122.5000000,    0.0122719,   -0.0424780
  -20.0000000,  125.0000000,    0.0142071,   -0.0302174
