Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0111866,    0.0104474
  -20.0000000,    2.5000000,    0.0098623,    0.0096539
  -20.0000000,    5.0000000,    0.0080210,    0.0073959
  -20.0000000,    7.5000000,    0.0114480,    0.0062758
  -20.0000000,   10.0000000,    0.0107543,    0.0081608
  -20.0000000,   12.5000000,    0.0125947,    0.0089602
  -20.0000000,   15.0000000,    0.0092238,    0.0125850
  -20.0000000,   17.5000000,    0.0079059,    0.0101239
  -20.0000000,   20.0000000,    0.0064474,    0.0122836
  -20.0000000,   22.5000000,    0.0037253,    0.0102030
  -20.0000000,   25.0000000,    0.0020205,    0.0092950
  -20.0000000,   27.5000000,    0.0022322,    0.0061034
  -20.0000000,   30.0000000,    0.0023477,    0.0048298
  -20.0000000,   32.5000000,    0.0038213,    0.0013487
  -20.0000000,   35.0000000,    0.0057232,    0.0013341
  -20.0000000,   37.5000000,    0.0085506,    0.0023256
  -20.0000000,   40.0000000,    0.0074749,    0.0050548
  -20.0000000,   42.5000000,    0.0088267,    0.0030431
  -20.0000000,   45.0000000,    0.0086195,    0.0067377
  -20.0000000,   47.5000000,    0.0083010,    0.0044284
  -20.0000000,   50.0000000,    0.0085969,    0.0075000
  -20.0000000,   52.5000000,    0.0060857,    0.0041120
  -20.0000000,   55.0000000,    0.0087127,    0.0023160
  -20.0000000,   57.5000000,    0.0127518,    0.0009827
  -20.0000000,   60.0000000,    0.0151122,    0.0080099
  -20.0000000,   62.5000000,    0.0107337,    0.0067192
  -20.0000000,   65.0000000,    0.0143019,    0.0074496
  -20.0000000,   67.5000000,    0.0111700,    0.0096819
  -20.0000000,   70.0000000,    0.0117059,    0.0094089
  -20.0000000,   72.5000000,    0.0114680,    0.0097180
  -20.0000000,   75.0000000,    0.0134639,    0.0117409
  -20.0000000,   77.5000000,    0.0078411,    0.0128411
  -20.0000000,   80.0000000,    0.0070933,    0.0071441
  -20.0000000,   82.5000000,    0.0117134,    0.0055141
  -20.0000000,   85.0000000,    0.0155928,    0.0079990
  -20.0000000,   87.5000000,    0.0170041,    0.0118297
  -20.0000000,   90.0000000,    0.0143054,    0.0163616
  -20.0000000,   92.5000000,    0.0122957,    0.0133300
  -20.0000000,   95.0000000,    0.0165315,    0.0182981
  -20.0000000,   97.5000000,    0.0076538,    0.0224275
  -20.0000000,  100.0000000,    0.0065279,    0.0187703
  -20.0000000,  102.5000000,    0.0013539,    0.0194158
  -20.0000000,  105.0000000,    0.0019614,    0.0104325
  -20.0000000,  107.5000000,    0.0064429,    0.0137622
  -20.0000000,  110.0000000,    0.0023624,    0.0144834
  -20.0000000,  112.5000000,    0.0056024,    0.0123596
  -20.0000000,  115.0000000,    0.0065836,    0.0188163
  -20.0000000,  117.5000000,   -0.0011157,    0.0210410
  -20.0000000,  120.0000000,   -0.0034128,    0.0141362
  -20.0000000,  122.5000000,    0.0007941,    0.0120864
  -20.0000000,  125.0000000,    0.0023226,    0.0162729
  -20.0000000,  127.5000000,   -0.0027177,    0.0188691
  -20.0000000,  130.0000000,   -0.0044911,    0.0145240
  -20.0000000,  132.5000000,   -0.0039375,    0.0149283
  -20.0000000,  135.0000000,   -0.0057113,    0.0135625
  -20.0000000,  137.5000000,   -0.0064879,    0.0132153
  -20.0000000,  140.0000000,   -0.0086672,    0.0091659
  -20.0000000,  142.5000000,   -0.0045701,    0.0078296
  -20.0000000,  145.0000000,   -0.0062727,    0.0105700
  -20.0000000,  147.5000000,   -0.0078773,    0.0061261
  -20.0000000,  150.0000000,   -0.0044996,    0.0057805
  -20.0000000,  152.5000000,   -0.0055023,    0.0090254
  -20.0000000,  155.0000000,   -0.0102710,    0.0071025
  -20.0000000,  157.5000000,   -0.0093931,    0.0006307
  -20.0000000,  160.0000000,   -0.0040049,   -0.0015267
  -20.0000000,  162.5000000,    0.0011258,    0.0005875
  -20.0000000,  165.0000000,    0.0031133,    0.0066545
  -20.0000000,  167.5000000,    0.0007304,    0.0086578
  -20.0000000,  170.0000000,    0.0034514,    0.0114616
  -20.0000000,  172.5000000,   -0.0011716,    0.0165666
  -20.0000000,  175.0000000,   -0.0054950,    0.0113074
  -20.0000000,  177.5000000,   -0.0018971,    0.0116711
  -20.0000000,  180.0000000,   -0.0029722,    0.0135239
  -20.0000000,  182.5000000,   -0.0030663,    0.0148283
  -20.0000000,  185.0000000,   -0.0081206,    0.0161644
  -20.0000000,  187.5000000,   -0.0088103,    0.0140634
  -20.0000000,  190.0000000,   -0.0145211,    0.0156547
  -20.0000000,  192.5000000,   -0.0160932,    0.0065841
  -20.0000000,  195.0000000,   -0.0130637,    0.0099664
  -20.0000000,  197.5000000,   -0.0209155,    0.0059470
  -20.0000000,  200.0000000,   -0.0139385,    0.0019116
  -20.0000000,  202.5000000,   -0.0183750,    0.0064527
  -20.0000000,  205.0000000,   -0.0228887,   -0.0003410
  -20.0000000,  207.5000000,   -0.0208792,   -0.0068372
  -20.0000000,  210.0000000,   -0.0156923,   -0.0094225
  -20.0000000,  212.5000000,   -0.0149851,   -0.0082846
  -20.0000000,  215.0000000,   -0.0155721,   -0.0121863
  -20.0000000,  217.5000000,   -0.0142408,   -0.0190734
  -20.0000000,  220.0000000,   -0.0033445,   -0.0238369
  -20.0000000,  222.5000000,    0.0023786,   -0.0138148
  -20.0000000,  225.0000000,   -0.0019723,   -0.0080550
  -20.0000000,  227.5000000,   -0.0061644,   -0.0082679
  -20.0000000,  230.0000000,   -0.0073079,   -0.0125479
  -20.0000000,  232.5000000,   -0.0056116,   -0.0167372
  -20.0000000,  235.0000000,    0.0020932,   -0.0179493
  -20.0000000,  237.5000000,    0.0032900,   -0.0092033
  -20.0000000,  240.0000000,    0.0012431,   -0.0112702
  -20.0000000,  242.5000000,    0.0049905,   -0.0061009
  -20.0000000,  245.0000000,   -0.0023104,   -0.0023985
  -20.0000000,  247.5000000,   -0.0045058,   -0.0067435
  -20.0000000,  250.0000000,   -0.0045535,   -0.0070521
  -20.0000000,  252.5000000,   -0.0063833,   -0.0086727
  -20.0000000,  255.0000000,   -0.0064118,   -0.0117481
  -20.0000000,  257.5000000,   -0.0066586,   -0.0127901
  -20.0000000,  260.0000000,   -0.0078849,   -0.0181236
  -20.0000000,  262.5000000,   -0.0023192,   -0.0227766
  -20.0000000,  265.0000000,    0.0000625,   -0.0214173
  -20.0000000,  267.5000000,    0.0020224,   -0.0237944
  -20.0000000,  270.0000000,    0.0059154,   -0.0213907
  -20.0000000,  272.5000000,    0.0048538,   -0.0217432
  -20.0000000,  275.0000000,    0.0106302,   -0.0241301
  -20.0000000,  277.5000000,    0.0136558,   -0.0171857
  -20.0000000,  280.0000000,    0.0097476,   -0.0142577
  -20.0000000,  282.5000000,    0.0085344,   -0.0181272
  -20.0000000,  285.0000000,    0.0118582,   -0.0169781
  -20.0000000,  287.5000000,    0.0073108,   -0.0170837
  -20.0000000,  290.0000000,    0.0128786,   -0.0212343
  -20.0000000,  292.5000000,    0.0077582,   -0.0162154
  -20.0000000,  295.0000000,    0.0069905,   -0.0344603
  -20.0000000,  297.5000000,    0.0282914,   -0.0354456
  -20.0000000,  300.0000000,    0.0347910,   -0.0233180
  -20.0000000,  302.5000000,    0.0380552,   -0.0161881
  -20.0000000,  305.0000000,    0.0393839,   -0.0056308
  -20.0000000,  307.5000000,    0.0335805,    0.0064073
  -20.0000000,  310.0000000,    0.0258186,    0.0076638
  -20.0000000,  312.5000000,    0.0199586,    0.0076014
  -20.0000000,  315.0000000,    0.0148680,    0.0010871
  -20.0000000,  317.5000000,    0.0198915,   -0.0011963
  -20.0000000,  320.0000000,    0.0212067,    0.0007315
  -20.0000000,  322.5000000,    0.0245036,    0.0052975
  -20.0000000,  325.0000000,    0.0182025,    0.0098172
  -20.0000000,  327.5000000,    0.0177413,    0.0061530
  -20.0000000,  330.0000000,    0.0162167,    0.0101294
  -20.0000000,  332.5000000,    0.0114005,    0.0074899
  -20.0000000,  335.0000000,    0.0141786,    0.0031592
  -20.0000000,  337.5000000,    0.0172224,    0.0048976
  -20.0000000,  340.0000000,    0.0168566,    0.0045085
  -20.0000000,  342.5000000,    0.0197079,    0.0074885
  -20.0000000,  345.0000000,    0.0153822,    0.0107678
  -20.0000000,  347.5000000,    0.0137926,    0.0092502
  -20.0000000,  350.0000000,    0.0121725,    0.0092254
  -20.0000000,  352.5000000,    0.0117000,    0.0077884
  -20.0000000,  355.0000000,    0.0123747,    0.0067851
  -20.0000000,  357.5000000,    0.0140529,    0.0088512
  -17.5000000,    0.0000000,    0.0090145,    0.0100516
  -17.5000000,    2.5000000,    0.0083510,    0.0078532
  -17.5000000,    5.0000000,    0.0097220,    0.0083265
  -17.5000000,    7.5000000,    0.0087135,    0.0092767
  -17.5000000,   10.0000000,    0.0080825,    0.0104202
  -17.5000000,   12.5000000,    0.0048871,    0.0089403
  -17.5000000,   15.0000000,    0.0067128,    0.0070743
  -17.5000000,   17.5000000,    0.0051845,    0.0101375
  -17.5000000,   20.0000000,    0.0030785,    0.0085328
  -17.5000000,   22.5000000,    0.0018446,    0.0082323
  -17.5000000,   25.0000000,   -0.0000733,    0.0061935
  -17.5000000,   27.5000000,    0.0001173,    0.0033351
  -17.5000000,   30.0000000,    0.0016858,    0.0010889
  -17.5000000,   32.5000000,    0.0033565,    0.0011778
  -17.5000000,   35.0000000,    0.0043366,    0.0005066
  -17.5000000,   37.5000000,    0.0059825,    0.0018128
  -17.5000000,   40.0000000,    0.0048079,    0.0018563
  -17.5000000,   42.5000000,    0.0074352,   -0.0003476
  -17.5000000,   45.0000000,    0.0096778,    0.0029155
  -17.5000000,   47.5000000,    0.0072471,    0.0041481
  -17.5000000,   50.0000000,    0.0072658,    0.0029524
  -17.5000000,   52.5000000,    0.0071175,    0.0019410
  -17.5000000,   55.0000000,    0.0098312,    0.0000514
  -17.5000000,   57.5000000,    0.0135590,    0.0031425
  -17.5000000,   60.0000000,    0.0106239,    0.0064572
  -17.5000000,   62.5000000,    0.0093688,    0.0033877
  -17.5000000,   65.0000000,    0.0099627,    0.0033300
  -17.5000000,   67.5000000,    0.0117671,   -0.0013647
  -17.5000000,   70.0000000,    0.0219522,    0.0036725
  -17.5000000,   72.5000000,    0.0169760,    0.0149644
  -17.5000000,   75.0000000,    0.0105963,    0.0135607
  -17.5000000,   77.5000000,    0.0058510,    0.0137153
  -17.5000000,   80.0000000,    0.0040263,    0.0060754
  -17.5000000,   82.5000000,    0.0104404,    0.0036515
  -17.5000000,   85.0000000,    0.0157397,    0.0064119
  -17.5000000,   87.5000000,    0.0147840,    0.0153632
  -17.5000000,   90.0000000,    0.0072287,    0.0144133
  -17.5000000,   92.5000000,    0.0083695,    0.0130159
  -17.5000000,   95.0000000,    0.0048360,    0.0135960
  -17.5000000,   97.5000000,    0.0035983,    0.0104025
  -17.5000000,  100.0000000,    0.0031928,    0.0079649
  -17.5000000,  102.5000000,    0.0058623,    0.0038804
  -17.5000000,  105.0000000,    0.0096679,    0.0051502
  -17.5000000,  107.5000000,    0.0090371,    0.0097487
  -17.5000000,  110.0000000,    0.0074409,    0.0101966
  -17.5000000,  112.5000000,    0.0085515,    0.0129286
  -17.5000000,  115.0000000,    0.0039801,    0.0145896
  -17.5000000,  117.5000000,    0.0050561,    0.0144118
  -17.5000000,  120.0000000,    0.0020751,    0.0166809
  -17.5000000,  122.5000000,    0.0000668,    0.0147179
  -17.5000000,  125.0000000,   -0.0010631,    0.0142684
  -17.5000000,  127.5000000,   -0.0007598,    0.0116413
  -17.5000000,  130.0000000,    0.0005448,    0.0131028
  -17.5000000,  132.5000000,   -0.0014120,    0.0133455
  -17.5000000,  135.0000000,   -0.0022121,    0.0135819
  -17.5000000,  137.5000000,   -0.0057914,    0.0129065
  -17.5000000,  140.0000000,   -0.0053910,    0.0079117
  -17.5000000,  142.5000000,   -0.0028680,    0.0090800
  -17.5000000,  145.0000000,   -0.0049551,    0.0099028
  -17.5000000,  147.5000000,   -0.0061489,    0.0074146
  -17.5000000,  150.0000000,   -0.0066358,    0.0053810
  -17.5000000,  152.5000000,   -0.0066842,    0.0040900
  -17.5000000,  155.0000000,   -0.0077711,   -0.0011049
  -17.5000000,  157.5000000,    0.0005511,   -0.0066863
  -17.5000000,  160.0000000,    0.0100661,   -0.0006740
  -17.5000000,  162.5000000,    0.0114300,    0.0120831
  -17.5000000,  165.0000000,    0.0015672,    0.0172662
  -17.5000000,  167.5000000,   -0.0021749,    0.0153253
  -17.5000000,  170.0000000,   -0.0076788,    0.0159622
  -17.5000000,  172.5000000,   -0.0096437,    0.0082853
  -17.5000000,  175.0000000,   -0.0040747,    0.0086180
  -17.5000000,  177.5000000,   -0.0062328,    0.0109407
  -17.5000000,  180.0000000,   -0.0084234,    0.0102721
  -17.5000000,  182.5000000,   -0.0101678,    0.0063209
  -17.5000000,  185.0000000,   -0.0088485,    0.0012974
  -17.5000000,  187.5000000,   -0.0030500,    0.0020224
  -17.5000000,  190.0000000,   -0.0066074,    0.0097466
  -17.5000000,  192.5000000,   -0.0117456,    0.0062646
  -17.5000000,  195.0000000,   -0.0132500,    0.0062812
  -17.5000000,  197.5000000,   -0.0170603,   -0.0002368
  -17.5000000,  200.0000000,   -0.0120384,   -0.0038918
  -17.5000000,  202.5000000,   -0.0138987,   -0.0034983
  -17.5000000,  205.0000000,   -0.0112480,   -0.0094574
  -17.5000000,  207.5000000,   -0.0044379,   -0.0060602
  -17.5000000,  210.0000000,   -0.0090074,   -0.0018042
  -17.5000000,  212.5000000,   -0.0118944,   -0.0100258
  -17.5000000,  215.0000000,   -0.0051362,   -0.0124241
  -17.5000000,  217.5000000,   -0.0034100,   -0.0128170
  -17.5000000,  220.0000000,    0.0015608,   -0.0112309
  -17.5000000,  222.5000000,    0.0009948,   -0.0061592
  -17.5000000,  225.0000000,   -0.0001960,   -0.0029218
  -17.5000000,  227.5000000,   -0.0061570,   -0.0032166
  -17.5000000,  230.0000000,   -0.0053629,   -0.0097120
  -17.5000000,  232.5000000,   -0.0024410,   -0.0104771
  -17.5000000,  235.0000000,    0.0007454,   -0.0087132
  -17.5000000,  237.5000000,   -0.0021568,   -0.0048575
  -17.5000000,  240.0000000,   -0.0032383,   -0.0098030
  -17.5000000,  242.5000000,   -0.0001624,   -0.0074577
  -17.5000000,  245.0000000,   -0.0034611,   -0.0062648
  -17.5000000,  247.5000000,   -0.0044939,   -0.0080623
  -17.5000000,  250.0000000,   -0.0049155,   -0.0104062
  -17.5000000,  252.5000000,   -0.0033357,   -0.0119617
  -17.5000000,  255.0000000,   -0.0032873,   -0.0123476
  -17.5000000,  257.5000000,   -0.0028033,   -0.0153390
  -17.5000000,  260.0000000,    0.0004622,   -0.0171744
  -17.5000000,  262.5000000,    0.0029130,   -0.0168719
  -17.5000000,  265.0000000,    0.0044809,   -0.0152390
  -17.5000000,  267.5000000,    0.0043212,   -0.0136342
  -17.5000000,  270.0000000,    0.0032656,   -0.0142381
  -17.5000000,  272.5000000,    0.0053642,   -0.0167940
  -17.5000000,  275.0000000,    0.0089945,   -0.0130383
  -17.5000000,  277.5000000,    0.0044717,   -0.0103091
  -17.5000000,  280.0000000,    0.0041524,   -0.0143371
  -17.5000000,  282.5000000,    0.0049837,   -0.0139693
  -17.5000000,  285.0000000,    0.0039044,   -0.0159175
  -17.5000000,  287.5000000,    0.0045079,   -0.0187463
  -17.5000000,  290.0000000,    0.0050765,   -0.0225129
  -17.5000000,  292.5000000,    0.0075785,   -0.0286112
  -17.5000000,  295.0000000,    0.0192658,   -0.0337891
  -17.5000000,  297.5000000,    0.0292191,   -0.0253698
  -17.5000000,  300.0000000,    0.0327752,   -0.0171891
  -17.5000000,  302.5000000,    0.0333921,   -0.0061833
  -17.5000000,  305.0000000,    0.0254769,   -0.0014067
  -17.5000000,  307.5000000,    0.0229540,   -0.0004737
  -17.5000000,  310.0000000,    0.0194492,   -0.0016450
  -17.5000000,  312.5000000,    0.0206638,   -0.0039614
  -17.5000000,  315.0000000,    0.0227251,   -0.0028125
  -17.5000000,  317.5000000,    0.0243773,    0.0004550
  -17.5000000,  320.0000000,    0.0227026,    0.0042133
  -17.5000000,  322.5000000,    0.0204692,    0.0062822
  -17.5000000,  325.0000000,    0.0185172,    0.0075366
  -17.5000000,  327.5000000,    0.0168791,    0.0093423
  -17.5000000,  330.0000000,    0.0128999,    0.0075581
  -17.5000000,  332.5000000,    0.0145014,    0.0058205
  -17.5000000,  335.0000000,    0.0135384,    0.0055378
