Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,   -0.0010180,    0.0064115
  -20.0000000,    2.5000000,    0.0001388,    0.0075458
  -20.0000000,    5.0000000,   -0.0004395,    0.0069720
  -20.0000000,    7.5000000,    0.0038403,    0.0067335
  -20.0000000,   10.0000000,    0.0042862,    0.0097745
  -20.0000000,   12.5000000,    0.0111861,    0.0117462
  -20.0000000,   15.0000000,    0.0058008,    0.0378134
  -20.0000000,   17.5000000,   -0.0212335,    0.0414154
  -20.0000000,   20.0000000,   -0.0324818,    0.0196113
  -20.0000000,   22.5000000,   -0.0294336,    0.0050019
  -20.0000000,   25.0000000,   -0.0259716,   -0.0045875
  -20.0000000,   27.5000000,   -0.0135396,   -0.0140821
  -20.0000000,   30.0000000,    0.0018721,   -0.0087136
  -20.0000000,   32.5000000,    0.0042106,    0.0012259
  -20.0000000,   35.0000000,    0.0064664,    0.0103518
  -20.0000000,   37.5000000,   -0.0003594,    0.0163937
  -20.0000000,   40.0000000,   -0.0000392,    0.0146536
  -20.0000000,   42.5000000,   -0.0039345,    0.0193445
  -20.0000000,   45.0000000,   -0.0032321,    0.0153043
  -20.0000000,   47.5000000,   -0.0051429,    0.0224468
  -20.0000000,   50.0000000,   -0.0118885,    0.0176990
  -20.0000000,   52.5000000,   -0.0124047,    0.0175467
  -20.0000000,   55.0000000,   -0.0156014,    0.0127089
  -20.0000000,   57.5000000,   -0.0140378,    0.0156426
  -20.0000000,   60.0000000,   -0.0199946,    0.0155830
  -20.0000000,   62.5000000,   -0.0241149,    0.0159138
  -20.0000000,   65.0000000,   -0.0304391,    0.0103993
  -20.0000000,   67.5000000,   -0.0320995,    0.0041149
  -20.0000000,   70.0000000,   -0.0365410,   -0.0082942
  -20.0000000,   72.5000000,   -0.0288527,   -0.0166200
  -20.0000000,   75.0000000,   -0.0249105,   -0.0208756
  -20.0000000,   77.5000000,   -0.0160591,   -0.0208099
  -20.0000000,   80.0000000,   -0.0177579,   -0.0188554
  -20.0000000,   82.5000000,   -0.0136159,   -0.0241246
  -20.0000000,   85.0000000,   -0.0093832,   -0.0213305
  -20.0000000,   87.5000000,   -0.0061522,   -0.0204808
  -20.0000000,   90.0000000,   -0.0042287,   -0.0183089
  -20.0000000,   92.5000000,   -0.0010336,   -0.0164648
  -20.0000000,   95.0000000,   -0.0004279,   -0.0130506
  -20.0000000,   97.5000000,    0.0018712,   -0.0111532
  -20.0000000,  100.0000000,    0.0017584,   -0.0067697
  -20.0000000,  102.5000000,    0.0035557,   -0.0034322
  -20.0000000,  105.0000000,    0.0000773,    0.0031636
