Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0068788,   -0.0008539
  -20.0000000,    2.5000000,    0.0098204,    0.0004518
  -20.0000000,    5.0000000,    0.0080408,    0.0013472
  -20.0000000,    7.5000000,    0.0103666,   -0.0029862
  -20.0000000,   10.0000000,    0.0127477,   -0.0012712
  -20.0000000,   12.5000000,    0.0135813,   -0.0080849
  -20.0000000,   15.0000000,    0.0239124,   -0.0016966
  -20.0000000,   17.5000000,    0.0188900,    0.0183695
  -20.0000000,   20.0000000,    0.0162302,    0.0294926
  -20.0000000,   22.5000000,    0.0130202,    0.0391304
  -20.0000000,   25.0000000,    0.0093852,    0.0426862
  -20.0000000,   27.5000000,    0.0107870,    0.0444813
  -20.0000000,   30.0000000,    0.0043088,    0.0539332
  -20.0000000,   32.5000000,   -0.0153438,    0.0525370
  -20.0000000,   35.0000000,   -0.0259732,    0.0396899
  -20.0000000,   37.5000000,   -0.0324383,    0.0285822
  -20.0000000,   40.0000000,   -0.0266408,    0.0184005
  -20.0000000,   42.5000000,   -0.0296579,    0.0141848
  -20.0000000,   45.0000000,   -0.0192515,   -0.0017098
  -20.0000000,   47.5000000,   -0.0144974,    0.0066880
  -20.0000000,   50.0000000,   -0.0171947,   -0.0011837
  -20.0000000,   52.5000000,   -0.0117445,   -0.0019999
  -20.0000000,   55.0000000,   -0.0136745,   -0.0085049
  -20.0000000,   57.5000000,   -0.0009118,   -0.0130466
  -20.0000000,   60.0000000,    0.0106880,   -0.0112558
  -20.0000000,   62.5000000,    0.0288656,    0.0092794
  -20.0000000,   65.0000000,    0.0201381,    0.0350307
  -20.0000000,   67.5000000,    0.0044718,    0.0444176
  -20.0000000,   70.0000000,   -0.0124895,    0.0449716
  -20.0000000,   72.5000000,   -0.0223880,    0.0347557
  -20.0000000,   75.0000000,   -0.0239380,    0.0216186
  -20.0000000,   77.5000000,   -0.0116621,    0.0149304
  -20.0000000,   80.0000000,   -0.0068040,    0.0201027
  -20.0000000,   82.5000000,   -0.0037160,    0.0212185
  -20.0000000,   85.0000000,   -0.0084589,    0.0230143
  -20.0000000,   87.5000000,   -0.0119377,    0.0162038
  -20.0000000,   90.0000000,   -0.0099033,    0.0118795
  -20.0000000,   92.5000000,   -0.0076264,    0.0111994
  -20.0000000,   95.0000000,   -0.0047004,    0.0098746
  -20.0000000,   97.5000000,    0.0002006,    0.0131679
  -20.0000000,  100.0000000,   -0.0005221,    0.0168428
  -20.0000000,  102.5000000,   -0.0004728,    0.0202779
  -20.0000000,  105.0000000,   -0.0049376,    0.0241958
  -20.0000000,  107.5000000,   -0.0060132,    0.0273069
  -20.0000000,  110.0000000,   -0.0080770,    0.0310114
  -20.0000000,  112.5000000,   -0.0107831,    0.0367566
  -20.0000000,  115.0000000,   -0.0194691,    0.0350414
  -20.0000000,  117.5000000,   -0.0211314,    0.0249415
  -20.0000000,  120.0000000,   -0.0153681,    0.0163280
  -20.0000000,  122.5000000,   -0.0028004,    0.0184151
  -20.0000000,  125.0000000,   -0.0034936,    0.0253443
  -20.0000000,  127.5000000,   -0.0042657,    0.0314763
  -20.0000000,  130.0000000,   -0.0214989,    0.0382322
  -20.0000000,  132.5000000,   -0.0354291,    0.0268608
  -20.0000000,  135.0000000,   -0.0401861,    0.0219250
  -20.0000000,  137.5000000,   -0.0481386,    0.0169192
  -20.0000000,  140.0000000,   -0.0516263,    0.0098881
  -20.0000000,  142.5000000,   -0.0510565,    0.0082408
  -20.0000000,  145.0000000,   -0.0649843,    0.0082875
  -20.0000000,  147.5000000,   -0.0740110,   -0.0126419
  -20.0000000,  150.0000000,   -0.0674926,   -0.0284928
  -20.0000000,  152.5000000,   -0.0566109,   -0.0432900
  -20.0000000,  155.0000000,   -0.0386239,   -0.0470298
  -20.0000000,  157.5000000,   -0.0249581,   -0.0360375
  -20.0000000,  160.0000000,   -0.0210523,   -0.0229402
  -20.0000000,  162.5000000,   -0.0238189,   -0.0180851
  -20.0000000,  165.0000000,   -0.0234471,   -0.0177395
  -20.0000000,  167.5000000,   -0.0189349,   -0.0163771
  -20.0000000,  170.0000000,   -0.0223372,   -0.0122500
  -20.0000000,  172.5000000,   -0.0213134,   -0.0261396
  -20.0000000,  175.0000000,   -0.0098031,   -0.0271306
  -20.0000000,  177.5000000,   -0.0046232,   -0.0280017
  -20.0000000,  180.0000000,    0.0011073,   -0.0215199
  -20.0000000,  182.5000000,   -0.0018179,   -0.0159437
  -20.0000000,  185.0000000,    0.0017100,   -0.0111160
  -20.0000000,  187.5000000,   -0.0032314,    0.0013118
  -20.0000000,  190.0000000,   -0.0153047,    0.0052751
  -20.0000000,  192.5000000,   -0.0247564,   -0.0038277
  -20.0000000,  195.0000000,   -0.0203502,   -0.0063895
  -20.0000000,  197.5000000,   -0.0284021,    0.0011981
  -20.0000000,  200.0000000,   -0.0331089,   -0.0159076
  -20.0000000,  202.5000000,   -0.0192580,   -0.0260638
  -20.0000000,  205.0000000,   -0.0131582,   -0.0171809
  -20.0000000,  207.5000000,   -0.0088004,   -0.0251070
  -20.0000000,  210.0000000,   -0.0020088,   -0.0144626
  -20.0000000,  212.5000000,   -0.0210283,   -0.0129077
  -20.0000000,  215.0000000,   -0.0102193,   -0.0259628
  -20.0000000,  217.5000000,   -0.0128305,   -0.0159446
  -20.0000000,  220.0000000,   -0.0151165,   -0.0301415
  -20.0000000,  222.5000000,   -0.0127768,   -0.0284722
  -20.0000000,  225.0000000,   -0.0182886,   -0.0352789
  -20.0000000,  227.5000000,   -0.0055104,   -0.0417980
  -20.0000000,  230.0000000,    0.0020953,   -0.0301342
  -20.0000000,  232.5000000,    0.0051791,   -0.0223988
  -20.0000000,  235.0000000,    0.0107502,   -0.0116252
  -20.0000000,  237.5000000,    0.0072659,    0.0056464
  -20.0000000,  240.0000000,   -0.0037316,    0.0052100
  -20.0000000,  242.5000000,   -0.0045718,    0.0045357
  -20.0000000,  245.0000000,   -0.0064422,    0.0027604
  -20.0000000,  247.5000000,   -0.0033573,    0.0014231
  -20.0000000,  250.0000000,   -0.0055379,    0.0006348
  -20.0000000,  252.5000000,   -0.0048520,   -0.0005930
  -20.0000000,  255.0000000,   -0.0066685,    0.0013509
  -20.0000000,  257.5000000,   -0.0076676,    0.0005037
  -20.0000000,  260.0000000,   -0.0130539,   -0.0022965
  -20.0000000,  262.5000000,   -0.0123949,   -0.0110883
  -20.0000000,  265.0000000,   -0.0081547,   -0.0123916
  -20.0000000,  267.5000000,   -0.0057885,   -0.0135675
  -20.0000000,  270.0000000,   -0.0040026,   -0.0107091
  -20.0000000,  272.5000000,   -0.0058510,   -0.0109354
  -20.0000000,  275.0000000,   -0.0049757,   -0.0105802
  -20.0000000,  277.5000000,   -0.0046062,   -0.0103168
  -20.0000000,  280.0000000,   -0.0051851,   -0.0106752
  -20.0000000,  282.5000000,   -0.0069108,   -0.0141074
  -20.0000000,  285.0000000,   -0.0066836,   -0.0173027
  -20.0000000,  287.5000000,   -0.0087036,   -0.0236177
  -20.0000000,  290.0000000,   -0.0014819,   -0.0302168
  -20.0000000,  292.5000000,    0.0066330,   -0.0280324
  -20.0000000,  295.0000000,    0.0106795,   -0.0297938
  -20.0000000,  297.5000000,    0.0140724,   -0.0269823
  -20.0000000,  300.0000000,    0.0127339,   -0.0233002
  -20.0000000,  302.5000000,    0.0153731,   -0.0264747
  -20.0000000,  305.0000000,    0.0279070,   -0.0210055
  -20.0000000,  307.5000000,    0.0353136,   -0.0012092
  -20.0000000,  310.0000000,    0.0304860,    0.0176397
  -20.0000000,  312.5000000,    0.0192454,    0.0309644
  -20.0000000,  315.0000000,   -0.0001477,    0.0353812
  -20.0000000,  317.5000000,   -0.0141818,    0.0236501
  -20.0000000,  320.0000000,   -0.0183997,    0.0046900
