Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0024919,    0.0019193
  -20.0000000,    2.5000000,    0.0004048,    0.0015860
  -20.0000000,    5.0000000,   -0.0001980,    0.0011876
  -20.0000000,    7.5000000,   -0.0007236,    0.0000998
  -20.0000000,   10.0000000,   -0.0027812,    0.0003209
  -20.0000000,   12.5000000,   -0.0048274,   -0.0041154
  -20.0000000,   15.0000000,   -0.0019819,   -0.0097432
  -20.0000000,   17.5000000,    0.0041675,   -0.0106064
  -20.0000000,   20.0000000,    0.0075401,   -0.0068857
  -20.0000000,   22.5000000,    0.0103013,   -0.0043370
  -20.0000000,   25.0000000,    0.0109594,    0.0029713
  -20.0000000,   27.5000000,    0.0072233,    0.0032230
  -20.0000000,   30.0000000,    0.0112247,    0.0084840
  -20.0000000,   32.5000000,    0.0047861,    0.0166921
  -20.0000000,   35.0000000,   -0.0034922,    0.0115803
  -20.0000000,   37.5000000,   -0.0051312,    0.0037486
  -20.0000000,   40.0000000,   -0.0031046,   -0.0013290
  -20.0000000,   42.5000000,   -0.0019662,   -0.0060212
  -20.0000000,   45.0000000,    0.0086069,   -0.0113843
  -20.0000000,   47.5000000,    0.0132260,   -0.0043730
  -20.0000000,   50.0000000,    0.0163683,   -0.0001540
  -20.0000000,   52.5000000,    0.0160397,    0.0085328
  -20.0000000,   55.0000000,    0.0118180,    0.0096623
  -20.0000000,   57.5000000,    0.0114420,    0.0096041
  -20.0000000,   60.0000000,    0.0119564,    0.0079621
  -20.0000000,   62.5000000,    0.0128740,    0.0122674
  -20.0000000,   65.0000000,    0.0066655,    0.0142750
  -20.0000000,   67.5000000,    0.0086526,    0.0145623
  -20.0000000,   70.0000000,    0.0055497,    0.0197469
  -20.0000000,   72.5000000,    0.0044130,    0.0156105
  -20.0000000,   75.0000000,    0.0061968,    0.0132960
  -20.0000000,   77.5000000,    0.0102546,    0.0127551
  -20.0000000,   80.0000000,    0.0063094,    0.0195058
