Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0133113,    0.0044781
  -20.0000000,    2.5000000,    0.0130318,    0.0040856
  -20.0000000,    5.0000000,    0.0131594,    0.0024743
  -20.0000000,    7.5000000,    0.0193202,    0.0031640
  -20.0000000,   10.0000000,    0.0180443,    0.0112053
  -20.0000000,   12.5000000,    0.0172374,    0.0142367
  -20.0000000,   15.0000000,    0.0098940,    0.0222315
  -20.0000000,   17.5000000,   -0.0032998,    0.0146980
  -20.0000000,   20.0000000,   -0.0049726,    0.0082021
  -20.0000000,   22.5000000,   -0.0012250,    0.0014908
  -20.0000000,   25.0000000,    0.0016158,    0.0024104
  -20.0000000,   27.5000000,    0.0011299,   -0.0047830
  -20.0000000,   30.0000000,    0.0089372,   -0.0044994
  -20.0000000,   32.5000000,    0.0119564,   -0.0016082
  -20.0000000,   35.0000000,    0.0133438,    0.0028051
  -20.0000000,   37.5000000,    0.0115518,    0.0011464
  -20.0000000,   40.0000000,    0.0165362,    0.0046261
  -20.0000000,   42.5000000,    0.0141270,    0.0040868
  -20.0000000,   45.0000000,    0.0224361,    0.0113625
  -20.0000000,   47.5000000,    0.0095351,    0.0258920
  -20.0000000,   50.0000000,   -0.0014269,    0.0150675
  -20.0000000,   52.5000000,    0.0008503,    0.0107309
  -20.0000000,   55.0000000,    0.0004897,    0.0086690
  -20.0000000,   57.5000000,    0.0019174,    0.0066608
  -20.0000000,   60.0000000,    0.0001676,    0.0053811
  -20.0000000,   62.5000000,    0.0000573,   -0.0008840
  -20.0000000,   65.0000000,    0.0067560,   -0.0025564
  -20.0000000,   67.5000000,    0.0092383,    0.0007651
  -20.0000000,   70.0000000,    0.0122994,    0.0035298
  -20.0000000,   72.5000000,    0.0089633,    0.0096445
  -20.0000000,   75.0000000,    0.0040659,    0.0070581
  -20.0000000,   77.5000000,    0.0061021,    0.0060134
  -20.0000000,   80.0000000,    0.0060774,    0.0084426
  -20.0000000,   82.5000000,    0.0039130,    0.0074824
  -20.0000000,   85.0000000,    0.0058565,    0.0083024
  -20.0000000,   87.5000000,    0.0044741,    0.0095310
  -20.0000000,   90.0000000,    0.0037618,    0.0098494
  -20.0000000,   92.5000000,    0.0019903,    0.0122313
  -20.0000000,   95.0000000,   -0.0018224,    0.0092781
  -20.0000000,   97.5000000,   -0.0013750,    0.0036505
  -20.0000000,  100.0000000,    0.0032107,    0.0003114
  -20.0000000,  102.5000000,    0.0089095,    0.0036530
  -20.0000000,  105.0000000,    0.0080018,    0.0076438
  -20.0000000,  107.5000000,    0.0075738,    0.0063988
  -20.0000000,  110.0000000,    0.0076129,    0.0091761
  -20.0000000,  112.5000000,    0.0035955,    0.0058248
  -20.0000000,  115.0000000,    0.0068968,    0.0033074
  -20.0000000,  117.5000000,    0.0108053,    0.0025677
  -20.0000000,  120.0000000,    0.0186200,    0.0063611
  -20.0000000,  122.5000000,    0.0237559,    0.0192576
  -20.0000000,  125.0000000,    0.0201805,    0.0329396
  -20.0000000,  127.5000000,    0.0031472,    0.0369357
  -20.0000000,  130.0000000,   -0.0066912,    0.0293423
  -20.0000000,  132.5000000,   -0.0134269,    0.0221998
  -20.0000000,  135.0000000,   -0.0140921,    0.0135985
  -20.0000000,  137.5000000,   -0.0147337,    0.0136588
  -20.0000000,  140.0000000,   -0.0187526,    0.0097232
  -20.0000000,  142.5000000,   -0.0204832,    0.0024142
  -20.0000000,  145.0000000,   -0.0169007,   -0.0069820
  -20.0000000,  147.5000000,   -0.0078025,   -0.0067562
  -20.0000000,  150.0000000,   -0.0075227,    0.0007678
  -20.0000000,  152.5000000,   -0.0098801,   -0.0019533
  -20.0000000,  155.0000000,   -0.0040723,   -0.0004286
  -20.0000000,  157.5000000,   -0.0114353,    0.0036473
  -20.0000000,  160.0000000,   -0.0114255,   -0.0050557
  -20.0000000,  162.5000000,   -0.0088365,   -0.0042192
  -20.0000000,  165.0000000,   -0.0076535,   -0.0061990
  -20.0000000,  167.5000000,   -0.0069664,   -0.0028869
  -20.0000000,  170.0000000,   -0.0112399,   -0.0082609
  -20.0000000,  172.5000000,   -0.0069115,   -0.0133110
  -20.0000000,  175.0000000,   -0.0002123,   -0.0117462
  -20.0000000,  177.5000000,    0.0022857,   -0.0028427
  -20.0000000,  180.0000000,   -0.0017424,   -0.0001508
  -20.0000000,  182.5000000,   -0.0058026,    0.0014210
  -20.0000000,  185.0000000,   -0.0111725,   -0.0021474
  -20.0000000,  187.5000000,   -0.0097966,   -0.0095478
  -20.0000000,  190.0000000,   -0.0037285,   -0.0133378
  -20.0000000,  192.5000000,    0.0014936,   -0.0148521
  -20.0000000,  195.0000000,    0.0063449,   -0.0184848
  -20.0000000,  197.5000000,    0.0132017,   -0.0156371
  -20.0000000,  200.0000000,    0.0150486,   -0.0154146
  -20.0000000,  202.5000000,    0.0198466,   -0.0141468
  -20.0000000,  205.0000000,    0.0222883,   -0.0142207
  -20.0000000,  207.5000000,    0.0298803,   -0.0077309
  -20.0000000,  210.0000000,    0.0272805,    0.0029751
  -20.0000000,  212.5000000,    0.0266911,    0.0045655
  -20.0000000,  215.0000000,    0.0290336,    0.0167722
  -20.0000000,  217.5000000,    0.0184525,    0.0246380
  -20.0000000,  220.0000000,    0.0152091,    0.0249447
  -20.0000000,  222.5000000,    0.0071783,    0.0301006
  -20.0000000,  225.0000000,   -0.0026836,    0.0216365
  -20.0000000,  227.5000000,   -0.0045703,    0.0160031
  -20.0000000,  230.0000000,   -0.0080964,    0.0064966
  -20.0000000,  232.5000000,   -0.0000002,    0.0014603
  -20.0000000,  235.0000000,    0.0037353,    0.0021086
  -20.0000000,  237.5000000,    0.0066898,    0.0019698
  -20.0000000,  240.0000000,    0.0095191,    0.0017307
  -20.0000000,  242.5000000,    0.0131277,    0.0058602
  -20.0000000,  245.0000000,    0.0074297,    0.0118141
  -20.0000000,  247.5000000,    0.0030450,    0.0103159
  -20.0000000,  250.0000000,    0.0029066,    0.0083528
  -20.0000000,  252.5000000,    0.0033209,    0.0103227
  -20.0000000,  255.0000000,   -0.0009497,    0.0088822
  -20.0000000,  257.5000000,    0.0007048,    0.0048086
  -20.0000000,  260.0000000,    0.0021489,    0.0045623
  -20.0000000,  262.5000000,    0.0028332,    0.0053055
  -20.0000000,  265.0000000,   -0.0004639,    0.0042215
  -20.0000000,  267.5000000,    0.0020442,   -0.0004989
