Date,PC1,PC2
1891-01-01,3.35187,-0.55062
1891-01-02,3.37091,-0.53479
1891-01-03,3.47555,-0.53433
1891-01-04,3.67142,-0.55968
1891-01-05,3.95764,-0.60618
1891-01-06,4.30612,-0.66747
1891-01-07,4.70968,-0.67087
1891-01-08,5.12851,-0.63413
1891-01-09,5.52064,-0.57417
1891-01-10,5.89267,-0.47757
1891-01-11,6.18810,-0.36818
1891-01-12,6.41200,-0.24110
1891-01-13,6.57502,-0.09161
1891-01-14,6.66293,0.06300
1891-01-15,6.68185,0.23142
1891-01-16,6.61430,0.36379
1891-01-17,6.48201,0.46096
1891-01-18,6.33183,0.47896
1891-01-19,6.18346,0.40418
1891-01-20,6.02485,0.32025
1891-01-21,5.87602,0.25370
1891-01-22,5.79895,0.15876
1891-01-23,5.75662,0.02488
1891-01-24,5.74628,-0.06521
1891-01-25,5.76971,-0.11476
1891-01-26,5.82016,-0.10796
1891-01-27,5.83744,-0.02067
1891-01-28,5.83068,0.11667
1891-01-29,5.81198,0.23101
1891-01-30,5.82621,0.35951
1891-01-31,5.87888,0.48069
1891-02-01,5.95592,0.52088
1891-02-02,6.05143,0.55906
1891-02-03,6.14616,0.56512
1891-02-04,6.23040,0.54321
1891-02-05,6.27321,0.48811
1891-02-06,6.28174,0.38240
1891-02-07,6.25082,0.28350
1891-02-08,6.25499,0.23650
1891-02-09,6.27220,0.26152
1891-02-10,6.26572,0.27609
1891-02-11,6.26966,0.27212
1891-02-12,6.31454,0.22292
1891-02-13,6.42438,0.18581
1891-02-14,6.57466,0.12752
1891-02-15,6.74487,0.08686
1891-02-16,6.90703,0.09904
1891-02-17,7.05966,0.13554
1891-02-18,7.16964,0.17728
1891-02-19,7.22190,0.25746
1891-02-20,7.21011,0.36329
1891-02-21,7.12893,0.47204
1891-02-22,6.97175,0.58723
1891-02-23,6.73629,0.72164
1891-02-24,6.54111,0.88679
1891-02-25,6.40971,1.05565
1891-02-26,6.33882,1.16137
1891-02-27,6.33630,1.19489
1891-02-28,6.39770,1.11544
1891-03-01,6.56224,0.85371
1891-03-02,6.82006,0.50009
1891-03-03,7.07939,0.14332
1891-03-04,7.27127,-0.20170
1891-03-05,7.38916,-0.52770
1891-03-06,7.45037,-0.81229
