Date,PC1,PC2
1915-01-01,0.22095,0.07503
1915-01-02,0.08865,0.14664
1915-01-03,-0.05891,0.22462
1915-01-04,-0.21429,0.30577
1915-01-05,-0.36909,0.38602
1915-01-06,-0.51467,0.46054
1915-01-07,-0.64301,0.52391
1915-01-08,-0.74735,0.57043
1915-01-09,-0.82284,0.59449
1915-01-10,-0.86690,0.59102
1915-01-11,-0.87933,0.55604
1915-01-12,-0.86215,0.48742
1915-01-13,-0.81930,0.38587
1915-01-14,-0.75612,0.25595
1915-01-15,-0.67876,0.10666
1915-01-16,-0.59359,-0.04948
1915-01-17,-0.50659,-0.19953
1915-01-18,-0.42295,-0.33371
1915-01-19,-0.34657,-0.44716
1915-01-20,-0.27984,-0.53897
1915-01-21,-0.22341,-0.61002
1915-01-22,-0.17612,-0.66148
1915-01-23,-0.13499,-0.69415
1915-01-24,-0.09532,-0.70842
1915-01-25,-0.05102,-0.70422
1915-01-26,0.00462,-0.68056
1915-01-27,0.07706,-0.63457
1915-01-28,0.16634,-0.56087
1915-01-29,0.26208,-0.45459
1915-01-30,0.34705,-0.31924
1915-01-31,0.41250,-0.16853
1915-02-01,0.46392,-0.01809
1915-02-02,0.51196,0.11887
1915-02-03,0.56491,0.23118
1915-02-04,0.62700,0.31110
1915-02-05,0.69898,0.35689
1915-02-06,0.77903,0.37310
1915-02-07,0.86353,0.36798
1915-02-08,0.94773,0.35034
1915-02-09,1.02624,0.32756
1915-02-10,1.09357,0.30471
1915-02-11,1.14448,0.28430
1915-02-12,1.17446,0.26631
1915-02-13,1.18008,0.24856
1915-02-14,1.15942,0.22759
1915-02-15,1.11227,0.20002
1915-02-16,1.04029,0.16406
1915-02-17,0.94692,0.12075
1915-02-18,0.83714,0.07415
1915-02-19,0.71721,0.03053
1915-02-20,0.59414,-0.00293
1915-02-21,0.47520,-0.01932
1915-02-22,0.36707,-0.01201
1915-02-23,0.27267,0.03021
1915-02-24,0.13967,0.15298
1915-02-25,-0.04027,0.18430
1915-02-26,-0.14471,0.18393
1915-02-27,-0.24584,0.21350
1915-02-28,-0.35093,0.27413
1915-03-01,-0.45906,0.36289
1915-03-02,-0.56870,0.47461
1915-03-03,-0.64890,0.63580
1915-03-04,-0.71721,0.81062
1915-03-05,-0.77441,0.98886
1915-03-06,-0.82281,1.16007
1915-03-07,-0.86574,1.31428
1915-03-08,-0.90696,1.44270
1915-03-09,-0.95021,1.53836
