Date,PC1,PC2
1991-01-01,-0.03643,-0.53994
1991-01-02,-0.09752,-0.53903
1991-01-03,-0.17189,-0.53162
1991-01-04,-0.25573,-0.52299
1991-01-05,-0.34458,-0.52267
1991-01-06,-0.43384,-0.54470
1991-01-07,-0.51916,-0.60212
1991-01-08,-0.59675,-0.69067
1991-01-09,-0.66358,-0.78616
1991-01-10,-0.71754,-0.87168
1991-01-11,-0.75749,-0.94554
1991-01-12,-0.78333,-1.00997
1991-01-13,-0.79595,-1.06557
1991-01-14,-0.79711,-1.11067
1991-01-15,-0.78910,-1.14191
1991-01-16,-0.77432,-1.15510
1991-01-17,-0.75454,-1.14629
1991-01-18,-0.73014,-1.11310
1991-01-19,-0.69938,-1.05618
1991-01-20,-0.65831,-0.98062
1991-01-21,-0.60180,-0.89681
1991-01-22,-0.52562,-0.81978
1991-01-23,-0.42877,-0.76493
1991-01-24,-0.31440,-0.73779
1991-01-25,-0.18892,-0.72758
1991-01-26,-0.06023,-0.72174
1991-01-27,0.06418,-0.71754
1991-01-28,0.17841,-0.71635
1991-01-29,0.27889,-0.71931
1991-01-30,0.36475,-0.72695
1991-01-31,0.43797,-0.73918
1991-02-01,0.50350,-0.75494
1991-02-02,0.56944,-0.77128
1991-02-03,0.64679,-0.78180
1991-02-04,0.74728,-0.77535
1991-02-05,0.87588,-0.73877
1991-02-06,1.02107,-0.66939
1991-02-07,1.16170,-0.58395
1991-02-08,1.28681,-0.50137
1991-02-09,1.39710,-0.42617
1991-02-10,1.49564,-0.35281
1991-02-11,1.58384,-0.27405
1991-02-12,1.66127,-0.18468
1991-02-13,1.72601,-0.08227
1991-02-14,1.77511,0.03311
1991-02-15,1.80480,0.15957
1991-02-16,1.81103,0.29413
1991-02-17,1.78994,0.43338
1991-02-18,1.73845,0.57400
1991-02-19,1.65473,0.71313
1991-02-20,1.53857,0.84852
1991-02-21,1.39155,0.97863
1991-02-22,1.21703,1.10260
1991-02-23,1.01987,1.22009
1991-02-24,0.80612,1.33113
1991-02-25,0.58250,1.43588
1991-02-26,0.35596,1.53433
1991-02-27,0.13318,1.62606
1991-02-28,-0.07979,1.71003
1991-03-01,-0.27786,1.78440
1991-03-02,-0.45712,1.84658
1991-03-03,-0.58274,1.90091
1991-03-04,-0.68316,1.94245
1991-03-05,-0.75885,1.96665
1991-03-06,-0.81163,1.96965
1991-03-07,-0.84483,1.94903
1991-03-08,-0.86317,1.90422
1991-03-09,-0.87278,1.83644
1991-03-10,-0.88126,1.74808
1991-03-11,-0.89820,1.64129
1991-03-12,-0.93791,1.51439
1991-03-13,-1.03293,1.34628
1991-03-14,-1.32761,0.93840
1991-03-15,-1.52616,-0.39011
1991-03-16,-1.34050,-0.77967
1991-03-17,-1.22870,-0.95295
1991-03-18,-1.14913,-1.09368
1991-03-19,-1.08931,-1.22535
1991-03-20,-1.04354,-1.34882
1991-03-21,-1.00733,-1.45898
1991-03-22,-0.97612,-1.54904
1991-03-23,-0.94505,-1.61262
1991-03-24,-0.90913,-1.64509
1991-03-25,-0.86365,-1.64451
1991-03-26,-0.80452,-1.61211
1991-03-27,-0.72873,-1.55214
1991-03-28,-0.63464,-1.47127
1991-03-29,-0.52221,-1.37751
1991-03-30,-0.39303,-1.27910
1991-03-31,-0.25024,-1.18352
1991-04-01,-0.09819,-1.09683
1991-04-02,0.05787,-1.02334
1991-04-03,0.21230,-0.96562
1991-04-04,0.35948,-0.92487
1991-04-05,0.49426,-0.90131
1991-04-06,0.61225,-0.89474
1991-04-07,0.71015,-0.90491
1991-04-08,0.78583,-0.93159
1991-04-09,0.83848,-0.97431
1991-04-10,0.86865,-1.03177
1991-04-11,0.87822,-1.10124
1991-04-12,0.87038,-1.17813
1991-04-13,0.84959,-1.25600
1991-04-14,0.82146,-1.32707
1991-04-15,0.79244,-1.38308
1991-04-16,0.76940,-1.41625
1991-04-17,0.75902,-1.42020
1991-04-18,0.76711,-1.39043
1991-04-19,0.79806,-1.32430
1991-04-20,0.85439,-1.22032
1991-04-21,0.93632,-1.07682
1991-04-22,1.04080,-0.88991
1991-04-23,1.15900,-0.65145
1991-04-24,1.27075,-0.35064
1991-04-25,1.34081,0.01128
1991-04-26,1.33780,0.39629
1991-04-27,1.27054,0.74500
1991-04-28,1.17627,1.02743
1991-04-29,1.08201,1.24602
1991-04-30,0.99698,1.41194
1991-05-01,0.92079,1.53483
1991-05-02,0.84959,1.62248
1991-05-03,0.77889,1.68233
1991-05-04,0.70472,1.72221
1991-05-05,0.62408,1.75022
1991-05-06,0.53490,1.77400
1991-05-07,0.43586,1.79976
1991-05-08,0.32607,1.83136
1991-05-09,0.20488,1.86972
1991-05-10,0.07175,1.91271
1991-05-11,-0.07370,1.95543
1991-05-12,-0.23158,1.99093
1991-05-13,-0.40144,2.01110
1991-05-14,-0.58205,2.00766
1991-05-15,-0.77105,1.97311
1991-05-16,-0.96487,1.90147
1991-05-17,-1.15877,1.78893
1991-05-18,-1.34723,1.63416
1991-05-19,-1.52460,1.43838
1991-05-20,-1.68575,1.20504
1991-05-21,-1.82643,0.93933
1991-05-22,-1.94328,0.64762
1991-05-23,-2.03340,0.33701
1991-05-24,-2.09393,0.01515
1991-05-25,-2.12166,-0.30998
1991-05-26,-2.11295,-0.63015
1991-05-27,-2.06389,-0.93698
1991-05-28,-1.97068,-1.22210
1991-05-29,-1.83015,-1.47720
1991-05-30,-1.64042,-1.69423
1991-05-31,-1.40148,-1.86554
1991-06-01,-1.11574,-1.98416
1991-06-02,-0.78838,-2.04422
1991-06-03,-0.42745,-2.04146
1991-06-04,-0.04366,-1.97381
1991-06-05,0.35010,-1.84180
1991-06-06,0.73947,-1.64884
1991-06-07,1.10940,-1.40114
1991-06-08,1.44493,-1.10752
1991-06-09,1.73212,-0.77919
1991-06-10,1.95897,-0.42952
1991-06-11,2.11667,-0.07385
1991-06-12,2.20082,0.27111
1991-06-13,2.21230,0.58849
1991-06-14,2.15723,0.86331
1991-06-15,2.04552,1.08464
1991-06-16,1.88876,1.24688
1991-06-17,1.69811,1.34981
1991-06-18,1.48309,1.39745
1991-06-19,1.25138,1.39653
1991-06-20,1.00916,1.35513
1991-06-21,0.76178,1.28178
1991-06-22,0.51416,1.18496
1991-06-23,0.27111,1.07285
1991-06-24,0.03728,0.95317
1991-06-25,-0.18298,0.83291
1991-06-26,-0.38582,0.71804
1991-06-27,-0.56814,0.61301
1991-06-28,-0.72768,0.52040
1991-06-29,-0.86311,0.44047
1991-06-30,-0.97395,0.37074
1991-07-01,-1.06044,0.30539
1991-07-02,-1.12314,0.23389
1991-07-03,-1.16172,0.13816
1991-07-04,-1.16971,-0.01141
1991-07-05,-1.12065,-0.23999
1991-07-06,-0.98841,-0.48037
1991-07-07,-0.82905,-0.61073
1991-07-08,-0.69263,-0.63687
1991-07-09,-0.57514,-0.60764
1991-07-10,-0.46453,-0.55361
1991-07-11,-0.35403,-0.49254
1991-07-12,-0.24145,-0.43618
1991-07-13,-0.12757,-0.39257
1991-07-14,-0.01506,-0.36661
1991-07-15,0.09227,-0.35995
1991-07-16,0.19000,-0.37106
1991-07-17,0.27372,-0.39548
1991-07-18,0.33956,-0.42649
1991-07-19,0.38478,-0.45590
1991-07-20,0.40837,-0.47511
1991-07-21,0.41146,-0.47618
1991-07-22,0.39766,-0.45284
1991-07-23,0.37300,-0.40137
1991-07-24,0.34564,-0.32129
1991-07-25,0.32516,-0.21577
1991-07-26,0.32169,-0.09193
1991-07-27,0.34508,0.03861
1991-07-28,0.40520,0.15718
1991-07-29,0.51583,0.22500
1991-07-30,0.69112,0.11833
1991-07-31,0.79237,-0.24827
1991-08-01,0.79514,-0.49426
1991-08-02,0.78021,-0.63765
1991-08-03,0.74023,-0.72511
1991-08-04,0.67390,-0.76251
1991-08-05,0.58826,-0.74972
1991-08-06,0.49561,-0.69035
1991-08-07,0.41090,-0.59421
1991-08-08,0.34916,-0.47660
1991-08-09,0.32268,-0.35522
1991-08-10,0.33826,-0.24582
1991-08-11,0.39523,-0.15824
1991-08-12,0.48484,-0.09350
1991-08-13,0.59125,-0.04220
1991-08-14,0.69339,0.01530
1991-08-15,0.76616,0.09953
1991-08-16,0.78796,0.19833
1991-08-17,0.76274,0.25506
1991-08-18,0.70959,0.23886
1991-08-19,0.63530,0.16671
1991-08-20,0.54229,0.07074
1991-08-21,0.43931,-0.01946
1991-08-22,0.34192,-0.08309
1991-08-23,0.26788,-0.11011
1991-08-24,0.23196,-0.10019
1991-08-25,0.24265,-0.05989
1991-08-26,0.30113,0.00036
1991-08-27,0.40209,0.06881
1991-08-28,0.53528,0.13432
1991-08-29,0.68738,0.18783
1991-08-30,0.84380,0.22348
1991-08-31,0.99023,0.23933
1991-09-01,1.11386,0.23752
1991-09-02,1.20442,0.22395
1991-09-03,1.25471,0.20733
1991-09-04,1.26098,0.19787
1991-09-05,1.22292,0.20570
1991-09-06,1.14337,0.23924
1991-09-07,1.02783,0.30391
1991-09-08,0.88372,0.40119
1991-09-09,0.71951,0.52831
1991-09-10,0.54364,0.67842
1991-09-11,0.36342,0.84135
1991-09-12,0.18386,1.00450
1991-09-13,0.00689,1.15392
1991-09-14,-0.16857,1.27519
1991-09-15,-0.34364,1.35481
1991-09-16,-0.51226,1.38381
1991-09-17,-0.65382,1.36527
1991-09-18,-0.73968,1.31784
1991-09-19,-0.75281,1.26383
1991-09-20,-0.69559,1.21399
1991-09-21,-0.58219,1.16599
1991-09-22,-0.43117,1.11099
1991-09-23,-0.26348,1.03959
1991-09-24,-0.10375,0.94667
1991-09-25,0.01997,0.83732
1991-09-26,0.08429,0.73071
1991-09-27,0.08306,0.65329
1991-09-28,0.02844,0.62518
1991-09-29,-0.05945,0.65419
1991-09-30,-0.16116,0.73810
1991-10-01,-0.26102,0.86833
1991-10-02,-0.34771,1.03258
1991-10-03,-0.41402,1.21656
1991-10-04,-0.45645,1.40546
1991-10-05,-0.47450,1.58543
1991-10-06,-0.46940,1.74489
1991-10-07,-0.44212,1.87589
1991-10-08,-0.39007,1.97508
1991-10-09,-0.30157,2.04401
1991-10-10,-0.14813,2.08618
1991-10-11,0.10960,2.09487
1991-10-12,0.44002,2.04857
1991-10-13,0.68502,1.97870
1991-10-14,0.77456,1.95291
1991-10-15,0.75479,1.98037
1991-10-16,0.67332,2.03909
1991-10-17,0.55792,2.10625
1991-10-18,0.42452,2.16374
1991-10-19,0.28314,2.19800
1991-10-20,0.14069,2.19952
1991-10-21,-0.08582,2.18635
1991-10-22,-0.29266,2.11716
1991-10-23,-0.47314,1.99506
1991-10-24,-0.62212,1.82541
1991-10-25,-0.73626,1.61541
1991-10-26,-0.81413,1.37363
1991-10-27,-0.85626,1.10955
1991-10-28,-0.86502,0.83307
1991-10-29,-0.84438,0.55410
1991-10-30,-0.79963,0.28219
1991-10-31,-0.73698,0.02621
1991-11-01,-0.66308,-0.20583
1991-11-02,-0.58463,-0.40701
1991-11-03,-0.50791,-0.57155
1991-11-04,-0.43839,-0.69495
1991-11-05,-0.38049,-0.77406
1991-11-06,-0.33734,-0.80715
1991-11-07,-0.31071,-0.79396
1991-11-08,-0.30107,-0.73573
1991-11-09,-0.30768,-0.63530
1991-11-10,-0.32889,-0.49703
1991-11-11,-0.36356,-0.31223
1991-11-12,-0.40540,-0.13168
1991-11-13,-0.46080,0.06327
1991-11-14,-0.52812,0.26344
1991-11-15,-0.60579,0.45931
1991-11-16,-0.69249,0.64137
1991-11-17,-0.78709,0.80032
1991-11-18,-0.88848,0.92739
1991-11-19,-0.99511,1.01461
1991-11-20,-1.10460,1.05515
1991-11-21,-1.21333,1.04378
1991-11-22,-1.31641,0.97730
1991-11-23,-1.40816,0.85495
1991-11-24,-1.48281,0.67851
1991-11-25,-1.53544,0.45229
1991-11-26,-1.56255,0.18295
1991-11-27,-1.56221,-0.12066
1991-11-28,-1.53378,-0.44757
1991-11-29,-1.47738,-0.78482
1991-11-30,-1.39340,-1.11800
1991-12-01,-1.28205,-1.43219
1991-12-02,-1.14314,-1.71342
1991-12-03,-0.97605,-1.95018
1991-12-04,-0.77985,-2.13447
1991-12-05,-0.55367,-2.26199
1991-12-06,-0.29709,-2.33143
1991-12-07,-0.01076,-2.34322
1991-12-08,0.30305,-2.29817
1991-12-09,0.63975,-2.19666
1991-12-10,0.99189,-2.03850
1991-12-11,1.34872,-1.82369
1991-12-12,1.69623,-1.55409
1991-12-13,2.01799,-1.23546
1991-12-14,2.29690,-0.87904
1991-12-15,2.51770,-0.50193
1991-12-16,2.66952,-0.12539
