Date,PC1,PC2
2015-01-01,0.15554,0.04759
2015-01-02,0.00945,0.19032
2015-01-03,-0.15047,0.33881
2015-01-04,-0.31399,0.48714
2015-01-05,-0.47022,0.62945
2015-01-06,-0.60901,0.75972
2015-01-07,-0.72206,0.87171
2015-01-08,-0.80377,0.95896
2015-01-09,-0.85168,1.01493
2015-01-10,-0.86641,1.03330
2015-01-11,-0.85129,1.00840
2015-01-12,-0.81174,0.93582
2015-01-13,-0.75440,0.81350
2015-01-14,-0.68629,0.64330
2015-01-15,-0.61400,0.43284
2015-01-16,-0.54314,0.19634
2015-01-17,-0.47792,-0.04714
2015-01-18,-0.42105,-0.27800
2015-01-19,-0.37370,-0.48049
2015-01-20,-0.33565,-0.64456
2015-01-21,-0.30544,-0.76550
2015-01-22,-0.28047,-0.84279
2015-01-23,-0.25707,-0.87911
2015-01-24,-0.23045,-0.87961
2015-01-25,-0.19467,-0.85100
2015-01-26,-0.14256,-0.80021
2015-01-27,-0.06657,-0.73189
2015-01-28,0.03676,-0.64446
2015-01-29,0.15421,-0.52972
2015-01-30,0.25385,-0.38837
2015-01-31,0.32135,-0.23774
2015-02-01,0.37101,-0.09173
2015-02-02,0.42001,0.04392
2015-02-03,0.47803,0.16534
2015-02-04,0.54865,0.26892
2015-02-05,0.63180,0.35219
2015-02-06,0.72514,0.41449
2015-02-07,0.82476,0.45663
2015-02-08,0.92569,0.48004
2015-02-09,1.02215,0.48585
2015-02-10,1.10799,0.47446
2015-02-11,1.17704,0.44551
2015-02-12,1.22364,0.39834
2015-02-13,1.24313,0.33271
2015-02-14,1.23234,0.24977
2015-02-15,1.18998,0.15280
2015-02-16,1.11699,0.04767
2015-02-17,1.01667,-0.05733
2015-02-18,0.89472,-0.15241
2015-02-19,0.75892,-0.22763
2015-02-20,0.61873,-0.27445
2015-02-21,0.48451,-0.28695
2015-02-22,0.36668,-0.26245
2015-02-23,0.27458,-0.20120
2015-02-24,0.21469,-0.10425
2015-02-25,0.17857,0.04106
2015-02-26,-0.03034,0.23816
2015-02-27,-0.21756,0.31232
2015-02-28,-0.36835,0.42029
2015-03-01,-0.50984,0.56087
2015-03-02,-0.64368,0.72403
2015-03-03,-0.69576,0.95550
2015-03-04,-0.72558,1.18294
2015-03-05,-0.73845,1.39279
2015-03-06,-0.74134,1.57326
2015-03-07,-0.74203,1.71525
2015-03-08,-0.74826,1.81294
2015-03-09,-0.76697,1.86412
2015-03-10,-0.80358,1.87017
2015-03-11,-0.86152,1.83568
2015-03-12,-0.94191,1.76773
2015-03-13,-1.04350,1.67503
2015-03-14,-1.16291,1.56679
2015-03-15,-1.29504,1.45163
2015-03-16,-1.43381,1.33648
2015-03-17,-1.57292,1.22573
2015-03-18,-1.70667,1.12073
2015-03-19,-1.83066,1.01970
2015-03-20,-1.94210,0.91832
2015-03-21,-2.03979,0.81068
2015-03-22,-2.12363,0.69036
2015-03-23,-2.19379,0.55105
2015-03-24,-2.24968,0.38624
2015-03-25,-2.28842,0.18761
