Date,PC1,PC2
2015-01-01,-0.42240,-0.80746
2015-01-02,-1.09835,-1.29785
2015-01-03,-0.66682,-0.52983
2015-01-04,-0.75711,-0.12392
2015-01-05,-1.42829,0.15686
2015-01-06,-1.51518,0.20435
2015-01-07,-1.28875,0.18135
2015-01-08,-1.13755,0.56189
2015-01-09,-0.83546,0.75240
2015-01-10,-0.73286,0.53227
2015-01-11,-0.64836,-0.04405
2015-01-12,-0.33612,-0.08563
2015-01-13,0.07073,-0.46211
2015-01-14,0.50808,-0.34492
2015-01-15,1.14902,-0.16942
2015-01-16,1.47541,-0.42301
2015-01-17,1.32806,-0.27788
2015-01-18,1.18906,0.03313
2015-01-19,1.00740,0.28219
2015-01-20,0.94934,0.30078
2015-01-21,1.21723,0.31772
2015-01-22,1.22732,-0.08305
2015-01-23,0.85581,-0.43894
2015-01-24,0.78298,-0.38946
2015-01-25,0.63152,-0.28372
2015-01-26,0.16761,-0.24330
2015-01-27,-0.31221,-0.20681
2015-01-28,-0.35446,-0.07805
2015-01-29,-0.27657,0.43613
2015-01-30,-0.28308,1.07482
2015-01-31,-0.32816,1.15089
2015-02-01,-0.32663,1.26755
2015-02-02,-0.25244,1.51743
2015-02-03,-0.32632,1.26853
2015-02-04,-0.05879,0.51920
2015-02-05,0.49251,0.12400
2015-02-06,0.86938,-0.05498
2015-02-07,0.82660,-0.37271
2015-02-08,0.45195,-0.51674
2015-02-09,0.23873,0.01492
2015-02-10,0.15513,0.37105
2015-02-11,0.08185,0.25579
2015-02-12,-0.22461,0.19983
2015-02-13,-0.53530,0.50362
2015-02-14,-0.44322,0.54731
2015-02-15,-0.38898,0.26642
2015-02-16,-0.33640,-0.02485
2015-02-17,-0.17736,-0.41706
2015-02-18,-0.04102,-0.66605
2015-02-19,-0.04054,-0.55459
2015-02-20,0.18142,-0.57858
2015-02-21,0.45418,-0.74147
2015-02-22,0.50464,-0.75318
2015-02-23,0.37429,-0.61348
2015-02-24,0.12699,-0.90570
2015-02-25,-0.03946,-1.07185
2015-02-26,-0.10259,-1.09640
2015-02-27,-0.12466,-0.95118
2015-02-28,-0.30197,-0.68912
2015-03-01,-0.75707,-0.48869
2015-03-02,-1.09263,-0.68720
2015-03-03,-1.11775,-0.59758
2015-03-04,-1.30359,-0.12642
2015-03-05,-1.60738,0.06320
2015-03-06,-1.84931,0.11782
2015-03-07,-1.98637,0.65653
2015-03-08,-1.86785,1.46049
2015-03-09,-1.39925,2.21832
2015-03-10,-0.83736,2.82787
2015-03-11,-0.52213,3.21061
2015-03-12,-0.23464,3.09501
2015-03-13,0.33284,2.51355
2015-03-14,1.41197,1.48388
2015-03-15,2.36001,0.77004
2015-03-16,2.68092,0.72293
2015-03-17,2.51950,0.84082
2015-03-18,2.22829,0.54037
2015-03-19,2.06209,0.13877
2015-03-20,1.75275,0.02320
2015-03-21,1.04568,-0.13479
2015-03-22,0.55260,-0.40737
2015-03-23,0.41562,-0.64638
2015-03-24,0.47699,-0.87117
2015-03-25,0.44780,-1.28465
2015-03-26,0.08240,-1.52035
2015-03-27,-0.25542,-1.43802
2015-03-28,-0.37475,-1.41226
2015-03-29,-0.37411,-1.72787
2015-03-30,-0.43037,-1.83548
2015-03-31,-0.81887,-1.66299
2015-04-01,-1.20652,-1.45239
2015-04-02,-1.50929,-0.93287
