Date,PC1,PC2
2015-01-01,-0.84606,-1.33928
2015-01-02,-0.67697,-1.12345
2015-01-03,-0.70273,-0.62116
2015-01-04,-0.80860,-0.06766
2015-01-05,-1.25883,0.56838
2015-01-06,-1.39682,0.76742
2015-01-07,-1.17830,0.66307
2015-01-08,-0.93810,1.19120
2015-01-09,-0.69040,1.42841
2015-01-10,-0.55631,0.99663
2015-01-11,-0.29754,0.55367
2015-01-12,-0.14307,0.22025
2015-01-13,0.17914,-0.06911
2015-01-14,0.68111,0.14773
2015-01-15,1.03533,-0.15726
2015-01-16,1.38623,-0.44947
2015-01-17,1.15581,-0.55642
2015-01-18,1.14086,-0.28110
2015-01-19,0.96761,-0.01085
2015-01-20,1.03648,-0.12066
2015-01-21,1.17503,-0.47167
2015-01-22,1.22517,-0.95467
2015-01-23,0.88086,-0.97764
2015-01-24,0.68968,-1.03384
2015-01-25,0.52262,-0.66898
2015-01-26,0.08079,-0.63013
2015-01-27,-0.44457,-0.55510
2015-01-28,-0.48006,-0.17260
2015-01-29,-0.31867,-0.02663
2015-01-30,-0.25096,0.49294
2015-01-31,-0.26374,0.74132
2015-02-01,-0.25584,1.16299
2015-02-02,-0.07667,1.64610
2015-02-03,-0.19470,1.87227
2015-02-04,-0.10821,1.33158
2015-02-05,0.51648,0.36183
2015-02-06,0.79288,-0.14252
2015-02-07,0.73417,-0.08835
2015-02-08,0.36290,-0.38991
2015-02-09,0.08611,0.47278
2015-02-10,0.25053,0.40828
2015-02-11,0.04079,0.13381
2015-02-12,-0.32677,0.02288
2015-02-13,-0.65267,0.36309
2015-02-14,-0.49658,0.37468
2015-02-15,-0.50483,0.18057
2015-02-16,-0.35335,0.17750
2015-02-17,-0.10590,-0.31765
2015-02-18,0.20072,-0.52020
2015-02-19,0.17133,-0.66955
2015-02-20,0.18486,-0.51477
2015-02-21,0.45510,-0.41301
2015-02-22,0.48208,-0.24014
2015-02-23,0.46282,-0.41458
2015-02-24,0.01633,-0.59488
2015-02-25,-0.08514,-1.06527
2015-02-26,-0.11470,-1.18986
2015-02-27,-0.24051,-1.07090
2015-02-28,-0.49251,-1.24300
2015-03-01,-0.96606,-1.06275
2015-03-02,-1.35755,-0.97280
2015-03-03,-1.31539,-0.64097
2015-03-04,-1.55384,-0.58518
2015-03-05,-1.83370,-0.23851
2015-03-06,-1.96971,-0.32769
2015-03-07,-1.95908,0.31451
2015-03-08,-1.90132,1.62317
2015-03-09,-1.24351,2.04804
2015-03-10,-0.53782,2.81454
2015-03-11,-0.23585,3.13035
2015-03-12,0.30486,2.85550
2015-03-13,0.72104,2.71140
2015-03-14,1.77559,1.49397
2015-03-15,2.54817,0.63417
2015-03-16,2.69586,0.45436
2015-03-17,2.49305,0.49835
2015-03-18,2.23158,-0.10589
2015-03-19,1.84041,-0.43610
2015-03-20,1.67518,-0.43459
2015-03-21,0.86142,-0.19913
2015-03-22,0.32788,-0.51947
2015-03-23,0.13151,-0.74446
2015-03-24,0.25429,-0.54069
2015-03-25,0.45494,-0.68252
2015-03-26,0.05888,-0.70730
2015-03-27,-0.14614,-0.30658
2015-03-28,-0.49487,-0.51029
2015-03-29,-0.51503,-1.27179
2015-03-30,-0.47855,-1.58134
2015-03-31,-0.82294,-1.26121
2015-04-01,-1.10400,-1.38441
2015-04-02,-1.59298,-1.18184
