Date,PC1,PC2
2015-01-01,-7.09177,-0.91426
2015-01-02,4.47443,-2.33740
2015-01-03,-1.05718,2.35342
2015-01-04,-0.87436,-1.41432
2015-01-05,2.01718,-0.39199
2015-01-06,-0.26522,1.88327
2015-01-07,-0.41915,-1.46797
2015-01-08,1.36815,0.49367
2015-01-09,0.00069,1.13635
2015-01-10,-0.51879,-0.83678
2015-01-11,1.39127,0.07747
2015-01-12,-0.27333,1.30215
2015-01-13,-0.23709,-1.06651
2015-01-14,1.42428,0.83125
2015-01-15,-0.76826,0.66130
2015-01-16,0.19496,-0.73193
2015-01-17,0.55855,0.21402
2015-01-18,-0.13772,1.29658
2015-01-19,0.02085,-0.77924
2015-01-20,0.65801,0.20838
2015-01-21,-0.38781,1.25777
2015-01-22,-0.10714,-1.39662
2015-01-23,0.78467,0.75273
2015-01-24,-0.51688,1.07823
2015-01-25,0.16983,-1.75253
2015-01-26,0.29340,1.12595
2015-01-27,-0.51457,-0.12259
2015-01-28,0.03001,-0.91879
2015-01-29,0.22328,0.17942
2015-01-30,-0.43713,0.93915
2015-01-31,0.29794,-1.46361
2015-02-01,0.12693,1.00847
2015-02-02,-0.06856,0.66290
2015-02-03,-0.05546,-1.75615
2015-02-04,0.33305,1.08688
2015-02-05,-0.47495,0.35564
2015-02-06,0.19332,-2.20448
2015-02-07,0.02808,2.22527
2015-02-08,-0.05667,-0.69630
2015-02-09,-0.08167,-1.02594
2015-02-10,0.37670,1.96559
2015-02-11,-0.51482,-1.22647
2015-02-12,0.42703,-0.09350
2015-02-13,-0.14021,0.91719
2015-02-14,-0.16947,-0.77105
2015-02-15,-0.16578,-1.07623
2015-02-16,0.09288,1.59994
2015-02-17,-0.51950,-2.29744
2015-02-18,0.24808,1.00040
2015-02-19,-0.23992,-0.61529
2015-02-20,0.03341,0.22472
2015-02-21,0.09574,-0.09743
2015-02-22,0.12187,0.28844
2015-02-23,-0.20123,0.21076
2015-02-24,0.53443,-0.19087
2015-02-25,-0.33044,0.60813
2015-02-26,0.39861,0.16208
2015-02-27,-0.21420,-0.55833
2015-02-28,0.00644,0.35262
2015-03-01,0.06153,0.14726
2015-03-02,-0.27270,-0.79843
2015-03-03,0.39014,1.19362
2015-03-04,-0.51877,-0.58467
2015-03-05,0.40683,-0.33437
2015-03-06,-0.34320,0.78193
2015-03-07,0.10021,-0.49707
2015-03-08,0.07993,-0.13263
2015-03-09,-0.17417,0.62458
2015-03-10,0.33044,-0.25035
2015-03-11,-0.01598,0.38092
2015-03-12,0.12793,0.15776
2015-03-13,0.03489,0.31509
2015-03-14,-0.00479,-0.73081
2015-03-15,0.19828,1.32607
2015-03-16,-0.07434,-0.61044
2015-03-17,0.17545,0.06384
2015-03-18,-0.17914,0.61530
2015-03-19,0.08026,-0.88195
2015-03-20,-0.02537,0.59392
2015-03-21,-0.21813,-0.41512
2015-03-22,0.12381,0.17551
2015-03-23,-0.13203,-0.11705
2015-03-24,-0.08422,-0.09825
2015-03-25,-0.00964,0.07157
2015-03-26,-0.47805,-1.17056
2015-03-27,0.42210,1.08459
2015-03-28,-0.28984,-0.63171
2015-03-29,0.08256,-0.06929
2015-03-30,0.26060,0.50626
2015-03-31,-0.41229,-0.42092
2015-04-01,0.27292,-0.55074
