Date,PC1,PC2
2015-01-01,-0.85287,-1.35307
2015-01-02,-0.67961,-1.13972
2015-01-03,-0.70488,-0.63588
2015-01-04,-0.81391,-0.07691
2015-01-05,-1.27930,0.57164
2015-01-06,-1.42270,0.78452
2015-01-07,-1.21295,0.67825
2015-01-08,-0.97411,1.21180
2015-01-09,-0.73072,1.46845
2015-01-10,-0.60637,1.05542
2015-01-11,-0.35877,0.62571
2015-01-12,-0.21545,0.29096
2015-01-13,0.10435,-0.01070
2015-01-14,0.61212,0.19164
2015-01-15,0.97332,-0.11354
2015-01-16,1.34005,-0.41973
2015-01-17,1.11552,-0.53924
2015-01-18,1.10103,-0.26725
2015-01-19,0.93008,0.00411
2015-01-20,1.00834,-0.11690
2015-01-21,1.16360,-0.48604
2015-01-22,1.22285,-0.98029
2015-01-23,0.88645,-0.99353
2015-01-24,0.70752,-1.05071
2015-01-25,0.54719,-0.68444
2015-01-26,0.10028,-0.63609
2015-01-27,-0.43620,-0.56749
2015-01-28,-0.46717,-0.18772
2015-01-29,-0.29751,-0.06483
2015-01-30,-0.22769,0.44942
2015-01-31,-0.24006,0.69029
2015-02-01,-0.22656,1.12147
2015-02-02,-0.04185,1.62700
2015-02-03,-0.16266,1.90906
2015-02-04,-0.08053,1.40112
2015-02-05,0.55940,0.42459
2015-02-06,0.85916,-0.08716
2015-02-07,0.81013,-0.02902
2015-02-08,0.43002,-0.34312
2015-02-09,0.15293,0.52342
2015-02-10,0.32478,0.44421
2015-02-11,0.11081,0.15344
2015-02-12,-0.26570,0.03323
2015-02-13,-0.60312,0.35838
2015-02-14,-0.45245,0.35685
2015-02-15,-0.47202,0.16612
2015-02-16,-0.32167,0.17919
2015-02-17,-0.07778,-0.34498
2015-02-18,0.22373,-0.56632
2015-02-19,0.19368,-0.71199
2015-02-20,0.20878,-0.54109
2015-02-21,0.47898,-0.43463
2015-02-22,0.50782,-0.27426
2015-02-23,0.49308,-0.45739
2015-02-24,0.04293,-0.63914
2015-02-25,-0.05550,-1.11205
2015-02-26,-0.07707,-1.26377
2015-02-27,-0.19647,-1.16012
2015-02-28,-0.45432,-1.34036
2015-03-01,-0.94638,-1.15281
2015-03-02,-1.35221,-1.07267
2015-03-03,-1.31875,-0.74994
2015-03-04,-1.57316,-0.69858
2015-03-05,-1.87017,-0.33262
2015-03-06,-2.01796,-0.42319
2015-03-07,-2.02838,0.20578
2015-03-08,-1.98566,1.53728
2015-03-09,-1.33140,1.95624
2015-03-10,-0.62797,2.74541
2015-03-11,-0.33420,3.08894
2015-03-12,0.20709,2.82001
2015-03-13,0.62762,2.70210
2015-03-14,1.70232,1.49265
2015-03-15,2.49810,0.65248
2015-03-16,2.65867,0.47163
2015-03-17,2.47224,0.53281
2015-03-18,2.22270,-0.08548
2015-03-19,1.83787,-0.41250
2015-03-20,1.68491,-0.40598
2015-03-21,0.86849,-0.13696
2015-03-22,0.33314,-0.44640
2015-03-23,0.13135,-0.64786
2015-03-24,0.26272,-0.42298
2015-03-25,0.48160,-0.55092
2015-03-26,0.08946,-0.58283
2015-03-27,-0.10793,-0.19076
2015-03-28,-0.46613,-0.39445
2015-03-29,-0.48418,-1.16640
2015-03-30,-0.43761,-1.53467
2015-03-31,-0.77641,-1.24919
2015-04-01,-1.05803,-1.40522
2015-04-02,-1.56266,-1.23374
