Date,PC1,PC2
2015-01-01,-1.27468,-0.14035
2015-01-02,-1.20945,-0.18091
2015-01-03,-1.19475,-0.36211
2015-01-04,-1.37589,-0.63414
2015-01-05,-1.65577,-0.84319
2015-01-06,-1.78373,-0.79513
2015-01-07,-1.83015,-1.14039
2015-01-08,-1.68688,-1.59108
2015-01-09,-1.46675,-1.68155
2015-01-10,-1.23344,-1.45505
2015-01-11,-1.09049,-1.36505
2015-01-12,-0.86834,-1.30406
2015-01-13,-0.64769,-1.35838
2015-01-14,-0.26331,-1.38843
2015-01-15,0.18046,-1.21931
2015-01-16,0.46577,-1.05836
2015-01-17,0.35887,-0.78438
2015-01-18,0.32941,-0.80853
2015-01-19,0.25551,-0.81087
2015-01-20,0.41406,-0.90036
2015-01-21,0.53733,-0.95018
2015-01-22,0.62080,-0.81823
2015-01-23,0.47877,-0.26845
2015-01-24,0.55127,0.09203
2015-01-25,0.47258,0.22762
2015-01-26,0.14295,0.41826
2015-01-27,-0.20974,0.47952
2015-01-28,-0.39821,0.38344
2015-01-29,-0.38544,0.25321
2015-01-30,-0.38857,-0.03836
2015-01-31,-0.41154,-0.17580
2015-02-01,-0.17639,0.03486
2015-02-02,-0.02790,0.17715
2015-02-03,0.06466,0.28642
2015-02-04,0.07975,0.40529
2015-02-05,0.57654,0.56474
2015-02-06,0.82211,0.58106
2015-02-07,0.86849,0.67356
2015-02-08,0.77390,1.03019
2015-02-09,0.60013,0.98345
2015-02-10,0.47170,0.59278
2015-02-11,0.34952,0.45518
2015-02-12,0.17500,0.56148
2015-02-13,-0.10628,0.81864
2015-02-14,-0.26045,1.04442
2015-02-15,-0.38732,0.96763
2015-02-16,-0.49131,0.89622
2015-02-17,-0.45673,0.86100
2015-02-18,-0.30975,0.75569
2015-02-19,-0.27643,0.41933
2015-02-20,-0.14644,0.40499
2015-02-21,0.16076,0.55580
2015-02-22,0.08155,0.58032
2015-02-23,-0.03408,0.62672
2015-02-24,-0.25268,0.45871
2015-02-25,-0.41146,0.57810
2015-02-26,-0.44499,0.61983
2015-02-27,-0.39674,0.75605
2015-02-28,-0.36824,0.83389
2015-03-01,-0.53885,0.87426
2015-03-02,-0.92040,0.84068
2015-03-03,-0.92539,0.71845
2015-03-04,-0.99792,0.83514
2015-03-05,-1.12810,0.96912
2015-03-06,-1.35949,0.82583
2015-03-07,-1.54739,0.32362
2015-03-08,-1.40934,-0.11898
2015-03-09,-1.05871,-0.58671
2015-03-10,-0.58720,-0.89325
2015-03-11,-0.32788,-1.22802
2015-03-12,-0.04077,-1.76493
2015-03-13,0.31526,-1.93978
2015-03-14,1.17643,-2.06213
2015-03-15,2.01525,-1.82807
2015-03-16,2.32243,-1.71694
2015-03-17,2.27687,-1.53341
2015-03-18,2.27675,-1.25461
2015-03-19,2.22007,-0.78803
2015-03-20,2.14535,-0.50648
2015-03-21,1.83965,-0.17550
2015-03-22,1.57890,0.29252
2015-03-23,1.49916,0.72635
2015-03-24,1.42304,1.06661
2015-03-25,1.29841,1.33257
2015-03-26,1.04019,1.61842
2015-03-27,0.72497,1.77563
2015-03-28,0.48066,1.85666
2015-03-29,0.37622,1.83954
2015-03-30,0.08468,1.68457
2015-03-31,-0.16274,1.51194
