Date,PC1,PC2
2015-01-01,-0.84996,-0.33824
2015-01-02,-1.48255,-0.03471
2015-01-03,-1.12804,-0.36937
2015-01-04,-1.32181,-0.68538
2015-01-05,-1.76169,-0.74071
2015-01-06,-1.76989,-0.82159
2015-01-07,-1.80363,-1.12578
2015-01-08,-1.78214,-1.53692
2015-01-09,-1.45202,-1.67672
2015-01-10,-1.25239,-1.46335
2015-01-11,-1.14787,-1.30024
2015-01-12,-0.87709,-1.32856
2015-01-13,-0.64657,-1.34618
2015-01-14,-0.31972,-1.34138
2015-01-15,0.20785,-1.27000
2015-01-16,0.44901,-1.01437
2015-01-17,0.36855,-0.80301
2015-01-18,0.31986,-0.79984
2015-01-19,0.29144,-0.81884
2015-01-20,0.36500,-0.87416
2015-01-21,0.57863,-0.98595
2015-01-22,0.59813,-0.79194
2015-01-23,0.49411,-0.28022
2015-01-24,0.54696,0.08268
2015-01-25,0.48784,0.24171
2015-01-26,0.14112,0.40697
2015-01-27,-0.20648,0.48159
2015-01-28,-0.37754,0.40412
2015-01-29,-0.39873,0.24075
2015-01-30,-0.39105,-0.02194
2015-01-31,-0.39431,-0.16500
2015-02-01,-0.22255,0.01588
2015-02-02,0.00916,0.21026
2015-02-03,0.01172,0.25632
2015-02-04,0.10555,0.41349
2015-02-05,0.53777,0.56977
2015-02-06,0.84866,0.54553
2015-02-07,0.84997,0.69105
2015-02-08,0.77596,1.01197
2015-02-09,0.61728,0.97090
2015-02-10,0.44000,0.60896
2015-02-11,0.36216,0.43364
2015-02-12,0.17246,0.55990
2015-02-13,-0.11271,0.83012
2015-02-14,-0.25339,1.03093
2015-02-15,-0.37831,0.98747
2015-02-16,-0.51374,0.88664
2015-02-17,-0.44065,0.88815
2015-02-18,-0.32019,0.73902
2015-02-19,-0.29183,0.44775
2015-02-20,-0.11863,0.39252
2015-02-21,0.12355,0.54957
2015-02-22,0.12051,0.61967
2015-02-23,-0.05790,0.57433
2015-02-24,-0.23558,0.52109
2015-02-25,-0.39753,0.53959
2015-02-26,-0.45522,0.65234
2015-02-27,-0.37010,0.75928
2015-02-28,-0.35016,0.82993
2015-03-01,-0.56284,0.88954
2015-03-02,-0.85234,0.83546
2015-03-03,-0.96456,0.73797
2015-03-04,-0.96364,0.83820
2015-03-05,-1.10837,0.98554
2015-03-06,-1.37834,0.81850
2015-03-07,-1.52735,0.35999
2015-03-08,-1.42334,-0.14270
2015-03-09,-1.07116,-0.55733
2015-03-10,-0.62124,-0.88998
2015-03-11,-0.31551,-1.26453
2015-03-12,-0.12033,-1.70920
2015-03-13,0.31776,-2.00937
2015-03-14,1.14221,-2.02263
2015-03-15,1.97146,-1.87562
2015-03-16,2.32677,-1.72960
2015-03-17,2.27167,-1.56450
2015-03-18,2.23407,-1.25249
2015-03-19,2.26631,-0.83657
2015-03-20,2.12002,-0.50670
2015-03-21,1.83332,-0.20068
2015-03-22,1.60729,0.26018
2015-03-23,1.48493,0.72688
2015-03-24,1.43202,1.03702
2015-03-25,1.32590,1.32407
2015-03-26,1.04360,1.61104
2015-03-27,0.72415,1.77423
2015-03-28,0.52982,1.85045
2015-03-29,0.35969,1.84610
2015-03-30,0.11610,1.69526
2015-03-31,-0.13936,1.51200
