Date,PC1,PC2
2015-01-01,-0.62698,-0.05085
2015-01-02,-1.33476,-0.12525
2015-01-03,-0.79157,0.23643
2015-01-04,-0.80382,0.73556
2015-01-05,-1.29591,1.20006
2015-01-06,-1.30191,1.28464
2015-01-07,-1.12550,1.41484
2015-01-08,-0.91122,1.91932
2015-01-09,-0.50566,1.99584
2015-01-10,-0.37878,1.77300
2015-01-11,-0.33576,1.34000
2015-01-12,-0.02330,1.14984
2015-01-13,0.21446,0.75640
2015-01-14,0.46694,0.47238
2015-01-15,0.93192,-0.00360
2015-01-16,1.04288,-0.60651
2015-01-17,0.76981,-0.81009
2015-01-18,0.63240,-0.68677
2015-01-19,0.62917,-0.37341
2015-01-20,0.76050,-0.20293
2015-01-21,1.10133,-0.18529
2015-01-22,1.09197,-0.44697
2015-01-23,0.69455,-0.77091
2015-01-24,0.60859,-1.00997
2015-01-25,0.40562,-0.88582
2015-01-26,-0.09183,-0.70328
2015-01-27,-0.53915,-0.53197
2015-01-28,-0.61392,-0.47319
2015-01-29,-0.55048,-0.19059
2015-01-30,-0.42205,0.21331
2015-01-31,-0.30988,0.36333
2015-02-01,-0.09720,0.52300
2015-02-02,0.02073,0.64169
2015-02-03,-0.05206,0.77091
2015-02-04,0.01057,0.39876
2015-02-05,0.36755,-0.19607
2015-02-06,0.67892,-0.51470
2015-02-07,0.66541,-0.65748
2015-02-08,0.39973,-0.70734
2015-02-09,0.33042,-0.39381
2015-02-10,0.34737,0.04747
2015-02-11,0.35741,0.20699
2015-02-12,0.09645,0.21009
2015-02-13,-0.35128,0.08929
2015-02-14,-0.57662,-0.20056
2015-02-15,-0.67860,-0.22082
2015-02-16,-0.64929,-0.09723
2015-02-17,-0.48821,-0.25267
2015-02-18,-0.24692,-0.30472
2015-02-19,-0.09498,-0.07334
2015-02-20,0.12058,-0.20359
2015-02-21,0.28905,-0.57401
2015-02-22,0.19074,-0.76832
2015-02-23,-0.05290,-0.61644
2015-02-24,-0.32242,-0.51379
2015-02-25,-0.45108,-0.45028
2015-02-26,-0.49380,-0.48242
2015-02-27,-0.46709,-0.47425
2015-02-28,-0.51670,-0.40796
2015-03-01,-0.88376,-0.66392
2015-03-02,-1.14016,-0.47561
2015-03-03,-1.14317,-0.33301
2015-03-04,-1.26670,-0.14746
2015-03-05,-1.53552,-0.03373
2015-03-06,-1.66890,0.28986
2015-03-07,-1.65321,0.89007
2015-03-08,-1.31450,1.51237
2015-03-09,-0.68803,1.93331
2015-03-10,-0.09423,2.12278
2015-03-11,0.28390,2.27133
2015-03-12,0.67328,2.51428
2015-03-13,1.18866,2.46024
2015-03-14,2.02591,1.71081
2015-03-15,2.71351,0.77620
2015-03-16,2.86604,0.29073
2015-03-17,2.66112,0.11835
2015-03-18,2.39710,-0.20094
2015-03-19,2.20023,-0.53555
2015-03-20,1.85311,-0.63527
2015-03-21,1.23717,-0.61241
2015-03-22,0.70510,-0.80767
2015-03-23,0.36161,-1.15444
2015-03-24,0.22610,-1.43417
2015-03-25,0.09024,-1.62121
2015-03-26,-0.34618,-1.64298
2015-03-27,-0.77766,-1.60848
2015-03-28,-1.02018,-1.65641
2015-03-29,-1.16139,-1.88920
2015-03-30,-1.19036,-1.76982
2015-03-31,-1.32255,-1.24397
