Date,PC1,PC2
2015-01-01,-0.12706,-0.57032
2015-01-02,0.18587,-0.67635
2015-01-03,0.49232,-0.80705
2015-01-04,0.76773,-0.95230
2015-01-05,0.98999,-1.09977
2015-01-06,1.14128,-1.23598
2015-01-07,1.20966,-1.34749
2015-01-08,1.19004,-1.42216
2015-01-09,1.08460,-1.45027
2015-01-10,0.90257,-1.42541
2015-01-11,0.65932,-1.34517
2015-01-12,0.37500,-1.21141
2015-01-13,0.07270,-1.03019
2015-01-14,-0.22360,-0.81128
2015-01-15,-0.49115,-0.56737
2015-01-16,-0.71035,-0.31302
2015-01-17,-0.86643,-0.06340
2015-01-18,-0.95056,0.16696
2015-01-19,-0.96052,0.36543
2015-01-20,-0.90058,0.52231
2015-01-21,-0.78094,0.63161
2015-01-22,-0.61655,0.69148
2015-01-23,-0.42552,0.70430
2015-01-24,-0.22730,0.67630
2015-01-25,-0.04078,0.61695
2015-01-26,0.11748,0.53795
2015-01-27,0.23479,0.45212
2015-01-28,0.30336,0.37216
2015-01-29,0.32089,0.30942
2015-01-30,0.29055,0.27294
2015-01-31,0.22045,0.26856
2015-02-01,0.12256,0.29851
2015-02-02,0.01134,0.36127
2015-02-03,-0.09787,0.45180
2015-02-04,-0.19051,0.56216
2015-02-05,-0.25435,0.68240
2015-02-06,-0.28070,0.80153
2015-02-07,-0.26526,0.90876
2015-02-08,-0.20847,0.99453
2015-02-09,-0.11532,1.05151
2015-02-10,0.00529,1.07532
2015-02-11,0.14168,1.06492
2015-02-12,0.28072,1.02270
2015-02-13,0.40940,0.95416
2015-02-14,0.51626,0.86732
2015-02-15,0.59280,0.77177
2015-02-16,0.63439,0.67768
2015-02-17,0.64084,0.59463
2015-02-18,0.61647,0.53049
2015-02-19,0.56961,0.49057
2015-02-20,0.51168,0.47686
2015-02-21,0.45588,0.48775
2015-02-22,0.41566,0.51803
2015-02-23,0.40304,0.55925
2015-02-24,0.42714,0.60052
2015-02-25,0.49287,0.62950
2015-02-26,0.60007,0.63358
2015-02-27,0.74312,0.60122
2015-02-28,0.91118,0.52316
2015-03-01,1.08888,0.39349
2015-03-02,1.25760,0.21048
2015-03-03,1.39712,-0.02297
2015-03-04,1.48746,-0.29926
2015-03-05,1.51083,-0.60643
2015-03-06,1.45348,-0.92892
2015-03-07,1.30719,-1.24863
2015-03-08,1.07033,-1.54623
2015-03-09,0.74844,-1.80263
2015-03-10,0.35404,-2.00043
2015-03-11,-0.09403,-2.12532
2015-03-12,-0.57197,-2.16715
2015-03-13,-1.05269,-2.12081
2015-03-14,-1.50793,-1.98665
2015-03-15,-1.91039,-1.77045
2015-03-16,-2.23588,-1.48310
2015-03-17,-2.46517,-1.13977
2015-03-18,-2.58541,-0.75884
2015-03-19,-2.59111,-0.36056
2015-03-20,-2.48438,0.03430
2015-03-21,-2.27468,0.40592
2015-03-22,-1.97788,0.73672
2015-03-23,-1.61486,1.01243
2015-03-24,-1.20978,1.22291
2015-03-25,-0.78812,1.36261
2015-03-26,-0.37466,1.43062
2015-03-27,0.00834,1.43053
2015-03-28,0.34264,1.36976
2015-03-29,0.61519,1.25881
2015-03-30,0.81873,1.11029
2015-03-31,0.95185,0.93782
