Date,PC1,PC2
2013-01-01,-1.28967,-0.81787
2013-01-02,-1.35873,-0.61679
2013-01-03,-1.40532,-0.37333
2013-01-04,-1.63748,-0.03904
2013-01-05,-1.95718,0.26082
2013-01-06,-2.03610,0.47917
2013-01-07,-1.92629,0.65360
2013-01-08,-1.70094,0.79461
2013-01-09,-1.36369,1.02614
2013-01-10,-0.92180,1.21427
2013-01-11,-0.44497,1.30516
2013-01-12,-0.06799,1.38352
2013-01-13,0.15551,1.34551
2013-01-14,0.49112,1.33284
2013-01-15,0.71121,1.22693
2013-01-16,0.79458,1.19849
2013-01-17,0.92885,0.97898
2013-01-18,0.93705,0.76253
2013-01-19,0.96152,0.74303
2013-01-20,1.03278,0.65253
2013-01-21,1.00092,0.64800
2013-01-22,0.86114,0.76871
2013-01-23,0.68300,0.66595
2013-01-24,0.80629,0.71744
2013-01-25,0.83294,0.76252
2013-01-26,0.81389,0.73152
2013-01-27,1.04050,0.53272
2013-01-28,1.30328,0.21029
2013-01-29,1.40664,-0.11892
2013-01-30,1.56242,-0.43576
2013-01-31,1.61184,-0.86450
2013-02-01,1.64401,-1.15558
2013-02-02,1.48267,-1.59743
2013-02-03,1.13374,-1.88170
2013-02-04,0.85451,-2.01645
2013-02-05,0.52521,-2.07302
2013-02-06,0.22246,-2.02020
2013-02-07,0.14843,-2.04734
2013-02-08,0.21505,-2.05328
2013-02-09,0.14494,-2.09789
2013-02-10,-0.05955,-2.07220
2013-02-11,-0.40382,-1.94861
2013-02-12,-0.78616,-1.71805
2013-02-13,-1.11038,-1.75174
2013-02-14,-1.37662,-1.52059
2013-02-15,-1.55080,-0.98818
2013-02-16,-1.58926,-0.59399
2013-02-17,-1.59536,-0.28481
2013-02-18,-1.70605,-0.07603
2013-02-19,-1.67710,0.01903
2013-02-20,-1.67286,0.06506
2013-02-21,-1.64429,0.10949
2013-02-22,-1.56529,0.22884
2013-02-23,-1.22598,0.26650
2013-02-24,-0.92477,0.42959
2013-02-25,-0.81537,0.61441
2013-02-26,-0.63653,0.82448
2013-02-27,-0.44463,0.95248
2013-02-28,-0.12350,0.92517
2013-03-01,0.06379,0.97464
2013-03-02,0.17535,1.10536
2013-03-03,0.12205,1.04187
2013-03-04,0.38535,0.82358
2013-03-05,0.72740,0.52345
2013-03-06,0.99613,0.43392
2013-03-07,0.81643,0.39653
2013-03-08,0.52064,0.59935
2013-03-09,0.30305,0.96182
2013-03-10,0.23965,1.06388
2013-03-11,0.18396,0.96226
2013-03-12,0.08886,0.75428
2013-03-13,0.26665,0.83926
2013-03-14,0.42370,0.72919
2013-03-15,0.69528,0.47992
2013-03-16,0.88526,0.22440
2013-03-17,0.87698,0.02139
2013-03-18,0.78688,-0.31417
2013-03-19,0.78874,-0.54314
2013-03-20,0.73331,-0.54642
2013-03-21,0.60464,-0.64466
2013-03-22,0.57318,-0.85991
2013-03-23,0.43675,-0.83043
2013-03-24,0.38816,-0.60944
2013-03-25,0.26217,-0.33477
2013-03-26,0.30150,-0.24780
2013-03-27,0.19822,-0.23473
2013-03-28,0.00715,-0.12053
2013-03-29,-0.06734,0.08284
2013-03-30,-0.02634,-0.12912
2013-03-31,-0.04561,-0.26988
