Date,PC1,PC2
2015-01-01,-0.82982,-0.18861
2015-01-02,-1.52986,0.02180
2015-01-03,-1.10759,-0.25335
2015-01-04,-1.23222,-0.67196
2015-01-05,-1.62961,-0.89051
2015-01-06,-1.60730,-0.99729
2015-01-07,-1.61643,-1.29624
2015-01-08,-1.55623,-1.71321
2015-01-09,-1.21742,-1.81871
2015-01-10,-1.07125,-1.58517
2015-01-11,-1.01630,-1.39178
2015-01-12,-0.76814,-1.32284
2015-01-13,-0.56781,-1.24648
2015-01-14,-0.26788,-1.16034
2015-01-15,0.22428,-0.98072
2015-01-16,0.39923,-0.66583
2015-01-17,0.28363,-0.47806
2015-01-18,0.25902,-0.51787
2015-01-19,0.25517,-0.57750
2015-01-20,0.34453,-0.65300
2015-01-21,0.57440,-0.75155
2015-01-22,0.56821,-0.55586
2015-01-23,0.40903,-0.05073
2015-01-24,0.43084,0.31920
2015-01-25,0.36254,0.43312
2015-01-26,0.02952,0.48469
2015-01-27,-0.27264,0.46784
2015-01-28,-0.41020,0.36142
2015-01-29,-0.41387,0.19414
2015-01-30,-0.36253,-0.07900
2015-01-31,-0.33970,-0.23131
2015-02-01,-0.19411,-0.04212
2015-02-02,0.03104,0.14461
2015-02-03,0.04377,0.16612
2015-02-04,0.08049,0.38610
2015-02-05,0.42783,0.69929
2015-02-06,0.69236,0.78116
2015-02-07,0.64527,0.93605
2015-02-08,0.53681,1.21455
2015-02-09,0.42465,1.08048
2015-02-10,0.31793,0.62353
2015-02-11,0.27159,0.40751
2015-02-12,0.10393,0.50408
2015-02-13,-0.17624,0.75099
2015-02-14,-0.33719,0.96381
2015-02-15,-0.45579,0.91771
2015-02-16,-0.58881,0.81911
2015-02-17,-0.56462,0.88613
2015-02-18,-0.46305,0.76258
2015-02-19,-0.39551,0.41313
2015-02-20,-0.21446,0.36708
2015-02-21,0.01066,0.60658
2015-02-22,0.02498,0.68385
2015-02-23,-0.13585,0.58216
2015-02-24,-0.31549,0.49093
2015-02-25,-0.47244,0.48100
2015-02-26,-0.54081,0.58417
2015-02-27,-0.49103,0.69824
2015-02-28,-0.48667,0.71688
2015-03-01,-0.68687,0.67279
2015-03-02,-0.96114,0.54785
2015-03-03,-1.06715,0.40485
2015-03-04,-1.07161,0.44646
2015-03-05,-1.20758,0.54449
2015-03-06,-1.41678,0.33109
2015-03-07,-1.46226,-0.19240
2015-03-08,-1.25508,-0.71677
2015-03-09,-0.83243,-1.06726
2015-03-10,-0.33740,-1.32277
2015-03-11,0.02891,-1.66249
2015-03-12,0.28883,-2.05546
2015-03-13,0.71787,-2.21687
2015-03-14,1.45624,-2.02533
2015-03-15,2.21998,-1.70610
2015-03-16,2.56972,-1.49672
2015-03-17,2.50187,-1.33406
2015-03-18,2.40005,-1.00659
2015-03-19,2.36952,-0.58561
2015-03-20,2.21423,-0.32560
2015-03-21,1.93002,-0.12761
2015-03-22,1.66520,0.25087
2015-03-23,1.49272,0.68327
2015-03-24,1.40662,1.02227
2015-03-25,1.26816,1.35847
2015-03-26,0.96802,1.63942
2015-03-27,0.65278,1.77816
2015-03-28,0.44789,1.88646
2015-03-29,0.25509,1.92351
2015-03-30,0.00776,1.75195
2015-03-31,-0.24005,1.49620
2015-04-01,-0.42593,1.27350
