Date,PC1,PC2
2015-01-01,-0.83290,-0.16022
2015-01-02,-1.52587,0.05562
2015-01-03,-1.11035,-0.22807
2015-01-04,-1.24226,-0.63677
2015-01-05,-1.64182,-0.83824
2015-01-06,-1.62075,-0.94402
2015-01-07,-1.63400,-1.24983
2015-01-08,-1.58005,-1.67641
2015-01-09,-1.24389,-1.79211
2015-01-10,-1.09578,-1.55744
2015-01-11,-1.03948,-1.36115
2015-01-12,-0.79006,-1.30522
2015-01-13,-0.58659,-1.24758
2015-01-14,-0.28522,-1.17475
2015-01-15,0.20845,-1.00750
2015-01-16,0.38832,-0.69749
2015-01-17,0.27465,-0.49823
2015-01-18,0.24679,-0.52289
2015-01-19,0.24160,-0.58153
2015-01-20,0.33111,-0.66984
2015-01-21,0.55989,-0.77915
2015-01-22,0.55709,-0.58038
2015-01-23,0.40577,-0.06516
2015-01-24,0.43217,0.31003
2015-01-25,0.36512,0.42938
2015-01-26,0.03304,0.49811
2015-01-27,-0.26973,0.50275
2015-01-28,-0.40844,0.40255
2015-01-29,-0.41323,0.22494
2015-01-30,-0.36518,-0.05819
2015-01-31,-0.34445,-0.21343
2015-02-01,-0.19766,-0.02284
2015-02-02,0.02644,0.17182
2015-02-03,0.03770,0.19954
2015-02-04,0.07924,0.40816
2015-02-05,0.43210,0.69999
2015-02-06,0.69786,0.76817
2015-02-07,0.65456,0.91863
2015-02-08,0.55095,1.20237
2015-02-09,0.43557,1.08065
2015-02-10,0.32179,0.62787
2015-02-11,0.27318,0.41080
2015-02-12,0.10753,0.51810
2015-02-13,-0.16810,0.77861
2015-02-14,-0.32542,0.99608
2015-02-15,-0.44532,0.95302
2015-02-16,-0.57843,0.84873
2015-02-17,-0.54988,0.89489
2015-02-18,-0.44999,0.76103
2015-02-19,-0.39091,0.42180
2015-02-20,-0.21271,0.38247
2015-02-21,0.01484,0.62185
2015-02-22,0.02863,0.70677
2015-02-23,-0.13434,0.61555
2015-02-24,-0.31499,0.53108
2015-02-25,-0.47176,0.52573
2015-02-26,-0.53654,0.62367
2015-02-27,-0.48195,0.72458
2015-02-28,-0.47644,0.74211
2015-03-01,-0.67777,0.71198
2015-03-02,-0.95329,0.59792
2015-03-03,-1.06048,0.45592
2015-03-04,-1.06377,0.49820
2015-03-05,-1.19806,0.60379
2015-03-06,-1.41119,0.40129
2015-03-07,-1.46565,-0.11764
2015-03-08,-1.26710,-0.64961
2015-03-09,-0.85117,-1.01643
2015-03-10,-0.36264,-1.28691
2015-03-11,-0.00442,-1.63285
2015-03-12,0.24727,-2.03119
2015-03-13,0.67279,-2.21238
2015-03-14,1.41242,-2.04829
2015-03-15,2.17693,-1.74043
2015-03-16,2.52694,-1.52704
2015-03-17,2.46390,-1.36819
2015-03-18,2.37122,-1.05376
2015-03-19,2.34796,-0.63454
2015-03-20,2.19479,-0.35950
2015-03-21,1.91186,-0.14104
2015-03-22,1.65206,0.25551
2015-03-23,1.48656,0.69767
2015-03-24,1.40714,1.03412
2015-03-25,1.27573,1.36623
2015-03-26,0.98130,1.65439
2015-03-27,0.66942,1.80299
2015-03-28,0.46861,1.90897
2015-03-29,0.28063,1.93307
2015-03-30,0.03662,1.74277
2015-03-31,-0.20847,1.46600
