Date,PC1,PC2
2015-01-01,-1.14411,-0.28737
2015-01-02,-0.96875,-0.19798
2015-01-03,-0.86354,0.13560
2015-01-04,-0.86170,0.60534
2015-01-05,-1.12872,1.19153
2015-01-06,-1.34453,1.26932
2015-01-07,-1.14066,1.35562
2015-01-08,-0.80743,1.97384
2015-01-09,-0.52900,2.01383
2015-01-10,-0.38699,1.77010
2015-01-11,-0.27882,1.45407
2015-01-12,-0.06976,1.15172
2015-01-13,0.17953,0.79032
2015-01-14,0.49575,0.50667
2015-01-15,0.82123,-0.07134
2015-01-16,1.04348,-0.60331
2015-01-17,0.68592,-0.87567
2015-01-18,0.59421,-0.71595
2015-01-19,0.54522,-0.40559
2015-01-20,0.77215,-0.22812
2015-01-21,1.02131,-0.22761
2015-01-22,1.09778,-0.51543
2015-01-23,0.65562,-0.78164
2015-01-24,0.60572,-1.05060
2015-01-25,0.40852,-0.90624
2015-01-26,-0.10156,-0.68564
2015-01-27,-0.52922,-0.57333
2015-01-28,-0.63461,-0.45154
2015-01-29,-0.53682,-0.21211
2015-01-30,-0.41881,0.20699
2015-01-31,-0.32252,0.37445
2015-02-01,-0.05839,0.47603
2015-02-02,0.01757,0.68458
2015-02-03,-0.00131,0.73192
2015-02-04,0.00269,0.42932
2015-02-05,0.43428,-0.24432
2015-02-06,0.66210,-0.58497
2015-02-07,0.73072,-0.66639
2015-02-08,0.42088,-0.78867
2015-02-09,0.34298,-0.38188
2015-02-10,0.43444,0.04242
2015-02-11,0.38621,0.18023
2015-02-12,0.14623,0.21733
2015-02-13,-0.29438,0.07292
2015-02-14,-0.56512,-0.20513
2015-02-15,-0.66114,-0.21597
2015-02-16,-0.62448,-0.11796
2015-02-17,-0.48167,-0.23629
2015-02-18,-0.24859,-0.34618
2015-02-19,-0.06825,-0.09126
2015-02-20,0.08958,-0.19982
2015-02-21,0.33082,-0.65901
2015-02-22,0.17364,-0.70549
2015-02-23,-0.04420,-0.72508
2015-02-24,-0.30356,-0.47690
2015-02-25,-0.46229,-0.51601
2015-02-26,-0.45902,-0.54041
2015-02-27,-0.46606,-0.51870
2015-02-28,-0.53359,-0.45133
2015-03-01,-0.85918,-0.73570
2015-03-02,-1.21922,-0.49024
2015-03-03,-1.12489,-0.36291
2015-03-04,-1.31791,-0.19943
2015-03-05,-1.59959,0.01111
2015-03-06,-1.71035,0.21741
2015-03-07,-1.71811,0.92300
2015-03-08,-1.38846,1.52078
2015-03-09,-0.73358,1.93963
2015-03-10,-0.13616,2.14211
2015-03-11,0.16858,2.32135
2015-03-12,0.70496,2.55946
2015-03-13,1.08792,2.54088
2015-03-14,2.03227,1.77594
2015-03-15,2.69505,0.81277
2015-03-16,2.84910,0.30202
2015-03-17,2.64946,0.21049
2015-03-18,2.46746,-0.20692
2015-03-19,2.16415,-0.45920
2015-03-20,1.91361,-0.57795
2015-03-21,1.28456,-0.54965
2015-03-22,0.71020,-0.65083
2015-03-23,0.42725,-1.05271
2015-03-24,0.26685,-1.32545
2015-03-25,0.13196,-1.47727
2015-03-26,-0.28824,-1.54353
2015-03-27,-0.69251,-1.51810
2015-03-28,-1.01109,-1.53067
2015-03-29,-1.07645,-1.88248
2015-03-30,-1.14924,-1.71442
2015-03-31,-1.28745,-1.17239
