Date,PC1,PC2
2015-01-01,-0.61600,-0.18301
2015-01-02,-1.33967,-0.25523
2015-01-03,-0.78387,0.12667
2015-01-04,-0.78964,0.65175
2015-01-05,-1.29020,1.14744
2015-01-06,-1.30310,1.25482
2015-01-07,-1.12893,1.39740
2015-01-08,-0.91188,1.91810
2015-01-09,-0.50838,2.00805
2015-01-10,-0.39296,1.80551
2015-01-11,-0.36294,1.38173
2015-01-12,-0.05408,1.19116
2015-01-13,0.17544,0.78268
2015-01-14,0.42011,0.48188
2015-01-15,0.88429,-0.01456
2015-01-16,0.99392,-0.63990
2015-01-17,0.71457,-0.85511
2015-01-18,0.57407,-0.73108
2015-01-19,0.57764,-0.40075
2015-01-20,0.72087,-0.22495
2015-01-21,1.07417,-0.21581
2015-01-22,1.07244,-0.48011
2015-01-23,0.67936,-0.79180
2015-01-24,0.60419,-1.03069
2015-01-25,0.41007,-0.90026
2015-01-26,-0.09042,-0.70866
2015-01-27,-0.54138,-0.53691
2015-01-28,-0.61412,-0.48372
2015-01-29,-0.54899,-0.19815
2015-01-30,-0.42068,0.20743
2015-01-31,-0.30751,0.35743
2015-02-01,-0.08266,0.49593
2015-02-02,0.04123,0.63053
2015-02-03,-0.02971,0.77304
2015-02-04,0.03105,0.39720
2015-02-05,0.39186,-0.21852
2015-02-06,0.71404,-0.55401
2015-02-07,0.70561,-0.70260
2015-02-08,0.43542,-0.74004
2015-02-09,0.36824,-0.40770
2015-02-10,0.39467,0.04362
2015-02-11,0.40938,0.19917
2015-02-12,0.14706,0.19931
2015-02-13,-0.31015,0.07789
2015-02-14,-0.54961,-0.21794
2015-02-15,-0.66328,-0.23283
2015-02-16,-0.63720,-0.09974
2015-02-17,-0.47977,-0.26197
2015-02-18,-0.24393,-0.32348
2015-02-19,-0.09424,-0.08473
2015-02-20,0.12452,-0.21631
2015-02-21,0.29458,-0.59485
2015-02-22,0.19405,-0.79324
2015-02-23,-0.04975,-0.64232
2015-02-24,-0.31823,-0.54537
2015-02-25,-0.44382,-0.49464
2015-02-26,-0.48256,-0.54014
2015-02-27,-0.45433,-0.53613
2015-02-28,-0.51045,-0.46064
2015-03-01,-0.89586,-0.71852
2015-03-02,-1.15847,-0.52832
2015-03-03,-1.16406,-0.38120
2015-03-04,-1.29686,-0.18251
2015-03-05,-1.58038,-0.06349
2015-03-06,-1.72433,0.26502
2015-03-07,-1.71545,0.88674
2015-03-08,-1.37877,1.52397
2015-03-09,-0.75057,1.94555
2015-03-10,-0.15987,2.14212
2015-03-11,0.21501,2.31533
2015-03-12,0.61030,2.58217
2015-03-13,1.13536,2.54311
2015-03-14,1.98358,1.78374
2015-03-15,2.68564,0.82697
2015-03-16,2.85525,0.33663
2015-03-17,2.66938,0.17466
2015-03-18,2.41831,-0.14452
2015-03-19,2.23075,-0.48503
2015-03-20,1.89194,-0.56825
2015-03-21,1.28183,-0.50619
2015-03-22,0.74888,-0.67835
2015-03-23,0.40460,-1.02287
2015-03-24,0.27482,-1.30506
2015-03-25,0.14564,-1.50226
2015-03-26,-0.29090,-1.53377
2015-03-27,-0.72382,-1.51357
2015-03-28,-0.97298,-1.58803
2015-03-29,-1.12030,-1.84827
2015-03-30,-1.14549,-1.74677
2015-03-31,-1.27159,-1.21984
