Date,PC1,PC2
2015-01-01,-0.45851,-1.09416
2015-01-02,-0.92306,-1.36245
2015-01-03,-0.64707,-0.65825
2015-01-04,-0.77369,-0.01930
2015-01-05,-1.39547,0.39054
2015-01-06,-1.46644,0.67392
2015-01-07,-1.22141,0.73616
2015-01-08,-1.08751,1.08796
2015-01-09,-0.77099,1.38947
2015-01-10,-0.59313,1.03440
2015-01-11,-0.47431,0.40374
2015-01-12,-0.22410,0.25915
2015-01-13,0.09606,0.07896
2015-01-14,0.54463,0.11952
2015-01-15,1.05152,0.06834
2015-01-16,1.26956,-0.37366
2015-01-17,1.20151,-0.52447
2015-01-18,1.10104,-0.12320
2015-01-19,1.02508,0.04645
2015-01-20,1.04348,-0.10144
2015-01-21,1.25982,-0.37158
2015-01-22,1.28354,-0.88972
2015-01-23,0.91880,-1.02753
2015-01-24,0.74715,-0.83711
2015-01-25,0.55438,-0.65932
2015-01-26,0.08365,-0.72761
2015-01-27,-0.40095,-0.58410
2015-01-28,-0.51745,-0.37478
2015-01-29,-0.32689,-0.01809
2015-01-30,-0.24800,0.42754
2015-01-31,-0.25017,0.56995
2015-02-01,-0.24189,1.13559
2015-02-02,-0.11818,1.68125
2015-02-03,-0.29983,1.89028
2015-02-04,-0.15698,1.32891
2015-02-05,0.40893,0.42889
2015-02-06,0.81876,-0.01721
2015-02-07,0.70648,-0.16860
2015-02-08,0.29548,-0.20857
2015-02-09,0.15213,0.32954
2015-02-10,0.15910,0.47415
2015-02-11,0.04139,0.13879
2015-02-12,-0.33879,-0.12741
2015-02-13,-0.64429,0.27902
2015-02-14,-0.47642,0.34663
2015-02-15,-0.44435,0.22884
2015-02-16,-0.34848,0.14535
2015-02-17,-0.05395,-0.23872
2015-02-18,0.28188,-0.61568
2015-02-19,0.26228,-0.63786
2015-02-20,0.28849,-0.48394
2015-02-21,0.43780,-0.41465
2015-02-22,0.57992,-0.28841
2015-02-23,0.44626,-0.30290
2015-02-24,0.12167,-0.74956
2015-02-25,0.00769,-1.11355
2015-02-26,-0.05400,-1.21415
2015-02-27,-0.08062,-1.26401
2015-02-28,-0.39202,-1.32441
2015-03-01,-0.93638,-1.14067
2015-03-02,-1.27778,-1.05773
2015-03-03,-1.31252,-0.90154
2015-03-04,-1.57551,-0.66846
2015-03-05,-1.89088,-0.60029
2015-03-06,-2.02739,-0.48064
2015-03-07,-2.09128,0.17233
2015-03-08,-2.00908,1.25738
2015-03-09,-1.38948,2.07245
2015-03-10,-0.69549,2.68824
2015-03-11,-0.35190,3.07503
2015-03-12,0.07827,3.05853
2015-03-13,0.66618,2.62461
2015-03-14,1.66474,1.68292
2015-03-15,2.51689,0.79150
2015-03-16,2.66605,0.46833
2015-03-17,2.46454,0.51778
2015-03-18,2.16910,-0.02314
2015-03-19,1.90807,-0.34370
2015-03-20,1.62505,-0.29100
2015-03-21,0.85638,-0.22230
2015-03-22,0.24402,-0.54127
2015-03-23,0.04470,-0.71899
2015-03-24,0.16691,-0.53236
2015-03-25,0.35134,-0.59746
2015-03-26,0.04371,-0.61578
2015-03-27,-0.28304,-0.31509
2015-03-28,-0.49054,-0.50459
2015-03-29,-0.56432,-1.34896
2015-03-30,-0.50944,-1.54502
2015-03-31,-0.76185,-1.33924
2015-04-01,-1.05862,-1.39781
