Date,PC1,PC2
2015-03-23,-0.14833,-0.87941
2015-03-24,-0.18749,-0.94155
2015-03-25,-0.24376,-1.54566
2015-03-26,-0.22358,-1.68073
2015-03-27,-0.24858,-1.76815
2015-03-28,-0.24725,-1.47477
2015-03-29,-0.22187,-1.29908
2015-03-30,-0.19987,-1.05670
2015-03-31,-0.16647,-1.04645
2015-04-01,-0.17505,-0.72322
2015-04-02,-0.17139,-0.33698
2015-04-03,-0.14007,-0.27012
2015-04-04,-0.14130,0.00575
2015-04-05,-0.15079,0.13512
2015-04-06,-0.18264,0.21482
2015-04-07,-0.16124,0.24184
2015-04-08,-0.17572,0.33061
2015-04-09,-0.19266,0.39478
2015-04-10,-0.19820,0.51262
2015-04-11,-0.15803,0.68019
2015-04-12,-0.14672,0.73440
2015-04-13,-0.17717,0.70435
2015-04-14,-0.19737,1.05654
2015-04-15,-0.18842,1.21688
2015-04-16,-0.17375,1.28653
2015-04-17,-0.17576,1.43257
2015-04-18,-0.17410,1.41488
2015-04-19,-0.13949,1.22423
2015-04-20,-0.14053,0.95672
2015-04-21,-0.13782,0.58021
2015-04-22,5.38542,-0.10021
