Date,PC1,PC2
2015-01-01,-0.05168,-1.10963
2015-01-02,-0.03955,-1.35699
2015-01-03,-0.04790,-1.39863
2015-01-04,-0.08204,-1.61984
2015-01-05,-0.08702,-1.52905
2015-01-06,-0.05054,-1.71502
2015-01-07,0.02322,-2.07437
2015-01-08,0.03965,-2.00342
2015-01-09,-0.00392,-1.87206
2015-01-10,-0.08775,-1.71633
2015-01-11,-0.12197,-1.54595
2015-01-12,-0.05997,-1.31161
2015-01-13,0.04632,-0.81544
2015-01-14,0.11376,-0.40256
2015-01-15,0.12189,-0.01879
2015-01-16,0.15033,0.65449
2015-01-17,0.10756,0.98374
2015-01-18,0.09000,0.74235
2015-01-19,0.02392,0.57901
2015-01-20,0.01996,0.42862
2015-01-21,-0.07326,0.44845
2015-01-22,-0.13475,0.70861
2015-01-23,-0.17342,0.67130
2015-01-24,-0.20515,0.87308
2015-01-25,-0.23549,0.74349
2015-01-26,-0.22137,0.44819
2015-01-27,-0.22635,0.48320
2015-01-28,-0.16827,0.51582
2015-01-29,-0.06516,0.18314
2015-01-30,-0.04558,-0.02834
2015-01-31,-0.06131,-0.35305
2015-02-01,-0.09167,-0.41921
2015-02-02,-0.17917,-0.47792
2015-02-03,-0.13500,-0.53978
2015-02-04,-0.12527,-0.51919
2015-02-05,-0.13077,-0.45778
2015-02-06,-0.10117,0.12933
2015-02-07,-0.06613,0.27888
2015-02-08,-0.11678,0.30084
2015-02-09,-0.17979,0.27807
2015-02-10,-0.17389,-0.12413
2015-02-11,-0.11115,-0.31038
2015-02-12,-0.11615,-0.17098
2015-02-13,-0.21293,0.11619
2015-02-14,-0.22250,0.15109
2015-02-15,-0.17056,-0.10871
2015-02-16,-0.16161,-0.42366
2015-02-17,-0.17625,-0.38183
2015-02-18,-0.12695,-0.31578
2015-02-19,-0.03478,-0.20775
2015-02-20,-0.08244,0.11209
2015-02-21,-0.12080,0.26774
2015-02-22,-0.16610,0.37041
2015-02-23,-0.13809,0.53551
2015-02-24,-0.11246,0.39284
2015-02-25,-0.13245,-0.00621
2015-02-26,-0.18588,-0.03369
2015-02-27,-0.18942,0.15527
2015-02-28,-0.21124,0.24106
2015-03-01,-0.21358,0.14315
2015-03-02,-0.23602,-0.09002
2015-03-03,-0.24436,-0.45541
2015-03-04,-0.29779,-0.84115
2015-03-05,-0.24116,-0.85204
2015-03-06,-0.16167,-1.14925
2015-03-07,-0.09251,-1.42680
2015-03-08,-0.06205,-1.37798
2015-03-09,-0.00341,-1.34216
2015-03-10,-0.03475,-1.32505
2015-03-11,-0.02538,-1.30172
2015-03-12,0.05114,-1.08732
2015-03-13,0.06838,-0.93991
2015-03-14,0.09328,-0.17044
2015-03-15,0.02185,0.66363
2015-03-16,-0.05529,1.23998
2015-03-17,-0.09472,1.49552
2015-03-18,-0.17265,1.70445
2015-03-19,-0.14410,1.75728
2015-03-20,-0.10303,1.46633
2015-03-21,-0.12803,1.26078
2015-03-22,-0.14190,1.00685
2015-03-23,-0.19025,1.19517
2015-03-24,-0.26808,1.59771
2015-03-25,-0.28381,1.64872
2015-03-26,-0.27453,1.80376
2015-03-27,-0.24475,1.58001
2015-03-28,-0.18507,1.51665
2015-03-29,-0.14340,1.60087
2015-03-30,-0.09065,1.26006
2015-03-31,-0.08561,1.12071
2015-04-01,-0.06112,0.83551
2015-04-02,0.03054,0.74651
2015-04-03,9.49168,0.29092
