Date,PC1,PC2
2001-01-01,-1.64281,-0.02273
2001-01-02,-1.61700,0.14706
2001-01-03,-1.14171,0.14934
2001-01-04,-0.95130,0.14190
2001-01-05,-1.18375,0.87878
2001-01-06,-1.28093,1.23782
2001-01-07,-0.88610,0.46956
2001-01-08,0.09856,-0.86933
2001-01-09,1.05254,-1.39224
2001-01-10,1.15041,-0.90506
2001-01-11,1.49456,-0.20533
2001-01-12,1.38571,0.29287
2001-01-13,1.01796,0.28640
2001-01-14,0.75031,0.30698
2001-01-15,-0.08997,0.75284
2001-01-16,-0.81981,0.41266
2001-01-17,-1.31328,0.21804
2001-01-18,-1.02509,-0.64017
2001-01-19,-1.38006,-1.79057
2001-01-20,-1.13628,-1.47095
2001-01-21,0.01292,-0.81771
2001-01-22,0.82022,-1.00715
2001-01-23,0.80207,-0.60443
2001-01-24,0.76441,0.20034
2001-01-25,0.79160,1.09558
2001-01-26,0.71058,1.06208
2001-01-27,0.64714,0.15073
2001-01-28,0.80768,0.36112
2001-01-29,0.75056,0.79296
2001-01-30,0.70136,0.64392
2001-01-31,0.70922,0.12568
2001-02-01,1.53047,-1.50888
2001-02-02,1.72200,-2.19299
2001-02-03,2.29090,-2.58220
2001-02-04,1.79765,-1.90019
2001-02-05,1.44555,-0.26069
2001-02-06,1.01753,0.32822
2001-02-07,0.84955,0.36335
2001-02-08,0.80963,0.99427
2001-02-09,0.99558,1.70235
2001-02-10,1.39006,1.57499
2001-02-11,1.03047,1.74075
2001-02-12,0.80428,1.78881
2001-02-13,1.06873,1.49855
2001-02-14,0.31438,1.15239
2001-02-15,-0.78769,0.83029
2001-02-16,-1.58665,0.30760
2001-02-17,-1.17490,0.27662
2001-02-18,-0.42806,0.54030
2001-02-19,0.10718,-0.00030
2001-02-20,0.33908,-0.02673
2001-02-21,-0.07971,0.24048
2001-02-22,-0.62353,0.51946
2001-02-23,-0.73638,0.22858
2001-02-24,-0.92584,-0.30543
2001-02-25,-1.28241,-0.13144
2001-02-26,-1.43105,-0.26520
2001-02-27,-1.66271,0.28334
2001-02-28,-1.72208,0.37084
2001-03-01,-1.86150,-0.57250
2001-03-02,-1.86373,-1.98223
2001-03-03,-1.34773,-3.01323
2001-03-04,-1.18177,-1.29484
2001-03-05,-0.72092,-0.04582
2001-03-06,-0.44439,1.17365
2001-03-07,-0.06631,1.28679
2001-03-08,0.29070,0.78390
2001-03-09,0.42740,0.26176
2001-03-10,0.66624,0.29727
2001-03-11,0.96595,0.06202
2001-03-12,1.29689,-0.11136
2001-03-13,0.97237,-0.18073
2001-03-14,0.07100,-0.39768
2001-03-15,-0.17639,-1.33096
2001-03-16,0.02828,-2.00786
2001-03-17,0.38206,-1.35842
2001-03-18,0.28368,-1.00022
2001-03-19,-0.33155,-1.22739
2001-03-20,-0.62763,-0.21087
2001-03-21,-0.47956,1.19815
2001-03-22,-0.22514,1.16980
2001-03-23,-0.01476,0.51085
2001-03-24,-0.39272,0.24321
2001-03-25,-0.33495,0.85039
2001-03-26,-0.09229,1.10455
2001-03-27,0.48545,0.67501
2001-03-28,0.54621,0.05063
2001-03-29,0.72344,-0.78405
2001-03-30,0.55213,-0.80767
2001-03-31,-0.30646,-0.54412
2001-04-01,-1.08907,0.09704
2001-04-02,-0.82427,0.52391
2001-04-03,-0.38241,1.01281
