Date,PC1,PC2
2013-01-01,-0.83831,-1.88660
2013-01-02,-0.89972,-1.81301
2013-01-03,-0.90270,-1.44362
2013-01-04,-1.24794,-0.88547
2013-01-05,-1.72121,-0.33734
2013-01-06,-1.81470,-0.13145
2013-01-07,-1.68926,-0.10938
2013-01-08,-1.45469,-0.04099
2013-01-09,-1.16382,0.38622
2013-01-10,-0.92255,0.64795
2013-01-11,-0.60159,0.74546
2013-01-12,-0.21827,0.77341
2013-01-13,-0.08513,0.90328
2013-01-14,0.34448,1.03425
2013-01-15,0.53681,1.02912
2013-01-16,0.73864,0.78532
2013-01-17,1.04649,0.34451
2013-01-18,1.14172,0.15649
2013-01-19,1.15265,0.12343
2013-01-20,1.27405,-0.02814
2013-01-21,1.18545,-0.00465
2013-01-22,0.96071,0.05128
2013-01-23,0.50771,-0.00611
2013-01-24,0.66698,0.56743
2013-01-25,0.79667,1.07170
2013-01-26,0.75693,1.17442
2013-01-27,1.08890,1.16262
2013-01-28,1.27095,1.20034
2013-01-29,1.47837,0.99976
2013-01-30,1.98280,0.54868
2013-01-31,2.25384,-0.20388
2013-02-01,2.37839,-0.48276
2013-02-02,2.11248,-1.09704
2013-02-03,1.58598,-1.53379
2013-02-04,1.28491,-1.77800
2013-02-05,1.00380,-2.03987
2013-02-06,0.53947,-2.12211
2013-02-07,0.39244,-2.36236
2013-02-08,0.37756,-2.20384
2013-02-09,0.40277,-1.90304
2013-02-10,0.20821,-1.72423
2013-02-11,-0.32287,-1.41354
2013-02-12,-0.84787,-0.68226
2013-02-13,-1.31443,-0.65424
2013-02-14,-1.45016,-0.30539
2013-02-15,-1.63863,0.12108
2013-02-16,-1.75042,0.51408
2013-02-17,-1.67979,0.86357
2013-02-18,-1.71659,1.01919
2013-02-19,-1.51712,0.83259
2013-02-20,-1.26689,0.45852
2013-02-21,-0.99885,0.29309
2013-02-22,-1.07579,0.36558
2013-02-23,-0.88594,0.53953
2013-02-24,-0.57121,0.67623
2013-02-25,-0.42988,0.88458
2013-02-26,-0.12587,1.14192
2013-02-27,-0.15501,1.44303
2013-02-28,0.02283,1.55573
2013-03-01,0.08218,1.50273
2013-03-02,0.16331,1.47715
2013-03-03,0.06787,1.20228
2013-03-04,0.47038,1.10719
2013-03-05,0.98298,0.82426
2013-03-06,1.09127,0.68983
2013-03-07,0.70792,0.75218
2013-03-08,0.42245,0.84827
2013-03-09,0.25101,1.19723
2013-03-10,0.22422,1.16960
2013-03-11,0.06576,0.84526
2013-03-12,-0.25017,0.38401
2013-03-13,-0.22829,0.61212
2013-03-14,-0.04840,0.62347
2013-03-15,0.40452,0.33701
2013-03-16,0.73532,-0.03293
2013-03-17,0.81743,-0.16145
2013-03-18,0.70782,-0.37980
2013-03-19,0.55975,-0.53674
2013-03-20,0.23103,-0.71072
2013-03-21,-0.01638,-0.96331
2013-03-22,0.00486,-1.12907
2013-03-23,-0.23204,-0.98980
2013-03-24,-0.21016,-0.79000
2013-03-25,-0.32772,-0.73344
2013-03-26,-0.24317,-0.65482
2013-03-27,-0.37934,-0.65024
2013-03-28,-0.77140,-0.28009
2013-03-29,-0.86454,-0.01637
2013-03-30,-0.65536,-0.35108
2013-03-31,-0.54612,-0.55881
2013-04-01,-0.56187,-0.74549
2013-04-02,-0.84093,-1.10973
