Date,PC1,PC2
2015-01-01,-0.92641,-0.87197
2015-01-02,-0.89311,-0.60560
2015-01-03,-0.81185,-0.16328
2015-01-04,-0.86088,0.10496
2015-01-05,-1.10061,0.33757
2015-01-06,-1.36318,0.32022
2015-01-07,-1.10395,0.42870
2015-01-08,-0.81542,1.14083
2015-01-09,-0.77352,1.11535
2015-01-10,-0.73897,0.68400
2015-01-11,-0.53129,0.42604
2015-01-12,-0.42243,0.35386
2015-01-13,-0.03042,0.33072
2015-01-14,0.54916,0.57872
2015-01-15,1.07700,0.11749
2015-01-16,1.38803,-0.28065
2015-01-17,1.22559,-0.62509
2015-01-18,1.10227,-0.50902
2015-01-19,0.84413,-0.19678
2015-01-20,0.86226,0.10500
2015-01-21,1.07023,0.01680
2015-01-22,1.10430,-0.38574
2015-01-23,0.73596,-0.71571
2015-01-24,0.66452,-0.79498
2015-01-25,0.49737,-0.55261
2015-01-26,0.07012,-0.78119
2015-01-27,-0.08594,-0.94459
2015-01-28,-0.22447,-0.58006
2015-01-29,-0.10791,0.12472
2015-01-30,-0.00131,0.77598
2015-01-31,0.03881,1.16284
2015-02-01,-0.21414,1.47770
2015-02-02,-0.41235,1.63490
2015-02-03,-0.37536,1.31711
2015-02-04,-0.17218,0.75959
2015-02-05,0.43022,0.44146
2015-02-06,0.82652,0.32883
2015-02-07,0.92745,0.10956
2015-02-08,0.63514,-0.32618
2015-02-09,0.51013,-0.21403
2015-02-10,0.77846,-0.21153
2015-02-11,0.79518,-0.42109
2015-02-12,0.42599,-0.53006
2015-02-13,-0.17086,-0.51249
2015-02-14,-0.25967,-0.28958
2015-02-15,-0.30925,-0.08196
2015-02-16,-0.39869,0.14024
2015-02-17,-0.48554,0.61300
2015-02-18,-0.38749,0.67706
2015-02-19,-0.20948,0.43029
2015-02-20,-0.07537,0.26857
2015-02-21,0.26252,-0.06755
2015-02-22,0.17434,-0.18746
2015-02-23,0.14052,-0.37114
2015-02-24,-0.00374,-0.55538
2015-02-25,-0.18103,-0.75079
2015-02-26,-0.24001,-0.77424
2015-02-27,-0.27054,-0.62610
2015-02-28,-0.50187,-0.59924
2015-03-01,-0.83851,-0.58901
2015-03-02,-0.97859,-0.48412
2015-03-03,-0.74025,-0.31176
2015-03-04,-1.56630,-0.47114
2015-03-05,-1.81755,-0.40559
2015-03-06,-1.98590,-0.33931
2015-03-07,-2.06767,0.15216
2015-03-08,-1.95535,0.85251
2015-03-09,-1.48997,1.42893
2015-03-10,-0.97192,2.03747
2015-03-11,-0.78407,2.38032
2015-03-12,-0.16732,2.81321
2015-03-13,0.26952,2.86008
2015-03-14,1.30999,2.23916
2015-03-15,2.13320,1.19417
2015-03-16,2.60845,0.89462
2015-03-17,2.61949,0.81061
2015-03-18,2.37521,0.76453
2015-03-19,2.05141,0.47349
2015-03-20,1.75016,-0.15811
2015-03-21,1.15654,-0.63133
2015-03-22,0.69851,-1.37159
2015-03-23,0.59148,-1.71295
2015-03-24,0.61322,-1.93376
2015-03-25,0.46331,-2.08402
2015-03-26,0.09427,-2.12693
2015-03-27,-0.21633,-1.84539
2015-03-28,-0.41709,-1.67878
2015-03-29,-0.33677,-1.48165
2015-03-30,-0.50030,-1.10270
2015-03-31,-0.82716,-0.87352
2015-04-01,-1.18478,-0.67996
2015-04-02,-1.56592,-0.41565
