Date,PC1,PC2
2015-01-01,-0.92411,-0.42091
2015-01-02,-0.71048,-0.34238
2015-01-03,-0.56170,-0.08720
2015-01-04,-0.55580,0.25231
2015-01-05,-0.88298,0.75949
2015-01-06,-1.11729,0.83176
2015-01-07,-0.94043,0.78661
2015-01-08,-0.69310,1.43988
2015-01-09,-0.46925,1.54257
2015-01-10,-0.28437,1.30084
2015-01-11,-0.12857,0.91160
2015-01-12,0.02759,0.52339
2015-01-13,0.26429,0.04992
2015-01-14,0.57315,-0.09862
2015-01-15,0.94673,-0.54987
2015-01-16,1.22030,-1.04546
2015-01-17,0.88327,-1.33351
2015-01-18,0.72375,-1.13605
2015-01-19,0.56936,-0.75397
2015-01-20,0.66534,-0.49747
2015-01-21,0.82681,-0.41828
2015-01-22,0.90627,-0.64152
2015-01-23,0.56442,-0.80043
2015-01-24,0.59382,-0.93767
2015-01-25,0.44851,-0.70036
2015-01-26,-0.05217,-0.47764
2015-01-27,-0.53556,-0.27916
2015-01-28,-0.68169,-0.03617
2015-01-29,-0.57938,0.27409
2015-01-30,-0.47657,0.70867
2015-01-31,-0.36786,0.79485
2015-02-01,-0.21052,0.81265
2015-02-02,-0.03605,1.08646
2015-02-03,0.03137,1.10782
2015-02-04,0.06489,0.67011
2015-02-05,0.53077,0.15334
2015-02-06,0.74976,-0.08035
2015-02-07,0.80244,-0.15169
2015-02-08,0.56855,-0.33776
2015-02-09,0.46526,0.18848
2015-02-10,0.55518,0.55009
2015-02-11,0.48178,0.56616
2015-02-12,0.22185,0.52226
2015-02-13,-0.19424,0.35783
2015-02-14,-0.34488,0.02458
2015-02-15,-0.42663,-0.10065
2015-02-16,-0.43924,-0.05364
2015-02-17,-0.41628,-0.21612
2015-02-18,-0.30338,-0.27390
2015-02-19,-0.09668,-0.08577
2015-02-20,0.11450,-0.11831
2015-02-21,0.45291,-0.53663
2015-02-22,0.36893,-0.68634
2015-02-23,0.18548,-0.82279
2015-02-24,-0.13273,-0.71936
2015-02-25,-0.37171,-0.82148
2015-02-26,-0.44945,-0.85962
2015-02-27,-0.50687,-0.84819
2015-02-28,-0.62981,-0.70287
2015-03-01,-0.89410,-0.43122
2015-03-02,-1.21368,-0.24312
2015-03-03,-1.09695,-0.10917
2015-03-04,-1.21629,0.04721
2015-03-05,-1.49812,0.32454
2015-03-06,-1.69838,0.49419
2015-03-07,-1.77194,1.16364
2015-03-08,-1.53670,1.80328
2015-03-09,-0.90808,2.16977
2015-03-10,-0.27394,2.38238
2015-03-11,0.04758,2.59561
2015-03-12,0.60079,2.72989
2015-03-13,1.02271,2.61717
2015-03-14,2.02027,1.76278
2015-03-15,2.78265,0.78990
2015-03-16,2.92381,0.22496
2015-03-17,2.66848,0.10814
2015-03-18,2.38543,-0.25089
2015-03-19,2.01261,-0.47332
2015-03-20,1.69074,-0.56538
2015-03-21,1.03957,-0.46710
2015-03-22,0.57177,-0.49196
2015-03-23,0.39320,-0.82246
2015-03-24,0.30744,-1.10802
2015-03-25,0.24531,-1.37137
2015-03-26,-0.17218,-1.56768
2015-03-27,-0.57562,-1.55984
2015-03-28,-0.93341,-1.56518
2015-03-29,-1.04548,-1.92830
2015-03-30,-1.21410,-1.85312
2015-03-31,-1.47471,-1.33261
2015-04-01,-1.62221,-0.96836
2015-04-02,-1.85396,-0.34791
