Date,PC1,PC2
2015-01-01,-0.91910,0.16228
2015-01-02,-1.12735,0.02364
2015-01-03,-0.96121,-0.11681
2015-01-04,-0.96797,-0.42547
2015-01-05,-0.87413,-0.64134
2015-01-06,-0.82457,-0.30351
2015-01-07,-0.90546,-0.04786
2015-01-08,-0.80780,0.11537
2015-01-09,-0.79176,0.27588
2015-01-10,-0.46491,0.13604
2015-01-11,-0.17267,0.08347
2015-01-12,-0.04884,-0.35273
2015-01-13,0.56096,-0.30814
2015-01-14,0.92641,-0.00382
2015-01-15,1.34127,-0.04346
2015-01-16,1.71296,-0.26846
2015-01-17,1.71025,-0.47125
2015-01-18,1.50122,-0.51680
2015-01-19,1.30515,-0.28550
2015-01-20,1.05315,0.00299
2015-01-21,1.07719,-0.05725
2015-01-22,0.98230,-0.19983
2015-01-23,0.33282,0.01253
2015-01-24,0.21921,0.33092
2015-01-25,-0.13910,0.28871
2015-01-26,-0.34968,0.51898
2015-01-27,-0.30031,0.60893
2015-01-28,-0.20692,0.78854
2015-01-29,-0.83947,0.53138
2015-01-30,-1.06600,0.09156
2015-01-31,-1.16342,-0.00001
2015-02-01,-1.07361,-0.27510
2015-02-02,-0.84143,-0.54453
2015-02-03,-0.55093,-0.36764
2015-02-04,-0.26993,-0.20806
2015-02-05,0.10875,-0.62251
2015-02-06,0.54515,-0.68088
2015-02-07,0.86086,-0.57763
2015-02-08,1.11918,-0.31806
2015-02-09,1.06191,-0.12417
2015-02-10,0.74945,-0.39543
2015-02-11,0.58605,-0.60894
2015-02-12,0.46474,-0.54051
2015-02-13,0.25307,-0.68458
2015-02-14,0.35809,-0.75231
2015-02-15,0.07390,-0.36757
2015-02-16,-0.17430,0.09233
2015-02-17,-0.31680,0.10141
2015-02-18,-0.18662,0.30763
2015-02-19,0.06518,0.27512
2015-02-20,0.31228,0.41295
2015-02-21,0.28185,0.77066
2015-02-22,0.18780,1.08760
2015-02-23,0.15387,1.06635
2015-02-24,0.07982,0.66525
2015-02-25,-0.08203,0.29471
2015-02-26,-0.16365,0.23663
2015-02-27,-0.05456,0.30848
2015-02-28,-0.44469,0.24937
2015-03-01,-0.68221,0.31179
2015-03-02,-1.05714,0.37481
2015-03-03,-1.42769,0.26704
2015-03-04,-1.84526,0.28376
2015-03-05,-2.17672,0.12855
2015-03-06,-2.28134,-0.05767
2015-03-07,-2.26265,-0.42708
2015-03-08,-2.07079,-0.96067
2015-03-09,-1.57579,-1.49147
2015-03-10,-0.95011,-1.95294
2015-03-11,-0.44998,-2.34453
2015-03-12,-0.17581,-2.59480
2015-03-13,-0.09412,-2.51176
2015-03-14,0.57093,-2.28813
2015-03-15,1.44794,-1.69140
2015-03-16,1.80729,-1.20603
2015-03-17,2.04353,-0.98059
2015-03-18,2.05908,-0.93533
2015-03-19,1.93234,-0.64615
2015-03-20,1.60767,-0.39632
2015-03-21,0.99686,0.26074
2015-03-22,0.78640,1.04851
2015-03-23,0.76424,1.61878
2015-03-24,0.94575,2.20866
2015-03-25,0.81122,2.60381
2015-03-26,0.76776,2.75873
2015-03-27,0.45496,2.69323
2015-03-28,0.08596,2.47534
2015-03-29,-0.02326,1.89822
2015-03-30,-0.27709,1.15767
2015-03-31,-0.33327,0.97034
2015-04-01,-0.63501,0.48926
2015-04-02,-0.83430,0.17701
2015-04-03,-0.82497,0.02905
