Date,PC1,PC2
2015-02-23,0.21048,-1.48501
2015-02-24,0.28193,-1.74000
2015-02-25,0.43279,-1.51348
2015-02-26,0.56830,-1.35842
2015-02-27,0.32397,-1.22983
2015-02-28,0.11613,-1.14067
2015-03-01,0.01341,-0.87515
2015-03-02,0.19135,-1.08530
2015-03-03,0.55148,-1.14216
2015-03-04,0.99979,-0.67369
2015-03-05,1.02082,-0.19744
2015-03-06,1.21019,0.28761
2015-03-07,1.49893,0.41214
2015-03-08,1.42234,0.91018
2015-03-09,1.29645,1.19941
2015-03-10,1.07017,1.38856
2015-03-11,0.87942,1.57825
2015-03-12,0.67370,1.50639
2015-03-13,0.44404,1.21348
2015-03-14,0.08302,0.98009
2015-03-15,-0.70217,0.87663
2015-03-16,-1.22006,0.64887
2015-03-17,-1.37237,0.44933
2015-03-18,-1.56057,0.38769
2015-03-19,-1.55444,0.45916
2015-03-20,-1.57502,0.47779
2015-03-21,-1.24414,0.28986
2015-03-22,-0.98494,0.15514
2015-03-23,-1.07114,-0.03334
2015-03-24,-1.03918,-0.18964
2015-03-25,-0.96469,-0.55645
