Date,PC1,PC2
2015-02-23,0.34722,-1.43246
2015-02-24,0.43875,-1.65281
2015-02-25,0.55317,-1.40916
2015-02-26,0.68177,-1.24432
2015-02-27,0.47475,-1.14973
2015-02-28,0.29941,-1.11598
2015-03-01,0.19569,-0.89885
2015-03-02,0.38200,-1.06903
2015-03-03,0.71186,-1.05416
2015-03-04,1.08449,-0.54646
2015-03-05,1.07679,-0.09959
2015-03-06,1.21237,0.38150
2015-03-07,1.45614,0.55368
2015-03-08,1.32415,1.04308
2015-03-09,1.16028,1.32590
2015-03-10,0.90591,1.50126
2015-03-11,0.67585,1.68510
2015-03-12,0.45139,1.61535
2015-03-13,0.21356,1.33447
2015-03-14,-0.15072,1.07585
2015-03-15,-0.87461,0.83516
2015-03-16,-1.31679,0.51985
2015-03-17,-1.42504,0.28129
2015-03-18,-1.58377,0.18057
2015-03-19,-1.56802,0.22867
2015-03-20,-1.56860,0.22925
2015-03-21,-1.22540,0.09921
2015-03-22,-0.97093,-0.00496
2015-03-23,-1.04564,-0.19713
2015-03-24,-1.00761,-0.33955
2015-03-25,-0.90840,-0.67599
