Date,PC1,PC2
2015-02-23,160482.10620,-551231.68412
2015-02-24,202786.51427,-636025.62432
2015-02-25,255670.83819,-542267.69439
2015-02-26,315109.48675,-478835.86154
2015-02-27,219425.35522,-442435.24235
2015-02-28,138384.52580,-429448.09681
2015-03-01,90444.85960,-345893.47965
2015-03-02,176557.61613,-411378.15348
2015-03-03,329016.09914,-405655.81266
2015-03-04,501243.74192,-210285.95925
2015-03-05,497684.09466,-38323.34875
2015-03-06,560351.32818,146808.32679
2015-03-07,673017.28512,213065.79877
2015-03-08,612015.47081,401394.60289
2015-03-09,536273.90625,510228.61505
2015-03-10,418705.32987,577708.61281
2015-03-11,312371.87114,648451.93232
2015-03-12,208631.33507,621613.33341
2015-03-13,98708.47862,513523.63083
2015-03-14,-69660.19773,414004.53917
2015-03-15,-404239.92545,321380.95566
2015-03-16,-608613.95713,200045.08542
2015-03-17,-658646.71129,108245.94312
2015-03-18,-732008.09975,69485.25094
2015-03-19,-724730.59826,87994.62310
2015-03-20,-724995.75365,88218.65012
2015-03-21,-566371.96687,38176.06063
2015-03-22,-448759.18435,-1908.01266
2015-03-23,-483288.86111,-75857.85767
2015-03-24,-465709.98927,-130665.83366
2015-03-25,-419854.99809,-260133.29971
