Date,PC1,PC2
2015-02-23,0.06339,-0.26153
2015-02-24,0.08010,-0.30176
2015-02-25,0.10099,-0.25728
2015-02-26,0.12447,-0.22718
2015-02-27,0.08668,-0.20991
2015-02-28,0.05466,-0.20375
2015-03-01,0.03573,-0.16411
2015-03-02,0.06974,-0.19518
2015-03-03,0.12997,-0.19246
2015-03-04,0.19800,-0.09977
2015-03-05,0.19659,-0.01818
2015-03-06,0.22135,0.06965
2015-03-07,0.26585,0.10109
2015-03-08,0.24176,0.19044
2015-03-09,0.21184,0.24208
2015-03-10,0.16540,0.27409
2015-03-11,0.12339,0.30766
2015-03-12,0.08241,0.29492
2015-03-13,0.03899,0.24364
2015-03-14,-0.02752,0.19642
2015-03-15,-0.15968,0.15248
2015-03-16,-0.24041,0.09491
2015-03-17,-0.26018,0.05136
2015-03-18,-0.28915,0.03297
2015-03-19,-0.28628,0.04175
2015-03-20,-0.28638,0.04185
2015-03-21,-0.22373,0.01811
2015-03-22,-0.17727,-0.00091
2015-03-23,-0.19091,-0.03599
2015-03-24,-0.18396,-0.06199
2015-03-25,-0.16585,-0.12342
