Date,PC1,PC2
2015-06-22,-0.70680,1.41829
2015-06-23,-0.87500,1.30931
2015-06-24,-0.99517,1.14319
2015-06-25,-1.29116,0.54027
2015-06-26,-1.24917,0.48232
2015-06-27,-1.40272,0.54217
2015-06-28,-1.42581,0.42458
2015-06-29,-1.27894,0.22398
2015-06-30,-1.16578,0.03266
2015-07-01,-1.20657,-0.56323
2015-07-02,-1.21232,-1.10145
2015-07-03,-1.04324,-1.51528
2015-07-04,-0.56172,-1.64705
2015-07-05,0.00875,-1.50596
2015-07-06,0.40548,-1.36968
2015-07-07,0.62025,-1.24225
2015-07-08,0.70335,-1.14421
2015-07-09,0.81581,-1.29625
2015-07-10,0.74719,-1.13207
2015-07-11,0.67504,-0.63794
2015-07-12,0.84161,-0.19509
2015-07-13,0.99641,-0.00189
2015-07-14,1.16503,0.28295
2015-07-15,1.22302,0.36153
2015-07-16,1.11281,0.45054
2015-07-17,0.91978,0.83336
2015-07-18,1.05025,0.71332
2015-07-19,1.08045,0.98357
2015-07-20,0.89183,1.34892
2015-07-21,0.79638,1.21365
2015-07-22,0.36097,1.04774
