Date,PC1,PC2
2015-01-01,-1.13013,-0.44503
2015-01-02,-1.03040,-0.43295
2015-01-03,-0.95065,-0.18813
2015-01-04,-1.02423,0.23380
2015-01-05,-1.23871,0.74367
2015-01-06,-1.37259,0.81745
2015-01-07,-1.27864,1.00510
2015-01-08,-0.96657,1.37701
2015-01-09,-0.74757,1.47591
2015-01-10,-0.60574,1.21512
2015-01-11,-0.47905,1.04198
2015-01-12,-0.28968,0.70141
2015-01-13,-0.04700,0.48624
2015-01-14,0.29246,0.27599
2015-01-15,0.60920,-0.12954
2015-01-16,0.80644,-0.47872
2015-01-17,0.59114,-0.73750
2015-01-18,0.57595,-0.62243
2015-01-19,0.51426,-0.41748
2015-01-20,0.68455,-0.22259
2015-01-21,0.80433,-0.14401
2015-01-22,0.83636,-0.28818
2015-01-23,0.54985,-0.64203
2015-01-24,0.50276,-0.90856
2015-01-25,0.38570,-0.89027
2015-01-26,-0.00054,-0.80195
2015-01-27,-0.33780,-0.65644
2015-01-28,-0.47062,-0.44131
2015-01-29,-0.41637,-0.33397
2015-01-30,-0.32447,0.02770
2015-01-31,-0.27001,0.22016
2015-02-01,-0.14191,0.12687
2015-02-02,-0.04844,0.20795
2015-02-03,0.01053,0.17922
2015-02-04,0.00263,-0.09751
2015-02-05,0.41949,-0.66117
2015-02-06,0.65270,-0.93696
2015-02-07,0.65064,-1.06885
2015-02-08,0.42179,-1.23486
2015-02-09,0.25818,-0.86002
2015-02-10,0.24948,-0.33257
2015-02-11,0.15876,-0.14609
2015-02-12,-0.01237,-0.15307
2015-02-13,-0.34210,-0.26971
2015-02-14,-0.54445,-0.44732
2015-02-15,-0.62783,-0.44128
2015-02-16,-0.69723,-0.39956
2015-02-17,-0.63628,-0.53631
2015-02-18,-0.49498,-0.50373
2015-02-19,-0.37178,-0.22542
2015-02-20,-0.27053,-0.19130
2015-02-21,-0.01687,-0.48754
2015-02-22,-0.07561,-0.46310
2015-02-23,-0.23872,-0.49957
2015-02-24,-0.38732,-0.33567
2015-02-25,-0.56897,-0.42477
2015-02-26,-0.63273,-0.38764
2015-02-27,-0.67052,-0.48609
2015-02-28,-0.73126,-0.41999
2015-03-01,-0.92775,-0.25691
2015-03-02,-1.26452,-0.08441
2015-03-03,-1.25780,0.11307
2015-03-04,-1.40561,0.19298
2015-03-05,-1.59711,0.30294
2015-03-06,-1.74531,0.50889
2015-03-07,-1.74779,1.19020
2015-03-08,-1.47064,1.76373
2015-03-09,-0.97388,2.10704
2015-03-10,-0.43316,2.30957
2015-03-11,-0.06590,2.59299
2015-03-12,0.41914,2.82744
2015-03-13,0.86627,2.69150
2015-03-14,1.72945,2.18047
2015-03-15,2.43536,1.54527
2015-03-16,2.70466,1.24635
2015-03-17,2.59851,1.06404
2015-03-18,2.51197,0.64401
2015-03-19,2.31394,0.25755
2015-03-20,2.15207,0.11158
2015-03-21,1.76166,0.05824
2015-03-22,1.36257,-0.15671
2015-03-23,1.12650,-0.55865
2015-03-24,0.97463,-0.90380
2015-03-25,0.82076,-1.24795
2015-03-26,0.50493,-1.48034
2015-03-27,0.18602,-1.57256
2015-03-28,-0.05197,-1.70551
2015-03-29,-0.11983,-1.90488
2015-03-30,-0.34230,-1.76712
2015-03-31,-0.55143,-1.41336
