Date,PC1,PC2
2015-01-01,-1.20898,-0.11645
2015-01-02,-1.12967,-0.11377
2015-01-03,-1.05309,-0.30138
2015-01-04,-1.15594,-0.67342
2015-01-05,-1.36403,-1.06760
2015-01-06,-1.49001,-1.08353
2015-01-07,-1.47476,-1.43719
2015-01-08,-1.23047,-1.86863
2015-01-09,-0.99700,-1.91856
2015-01-10,-0.84160,-1.63226
2015-01-11,-0.72988,-1.48742
2015-01-12,-0.56789,-1.32576
2015-01-13,-0.36042,-1.27025
2015-01-14,0.00643,-1.17065
2015-01-15,0.36384,-0.86876
2015-01-16,0.58561,-0.59788
2015-01-17,0.39206,-0.37854
2015-01-18,0.38448,-0.42579
2015-01-19,0.34068,-0.48800
2015-01-20,0.53793,-0.57139
2015-01-21,0.66468,-0.61876
2015-01-22,0.70825,-0.47349
2015-01-23,0.46196,0.04228
2015-01-24,0.45910,0.42459
2015-01-25,0.36464,0.50338
2015-01-26,0.00393,0.52598
2015-01-27,-0.33090,0.46195
2015-01-28,-0.47185,0.29892
2015-01-29,-0.43353,0.17895
2015-01-30,-0.35697,-0.13960
2015-01-31,-0.33080,-0.27564
2015-02-01,-0.14981,-0.02669
2015-02-02,-0.00396,0.12629
2015-02-03,0.07553,0.24769
2015-02-04,0.03760,0.40437
2015-02-05,0.44727,0.79469
2015-02-06,0.64087,0.92553
2015-02-07,0.64818,1.03936
2015-02-08,0.47882,1.34467
2015-02-09,0.36315,1.18280
2015-02-10,0.34062,0.69644
2015-02-11,0.24781,0.49329
2015-02-12,0.07859,0.56398
2015-02-13,-0.23872,0.74632
2015-02-14,-0.43836,0.96606
2015-02-15,-0.55834,0.88263
2015-02-16,-0.65285,0.79199
2015-02-17,-0.63080,0.82082
2015-02-18,-0.48008,0.75225
2015-02-19,-0.38323,0.39260
2015-02-20,-0.26341,0.37788
2015-02-21,0.00069,0.65482
2015-02-22,-0.06538,0.65556
2015-02-23,-0.19715,0.65973
2015-02-24,-0.38912,0.41024
2015-02-25,-0.57371,0.48877
2015-02-26,-0.60886,0.50727
2015-02-27,-0.61777,0.63165
2015-02-28,-0.63264,0.64523
2015-03-01,-0.80088,0.58746
2015-03-02,-1.17326,0.41428
2015-03-03,-1.15442,0.25083
2015-03-04,-1.25902,0.28433
2015-03-05,-1.39564,0.34566
2015-03-06,-1.56090,0.16698
2015-03-07,-1.59697,-0.43024
2015-03-08,-1.32701,-0.88592
2015-03-09,-0.85489,-1.24307
2015-03-10,-0.30466,-1.41450
2015-03-11,0.04882,-1.68650
2015-03-12,0.44862,-2.11753
2015-03-13,0.83853,-2.12265
2015-03-14,1.64445,-1.93404
2015-03-15,2.37203,-1.44161
2015-03-16,2.64367,-1.23407
2015-03-17,2.55825,-1.08775
2015-03-18,2.47663,-0.78421
2015-03-19,2.32859,-0.33103
2015-03-20,2.20598,-0.10427
2015-03-21,1.86912,0.09315
2015-03-22,1.52900,0.44588
2015-03-23,1.34175,0.83283
2015-03-24,1.20432,1.17878
2015-03-25,1.03972,1.47974
2015-03-26,0.73385,1.72192
2015-03-27,0.41400,1.83389
2015-03-28,0.15574,1.89482
2015-03-29,0.03973,1.92491
2015-03-30,-0.23297,1.68720
2015-03-31,-0.45294,1.36716
