Date,PC1,PC2
2015-01-01,-1.23539,-0.31495
2015-01-02,-1.18330,-0.18350
2015-01-03,-1.23248,0.03082
2015-01-04,-1.44010,0.17990
2015-01-05,-1.66933,0.13858
2015-01-06,-1.78605,-0.01546
2015-01-07,-1.92424,0.26480
2015-01-08,-1.92972,0.66804
2015-01-09,-1.86855,0.84641
2015-01-10,-1.70448,0.78297
2015-01-11,-1.59924,0.80040
2015-01-12,-1.34089,0.78456
2015-01-13,-1.13039,0.86272
2015-01-14,-0.88749,1.03595
2015-01-15,-0.54513,1.12030
2015-01-16,-0.32993,1.15588
2015-01-17,-0.27475,0.82830
2015-01-18,-0.23130,0.72824
2015-01-19,-0.37723,0.67411
2015-01-20,-0.34579,0.83611
2015-01-21,-0.24419,0.92233
2015-01-22,-0.08246,0.85328
2015-01-23,-0.00705,0.34028
2015-01-24,0.09670,0.13907
2015-01-25,0.07392,0.04058
2015-01-26,-0.05967,-0.30958
2015-01-27,-0.31911,-0.55543
2015-01-28,-0.56813,-0.55840
2015-01-29,-0.58621,-0.42252
2015-01-30,-0.59437,-0.17568
2015-01-31,-0.61134,-0.04867
2015-02-01,-0.44634,-0.09718
2015-02-02,-0.40374,-0.07317
2015-02-03,-0.36396,-0.02375
2015-02-04,-0.24092,-0.08570
2015-02-05,0.15982,0.04568
2015-02-06,0.37865,0.14669
2015-02-07,0.52442,0.06780
2015-02-08,0.56898,-0.26058
2015-02-09,0.40563,-0.28956
2015-02-10,0.23139,-0.02928
2015-02-11,0.15219,-0.00622
2015-02-12,0.13923,-0.19454
2015-02-13,0.05250,-0.58208
2015-02-14,-0.05150,-0.78634
2015-02-15,-0.27872,-0.74642
2015-02-16,-0.36682,-0.76897
2015-02-17,-0.28938,-0.80956
2015-02-18,-0.17995,-0.69236
2015-02-19,-0.21106,-0.41320
2015-02-20,-0.14807,-0.35158
2015-02-21,0.08502,-0.31114
2015-02-22,0.09040,-0.37112
2015-02-23,0.12380,-0.50796
2015-02-24,0.08127,-0.55120
2015-02-25,0.05095,-0.80871
2015-02-26,0.00230,-0.89604
2015-02-27,0.17393,-1.05401
2015-02-28,0.26008,-1.12882
2015-03-01,0.08593,-1.16318
2015-03-02,-0.19388,-1.29376
2015-03-03,-0.26351,-1.14984
2015-03-04,-0.18441,-1.24724
2015-03-05,-0.22871,-1.42596
2015-03-06,-0.37305,-1.46435
2015-03-07,-0.64792,-1.16029
2015-03-08,-0.64917,-0.77391
2015-03-09,-0.53712,-0.20545
2015-03-10,-0.32774,0.29472
2015-03-11,-0.29219,0.71976
2015-03-12,-0.25110,1.35152
2015-03-13,-0.01821,1.72912
2015-03-14,0.54155,2.31927
2015-03-15,1.21446,2.58998
2015-03-16,1.50011,2.62786
2015-03-17,1.62633,2.40673
2015-03-18,1.79662,2.10512
2015-03-19,1.96210,1.63157
2015-03-20,1.91850,1.34054
2015-03-21,1.80192,0.93112
2015-03-22,1.78962,0.42522
2015-03-23,1.83992,-0.01722
2015-03-24,1.92329,-0.38434
2015-03-25,1.98452,-0.67161
2015-03-26,1.90183,-1.07770
2015-03-27,1.73079,-1.39511
2015-03-28,1.65907,-1.65592
2015-03-29,1.60550,-1.74568
2015-03-30,1.36004,-1.77862
2015-03-31,1.16249,-1.73250
