Date,PC1,PC2
2015-01-01,-1.13948,-0.34691
2015-01-02,-1.10879,-0.24480
2015-01-03,-1.11000,-0.00066
2015-01-04,-1.31285,0.28905
2015-01-05,-1.54741,0.40066
2015-01-06,-1.67332,0.26458
2015-01-07,-1.80919,0.57557
2015-01-08,-1.76929,1.01399
2015-01-09,-1.69021,1.21754
2015-01-10,-1.53903,1.07480
2015-01-11,-1.43864,0.99574
2015-01-12,-1.20795,0.88678
2015-01-13,-1.00318,0.92068
2015-01-14,-0.70603,1.02406
2015-01-15,-0.28253,0.98713
2015-01-16,0.03633,0.90857
2015-01-17,0.08435,0.52200
2015-01-18,0.08529,0.46029
2015-01-19,-0.12861,0.50568
2015-01-20,-0.07216,0.72579
2015-01-21,0.02901,0.87051
2015-01-22,0.19214,0.80816
2015-01-23,0.17153,0.23806
2015-01-24,0.29313,-0.03886
2015-01-25,0.28979,-0.12120
2015-01-26,0.04779,-0.35139
2015-01-27,-0.25583,-0.48577
2015-01-28,-0.50800,-0.42476
2015-01-29,-0.55231,-0.26574
2015-01-30,-0.55036,0.05737
2015-01-31,-0.56146,0.20547
2015-02-01,-0.37024,0.07098
2015-02-02,-0.27919,0.04484
2015-02-03,-0.20819,0.06491
2015-02-04,-0.16866,-0.04950
2015-02-05,0.23416,-0.09159
2015-02-06,0.46299,-0.03730
2015-02-07,0.55946,-0.14311
2015-02-08,0.57469,-0.50653
2015-02-09,0.43278,-0.49459
2015-02-10,0.27616,-0.15492
2015-02-11,0.20830,-0.03560
2015-02-12,0.21467,-0.16903
2015-02-13,0.10526,-0.57568
2015-02-14,-0.03281,-0.78690
2015-02-15,-0.29373,-0.65888
2015-02-16,-0.46938,-0.64917
2015-02-17,-0.49151,-0.76020
2015-02-18,-0.39874,-0.70977
2015-02-19,-0.43430,-0.36174
2015-02-20,-0.34512,-0.33119
2015-02-21,-0.00110,-0.46468
2015-02-22,0.03232,-0.52965
2015-02-23,0.02427,-0.64572
2015-02-24,-0.11098,-0.55536
2015-02-25,-0.21123,-0.81363
2015-02-26,-0.21802,-0.92189
2015-02-27,-0.08832,-1.09120
2015-02-28,-0.03929,-1.07762
2015-03-01,-0.21674,-0.99573
2015-03-02,-0.58200,-1.03125
2015-03-03,-0.62868,-0.90452
2015-03-04,-0.55400,-0.98467
2015-03-05,-0.62395,-1.07101
2015-03-06,-0.83166,-1.01497
2015-03-07,-1.12738,-0.55693
2015-03-08,-1.02927,-0.15121
2015-03-09,-0.76150,0.36969
2015-03-10,-0.43570,0.76768
2015-03-11,-0.33662,1.15277
2015-03-12,-0.25406,1.79979
2015-03-13,-0.03790,2.06073
2015-03-14,0.68285,2.36861
2015-03-15,1.57594,2.33802
2015-03-16,1.98224,2.27904
2015-03-17,2.06916,2.06250
2015-03-18,2.16105,1.75024
2015-03-19,2.23607,1.25252
2015-03-20,2.15933,1.02424
2015-03-21,1.94631,0.68126
2015-03-22,1.81093,0.22475
2015-03-23,1.81066,-0.26973
2015-03-24,1.85880,-0.75814
2015-03-25,1.87388,-1.12672
2015-03-26,1.75463,-1.55496
2015-03-27,1.45312,-1.83889
2015-03-28,1.26865,-2.04141
2015-03-29,1.12850,-2.13806
2015-03-30,0.82200,-2.06034
2015-03-31,0.59833,-1.87095
