Date,PC1,PC2
2015-01-01,-1.27385,-0.17636
2015-01-02,-1.21016,-0.20231
2015-01-03,-1.19271,-0.36721
2015-01-04,-1.36076,-0.63868
2015-01-05,-1.62741,-0.86291
2015-01-06,-1.74880,-0.81245
2015-01-07,-1.77286,-1.15148
2015-01-08,-1.60790,-1.58263
2015-01-09,-1.39250,-1.67077
2015-01-10,-1.17412,-1.44529
2015-01-11,-1.03056,-1.35441
2015-01-12,-0.80985,-1.28419
2015-01-13,-0.58366,-1.33071
2015-01-14,-0.21284,-1.35475
2015-01-15,0.20033,-1.18494
2015-01-16,0.47118,-1.01949
2015-01-17,0.35013,-0.76966
2015-01-18,0.32049,-0.80841
2015-01-19,0.24736,-0.81844
2015-01-20,0.40487,-0.89385
2015-01-21,0.52510,-0.93669
2015-01-22,0.60989,-0.78586
2015-01-23,0.46282,-0.22418
2015-01-24,0.51140,0.13930
2015-01-25,0.42797,0.27573
2015-01-26,0.09574,0.45093
2015-01-27,-0.24510,0.50563
2015-01-28,-0.42496,0.40379
2015-01-29,-0.41627,0.26807
2015-01-30,-0.40525,-0.02585
2015-01-31,-0.41141,-0.16204
2015-02-01,-0.20180,0.04548
2015-02-02,-0.06978,0.18675
2015-02-03,0.01375,0.29409
2015-02-04,0.02568,0.41725
2015-02-05,0.49766,0.59459
2015-02-06,0.73956,0.63408
2015-02-07,0.77391,0.72556
2015-02-08,0.66522,1.06367
2015-02-09,0.49506,0.99572
2015-02-10,0.38397,0.58981
2015-02-11,0.26609,0.44445
2015-02-12,0.10420,0.55499
2015-02-13,-0.17297,0.79698
2015-02-14,-0.32188,1.02192
2015-02-15,-0.42364,0.96003
2015-02-16,-0.50771,0.90198
2015-02-17,-0.46621,0.86436
2015-02-18,-0.32296,0.73015
2015-02-19,-0.27860,0.37426
2015-02-20,-0.15450,0.35891
2015-02-21,0.14692,0.54078
2015-02-22,0.07947,0.57275
2015-02-23,-0.04528,0.59799
2015-02-24,-0.24747,0.43313
2015-02-25,-0.40113,0.55389
2015-02-26,-0.44414,0.58635
2015-02-27,-0.41210,0.71774
2015-02-28,-0.40526,0.77693
2015-03-01,-0.57045,0.80666
2015-03-02,-0.93529,0.75571
2015-03-03,-0.94365,0.62397
2015-03-04,-1.02786,0.71742
2015-03-05,-1.16096,0.84176
2015-03-06,-1.36558,0.70647
2015-03-07,-1.52030,0.19690
2015-03-08,-1.36439,-0.24410
2015-03-09,-1.00366,-0.70162
2015-03-10,-0.53464,-1.00441
2015-03-11,-0.25790,-1.33004
2015-03-12,0.06881,-1.83016
2015-03-13,0.44568,-1.96728
2015-03-14,1.29308,-2.04822
2015-03-15,2.10304,-1.77669
2015-03-16,2.40506,-1.63818
2015-03-17,2.35256,-1.44961
2015-03-18,2.33365,-1.17876
2015-03-19,2.25947,-0.73054
2015-03-20,2.17933,-0.44607
2015-03-21,1.87034,-0.12444
2015-03-22,1.59655,0.33596
2015-03-23,1.50164,0.77164
2015-03-24,1.42915,1.13365
2015-03-25,1.30798,1.41660
2015-03-26,1.04113,1.70513
2015-03-27,0.72467,1.85897
2015-03-28,0.47517,1.92382
2015-03-29,0.36601,1.89908
2015-03-30,0.07074,1.72699
2015-03-31,-0.18172,1.53490
