Date,PC1,PC2
2015-01-01,-0.83725,-0.34009
2015-01-02,-1.48997,-0.08658
2015-01-03,-1.12235,-0.37300
2015-01-04,-1.30049,-0.68842
2015-01-05,-1.73319,-0.77446
2015-01-06,-1.72921,-0.84596
2015-01-07,-1.73948,-1.13756
2015-01-08,-1.69941,-1.54428
2015-01-09,-1.37011,-1.66885
2015-01-10,-1.18382,-1.45649
2015-01-11,-1.08554,-1.29936
2015-01-12,-0.80913,-1.31178
2015-01-13,-0.57720,-1.31949
2015-01-14,-0.26610,-1.31513
2015-01-15,0.23595,-1.23226
2015-01-16,0.45551,-0.97663
2015-01-17,0.36256,-0.78862
2015-01-18,0.31206,-0.80207
2015-01-19,0.28520,-0.82279
2015-01-20,0.35604,-0.87313
2015-01-21,0.56857,-0.96868
2015-01-22,0.58882,-0.75816
2015-01-23,0.47536,-0.23705
2015-01-24,0.51098,0.13518
2015-01-25,0.43907,0.29072
2015-01-26,0.09317,0.44044
2015-01-27,-0.24283,0.50781
2015-01-28,-0.40820,0.42513
2015-01-29,-0.42934,0.25407
2015-01-30,-0.40696,-0.00897
2015-01-31,-0.39656,-0.15183
2015-02-01,-0.24476,0.02483
2015-02-02,-0.03720,0.22002
2015-02-03,-0.03580,0.26552
2015-02-04,0.04852,0.42417
2015-02-05,0.46030,0.60278
2015-02-06,0.76396,0.60203
2015-02-07,0.75471,0.74566
2015-02-08,0.66384,1.04860
2015-02-09,0.51015,0.98599
2015-02-10,0.34958,0.60570
2015-02-11,0.27951,0.42739
2015-02-12,0.09854,0.55352
2015-02-13,-0.18112,0.81100
2015-02-14,-0.31808,1.00740
2015-02-15,-0.41995,0.97898
2015-02-16,-0.53147,0.88991
2015-02-17,-0.45658,0.88659
2015-02-18,-0.33399,0.71404
2015-02-19,-0.29862,0.39588
2015-02-20,-0.12932,0.34714
2015-02-21,0.10940,0.53446
2015-02-22,0.11046,0.60956
2015-02-23,-0.06661,0.54900
2015-02-24,-0.23763,0.49366
2015-02-25,-0.39040,0.51361
2015-02-26,-0.45716,0.61857
2015-02-27,-0.39434,0.71650
2015-02-28,-0.38899,0.77472
2015-03-01,-0.59949,0.81662
2015-03-02,-0.87447,0.74995
2015-03-03,-0.98502,0.63755
2015-03-04,-1.00037,0.71696
2015-03-05,-1.14589,0.85627
2015-03-06,-1.38771,0.69202
2015-03-07,-1.50414,0.23020
2015-03-08,-1.37780,-0.27216
2015-03-09,-1.01593,-0.67667
2015-03-10,-0.56562,-1.00273
2015-03-11,-0.24178,-1.36580
2015-03-12,-0.00496,-1.77744
2015-03-13,0.45563,-2.03370
2015-03-14,1.26470,-2.00546
2015-03-15,2.06915,-1.81749
2015-03-16,2.41472,-1.64130
2015-03-17,2.35350,-1.47078
2015-03-18,2.29620,-1.17196
2015-03-19,2.30735,-0.76730
2015-03-20,2.15596,-0.44192
2015-03-21,1.86660,-0.14221
2015-03-22,1.62359,0.30969
2015-03-23,1.48769,0.77823
2015-03-24,1.43568,1.10683
2015-03-25,1.33029,1.41236
2015-03-26,1.04262,1.70205
2015-03-27,0.71821,1.85725
2015-03-28,0.51981,1.92313
2015-03-29,0.34469,1.90439
2015-03-30,0.09641,1.73719
2015-03-31,-0.16270,1.53730
