Date,PC1,PC2
2018-01-01,-1.09086,-0.26747
2018-01-02,-1.17953,-0.23233
2018-01-03,-1.17915,-0.39201
2018-01-04,-1.23818,-0.39761
2018-01-05,-1.34089,-0.44865
2018-01-06,-1.43607,-0.42630
2018-01-07,-1.49442,-0.24694
2018-01-08,-1.51522,-0.20584
2018-01-09,-1.48244,-0.04249
2018-01-10,-1.42411,0.22915
2018-01-11,-1.47331,0.15998
2018-01-12,-1.46713,0.14521
2018-01-13,-1.43457,0.18841
2018-01-14,-1.44366,0.45270
2018-01-15,-1.44572,0.58055
2018-01-16,-1.35342,0.99621
2018-01-17,-1.24502,1.16157
2018-01-18,-1.08978,1.08257
2018-01-19,-0.90180,1.09399
2018-01-20,-0.84605,1.01100
2018-01-21,-0.69859,0.95406
2018-01-22,-0.58402,1.01274
2018-01-23,-0.42826,1.26793
2018-01-24,-0.25664,1.48533
2018-01-25,0.02078,1.66626
2018-01-26,0.19238,1.82174
2018-01-27,0.36128,1.96734
2018-01-28,0.60042,2.04898
2018-01-29,1.10253,1.75090
2018-01-30,1.36533,1.58284
2018-01-31,1.43015,1.49659
2018-02-01,1.41546,1.28823
2018-02-02,1.42942,0.83639
2018-02-03,1.67135,0.55100
2018-02-04,1.77162,0.21129
2018-02-05,1.78356,-0.12645
2018-02-06,1.83723,-0.44539
2018-02-07,1.95566,-0.78323
2018-02-08,1.86951,-0.98765
2018-02-09,1.66970,-0.90161
2018-02-10,1.45139,-1.06095
2018-02-11,1.39595,-1.13295
2018-02-12,1.28271,-0.96049
2018-02-13,1.06308,-0.53086
2018-02-14,0.91845,-0.46862
2018-02-15,0.82416,-0.50544
2018-02-16,0.94215,-0.50367
2018-02-17,0.94022,-0.65598
2018-02-18,0.88445,-0.91085
2018-02-19,0.67118,-1.25631
2018-02-20,0.57990,-1.36900
2018-02-21,0.35492,-1.61108
2018-02-22,-0.05669,-1.73583
2018-02-23,-0.38465,-2.05229
2018-02-24,-0.50133,-2.13436
2018-02-25,-0.50683,-1.82911
2018-02-26,-0.52660,-1.61332
2018-02-27,-0.42498,-1.43219
2018-02-28,-0.29693,-1.33537
2018-03-01,-0.25714,-1.36830
2018-03-02,-0.30250,-1.52157
2018-03-03,-0.36603,-1.37695
2018-03-04,-0.40057,-1.14146
2018-03-05,-0.56187,-0.70166
2018-03-06,-0.73705,-0.25279
2018-03-07,-0.78347,0.12134
2018-03-08,-0.56780,0.40556
2018-03-09,-0.51031,0.16874
2018-03-10,-0.31821,-0.29138
2018-03-11,-0.25198,-0.45717
2018-03-12,-0.31428,-0.30701
2018-03-13,-0.36348,-0.02323
2018-03-14,-0.30965,0.33780
2018-03-15,-0.26243,0.41414
2018-03-16,-0.24216,0.41810
2018-03-17,-0.14495,0.16327
2018-03-18,-0.04344,-0.14804
2018-03-19,0.17340,-0.20144
2018-03-20,0.23068,-0.17279
2018-03-21,0.08074,0.24965
2018-03-22,-0.10578,0.64362
2018-03-23,-0.17036,1.09639
2018-03-24,0.02759,1.04648
2018-03-25,0.36386,0.96213
2018-03-26,0.64334,0.81988
2018-03-27,0.75544,0.73255
2018-03-28,0.93499,0.59689
2018-03-29,0.97995,0.59984
2018-03-30,0.90299,0.61215
2018-03-31,0.88238,0.53497
