Date,PC1,PC2
1993-01-01,-0.11403,5.55348
1993-01-02,0.65254,4.80538
1993-01-03,1.79176,1.72500
1993-01-04,2.52063,-0.94822
1993-01-05,3.00093,-1.17641
1993-01-06,3.14769,-0.38497
1993-01-07,3.14319,0.62536
1993-01-08,2.79313,0.91521
1993-01-09,2.41408,0.75370
1993-01-10,1.98528,0.31980
1993-01-11,1.72597,0.12754
1993-01-12,1.75235,-0.13663
1993-01-13,1.59834,-0.86689
1993-01-14,1.27870,-1.67698
1993-01-15,0.79856,-2.00154
1993-01-16,0.51591,-2.06125
1993-01-17,0.47406,-1.97867
1993-01-18,0.35697,-1.59651
1993-01-19,0.14734,-1.01552
1993-01-20,-0.11755,-0.54470
1993-01-21,-0.31113,-0.36504
1993-01-22,-0.25060,-0.53697
1993-01-23,-0.29207,-0.58489
1993-01-24,-0.55191,-0.60534
1993-01-25,-0.71967,-0.81720
1993-01-26,-0.66516,-0.82734
1993-01-27,-0.75855,-0.63091
1993-01-28,-0.82269,-0.51764
1993-01-29,-0.82934,-0.65456
1993-01-30,-0.81206,-0.68073
1993-01-31,-0.86230,-0.38687
1993-02-01,-0.90523,-0.10384
1993-02-02,-1.05008,-0.10772
1993-02-03,-1.13023,-0.18756
1993-02-04,-1.00945,-0.13123
1993-02-05,-0.99491,-0.00629
1993-02-06,-1.02994,0.22570
1993-02-07,-0.94392,0.44869
1993-02-08,-0.80002,0.62763
1993-02-09,-0.59862,0.63040
1993-02-10,-0.31693,0.31457
1993-02-11,-0.26409,0.08674
1993-02-12,-0.27986,-0.14125
1993-02-13,-0.36112,-0.19574
1993-02-14,-0.33455,-0.21261
1993-02-15,-0.46410,0.00919
1993-02-16,-0.55842,0.18753
1993-02-17,-0.71828,0.20203
1993-02-18,-0.65208,0.03171
1993-02-19,-0.51001,-0.04658
1993-02-20,-0.45313,0.05107
1993-02-21,-0.56265,0.04916
1993-02-22,-0.50008,-0.18286
1993-02-23,-0.52446,-0.13112
1993-02-24,-0.54829,0.05576
1993-02-25,-0.50877,-0.07101
1993-02-26,-0.55691,-0.25586
1993-02-27,-0.70203,-0.18470
1993-02-28,-0.76613,0.03185
1993-03-01,-0.64800,-0.00026
1993-03-02,-0.56176,0.07392
1993-03-03,-0.50366,0.19381
1993-03-04,-0.47476,0.28683
1993-03-05,-0.49101,0.43426
1993-03-06,-0.49303,0.52151
1993-03-07,-0.42092,0.42881
1993-03-08,-0.38281,0.37082
1993-03-09,-0.21976,0.45780
1993-03-10,-0.11224,0.48133
1993-03-11,-0.03262,0.47972
1993-03-12,-0.11784,0.44460
1993-03-13,-0.10496,0.23106
1993-03-14,0.03742,0.17163
1993-03-15,0.05342,-0.07545
1993-03-16,-0.06223,-0.25697
1993-03-17,-0.16525,-0.21698
1993-03-18,-0.13574,0.05503
1993-03-19,-0.08296,-0.02806
1993-03-20,0.02710,-0.07644
1993-03-21,0.12406,-0.10039
1993-03-22,0.19383,0.02479
1993-03-23,0.24022,0.28236
1993-03-24,0.27316,0.37002
1993-03-25,0.22322,0.33179
1993-03-26,0.08834,0.15106
1993-03-27,-0.00760,0.00367
1993-03-28,-0.07705,0.04013
1993-03-29,-0.22037,0.05875
1993-03-30,-0.37932,0.02741
1993-03-31,-0.51294,0.01008
