Date,PC1,PC2
2015-01-01,-0.33395,-0.74957
2015-01-02,-0.99584,-0.81695
2015-01-03,-0.51242,-0.95259
2015-01-04,-0.51302,-1.34139
2015-01-05,-0.74917,-1.70371
2015-01-06,-0.64132,-1.82814
2015-01-07,-0.61287,-2.02039
2015-01-08,-0.50005,-2.29255
2015-01-09,-0.14339,-2.27714
2015-01-10,-0.02700,-2.03654
2015-01-11,-0.01510,-1.83576
2015-01-12,0.15618,-1.65157
2015-01-13,0.25444,-1.45723
2015-01-14,0.45475,-1.25089
2015-01-15,0.81027,-0.90739
2015-01-16,0.82935,-0.51759
2015-01-17,0.63695,-0.35783
2015-01-18,0.63264,-0.42443
2015-01-19,0.68096,-0.51760
2015-01-20,0.79953,-0.57113
2015-01-21,0.99814,-0.54666
2015-01-22,0.91930,-0.34513
2015-01-23,0.70021,-0.01168
2015-01-24,0.67690,0.24955
2015-01-25,0.59140,0.31400
2015-01-26,0.33667,0.19856
2015-01-27,0.16170,-0.00859
2015-01-28,0.07313,-0.17197
2015-01-29,0.07984,-0.30225
2015-01-30,0.19588,-0.52188
2015-01-31,0.24930,-0.63610
2015-02-01,0.34343,-0.45072
2015-02-02,0.58026,-0.30958
2015-02-03,0.65423,-0.34610
2015-02-04,0.60593,-0.11410
2015-02-05,0.75220,0.35161
2015-02-06,0.87131,0.61383
2015-02-07,0.75063,0.78483
2015-02-08,0.63959,0.93433
2015-02-09,0.62026,0.72842
2015-02-10,0.60287,0.33863
2015-02-11,0.59438,0.16495
2015-02-12,0.48441,0.11793
2015-02-13,0.24538,0.13604
2015-02-14,0.07376,0.23458
2015-02-15,-0.02107,0.18670
2015-02-16,-0.13272,0.10329
2015-02-17,-0.17932,0.22989
2015-02-18,-0.13166,0.24045
2015-02-19,-0.03547,0.02595
2015-02-20,0.14972,0.04634
2015-02-21,0.34883,0.27169
2015-02-22,0.37367,0.29907
2015-02-23,0.22525,0.18462
2015-02-24,0.05822,0.09723
2015-02-25,-0.05838,0.02936
2015-02-26,-0.13563,0.07130
2015-02-27,-0.16319,0.21206
2015-02-28,-0.18155,0.25146
2015-03-01,-0.31142,0.13027
2015-03-02,-0.51983,-0.05328
2015-03-03,-0.60867,-0.17755
2015-03-04,-0.59696,-0.17423
2015-03-05,-0.67959,-0.20408
2015-03-06,-0.78325,-0.49481
2015-03-07,-0.67019,-0.98888
2015-03-08,-0.30912,-1.42569
2015-03-09,0.18905,-1.64235
2015-03-10,0.70676,-1.72764
2015-03-11,1.12483,-1.89532
2015-03-12,1.43347,-2.09502
2015-03-13,1.78382,-1.97762
2015-03-14,2.30020,-1.43086
2015-03-15,2.83617,-0.81863
2015-03-16,3.06446,-0.49865
2015-03-17,2.91627,-0.34845
2015-03-18,2.66797,-0.04232
2015-03-19,2.48788,0.34108
2015-03-20,2.29199,0.49851
2015-03-21,2.01948,0.54211
2015-03-22,1.72529,0.74584
2015-03-23,1.50347,1.03100
2015-03-24,1.36282,1.27403
2015-03-25,1.15807,1.49440
2015-03-26,0.83159,1.59167
2015-03-27,0.53322,1.55003
2015-03-28,0.30768,1.55158
2015-03-29,0.05360,1.55878
2015-03-30,-0.22252,1.40816
2015-03-31,-0.44083,1.16573
