Date,PC1,PC2
2006-01-01,-2.50799,-0.28946
2006-01-02,-2.51732,-0.52391
2006-01-03,-2.49074,-0.60443
2006-01-04,-2.23616,-0.67860
2006-01-05,-1.96658,-0.87447
2006-01-06,-1.65708,-1.32564
2006-01-07,-1.26479,-1.89419
2006-01-08,-0.94097,-2.28282
2006-01-09,-0.70572,-2.77809
2006-01-10,-0.54118,-3.00060
2006-01-11,-0.08178,-3.00144
2006-01-12,0.45019,-2.76492
2006-01-13,0.97921,-2.54650
2006-01-14,1.26930,-2.24244
2006-01-15,1.45813,-1.66661
2006-01-16,1.70452,-1.14534
2006-01-17,1.67806,-0.91363
2006-01-18,1.58509,-0.66377
2006-01-19,1.59074,-0.36510
2006-01-20,1.73053,-0.09628
2006-01-21,1.78267,-0.10652
2006-01-22,1.62270,-0.07383
2006-01-23,1.34567,-0.10416
2006-01-24,1.22591,-0.04659
2006-01-25,1.15341,-0.12746
2006-01-26,1.24805,-0.22277
2006-01-27,1.35935,-0.21126
2006-01-28,1.39823,-0.07676
2006-01-29,1.08653,0.16980
2006-01-30,0.79057,0.42345
2006-01-31,0.71975,0.38597
2006-02-01,1.02679,0.26774
2006-02-02,1.10515,0.28455
2006-02-03,1.08662,0.02978
2006-02-04,0.87745,0.18105
2006-02-05,0.87826,0.33913
2006-02-06,0.87262,0.31751
2006-02-07,0.78852,0.61153
2006-02-08,0.77871,0.68539
2006-02-09,0.76642,0.84571
2006-02-10,0.51567,0.99548
2006-02-11,0.42781,1.11699
2006-02-12,0.38199,1.27435
2006-02-13,0.19454,1.36733
2006-02-14,-0.03038,1.21787
2006-02-15,-0.25557,1.24825
2006-02-16,-0.40624,1.14231
2006-02-17,-0.41087,1.08481
2006-02-18,-0.36958,1.04610
2006-02-19,-0.38189,1.04066
2006-02-20,-0.15999,0.99945
2006-02-21,-0.11382,0.93525
2006-02-22,-0.20245,0.98670
2006-02-23,-0.25331,0.99798
2006-02-24,-0.34533,0.97746
2006-02-25,-0.19763,0.97382
2006-02-26,-0.16193,0.79273
2006-02-27,-0.25941,0.85478
2006-02-28,-0.54986,0.67208
2006-03-01,-0.75664,0.57591
2006-03-02,-0.81631,0.60500
2006-03-03,-0.70021,0.49836
2006-03-04,-0.63160,0.44068
2006-03-05,-0.62245,0.46007
2006-03-06,-0.46125,0.28140
2006-03-07,-0.53514,0.29819
2006-03-08,-0.68844,0.31199
2006-03-09,-0.71700,0.38208
2006-03-10,-0.73429,0.35668
2006-03-11,-0.67994,0.29353
2006-03-12,-0.60894,0.12728
2006-03-13,-0.69052,-0.11903
2006-03-14,-0.68631,-0.11655
2006-03-15,-0.56385,-0.15255
2006-03-16,-0.64826,-0.09958
2006-03-17,-0.69375,0.00913
2006-03-18,-0.59403,0.05853
2006-03-19,-0.48460,0.17780
2006-03-20,-0.36756,0.03218
2006-03-21,-0.34900,0.03661
2006-03-22,-0.41878,0.16183
2006-03-23,-0.31153,0.24541
2006-03-24,-0.30883,0.00605
2006-03-25,-0.13683,0.00130
2006-03-26,-0.12358,0.05947
2006-03-27,-0.24511,0.15476
2006-03-28,-0.17389,0.19411
2006-03-29,-0.01088,0.27208
2006-03-30,-0.01874,0.38857
2006-03-31,-0.09237,0.42028
