Date,PC1,PC2
2015-01-01,-0.55278,1.66115
2015-01-02,-1.14944,2.71100
2015-01-03,-0.96153,2.73592
2015-01-04,-0.87352,2.57939
2015-01-05,-1.37028,2.27389
2015-01-06,-1.56937,1.59190
2015-01-07,-1.66875,1.31800
2015-01-08,-1.68311,1.14023
2015-01-09,-1.57876,0.85904
2015-01-10,-1.83477,0.51239
2015-01-11,-2.15697,0.36637
2015-01-12,-2.05325,0.10074
2015-01-13,-1.65768,-0.21552
2015-01-14,-1.40300,-0.51225
2015-01-15,-1.37010,-0.77979
2015-01-16,-1.48761,-0.87834
2015-01-17,-1.39943,-0.89090
2015-01-18,-1.08111,-0.54208
2015-01-19,-1.10788,-0.42339
2015-01-20,-1.23713,-1.02167
2015-01-21,-1.25589,-1.74174
2015-01-22,-1.21464,-1.87273
2015-01-23,-1.13518,-1.76182
2015-01-24,-1.08477,-1.97101
2015-01-25,-0.83153,-2.34877
2015-01-26,-0.51895,-2.11325
2015-01-27,-0.20036,-1.81514
2015-01-28,0.03223,-1.60096
2015-01-29,0.29644,-1.52178
2015-01-30,0.50297,-1.54542
2015-01-31,0.43421,-1.27744
2015-02-01,0.39091,-0.95904
2015-02-02,0.22314,-0.86486
2015-02-03,0.00475,-0.74329
2015-02-04,0.28781,-0.64635
2015-02-05,0.99385,-0.18718
2015-02-06,1.67073,0.21383
2015-02-07,2.03157,0.34244
2015-02-08,2.12883,0.47823
2015-02-09,1.75982,0.28295
2015-02-10,1.20627,0.18432
2015-02-11,0.98331,0.12715
2015-02-12,1.19788,0.07354
2015-02-13,1.22625,0.16675
2015-02-14,1.07804,0.32764
2015-02-15,1.02578,0.35507
2015-02-16,1.16120,0.32207
2015-02-17,1.18054,0.54300
2015-02-18,1.02393,0.75764
2015-02-19,0.84775,0.82161
2015-02-20,0.53643,0.75706
2015-02-21,0.22764,0.80372
2015-02-22,0.04917,0.86329
2015-02-23,0.02131,0.48779
2015-02-24,-0.09151,0.26932
2015-02-25,-0.07952,0.46242
2015-02-26,0.08255,0.70131
2015-02-27,0.23204,0.64842
2015-02-28,0.56549,0.54192
2015-03-01,0.80173,0.62136
2015-03-02,0.79867,0.42407
2015-03-03,0.85774,0.06500
2015-03-04,1.07650,-0.32423
2015-03-05,0.94131,-0.34750
2015-03-06,0.75646,-0.06478
2015-03-07,0.48836,0.14945
2015-03-08,0.28674,0.20062
2015-03-09,0.22416,0.27446
2015-03-10,0.05244,0.57554
2015-03-11,-0.53544,0.54540
2015-03-12,-0.73019,0.46002
2015-03-13,-0.11406,0.22615
2015-03-14,0.44860,-0.12889
2015-03-15,0.61264,-0.38058
2015-03-16,0.62365,-0.14728
2015-03-17,0.54713,0.05182
2015-03-18,0.33383,0.13803
2015-03-19,0.18594,0.15640
2015-03-20,0.18555,0.38814
2015-03-21,0.26954,0.29453
2015-03-22,0.44325,0.09353
2015-03-23,0.78922,-0.11452
2015-03-24,1.00628,-0.40527
2015-03-25,0.85399,-0.57517
2015-03-26,0.61402,-0.67247
2015-03-27,0.28224,-0.83762
2015-03-28,-0.18376,-0.60359
2015-03-29,-0.37976,-0.14514
2015-03-30,-0.22957,0.00154
2015-03-31,-0.10126,-0.06578
