Date,PC1,PC2
2015-01-01,-2.83688,-1.83213
2015-01-02,-3.09821,-2.31385
2015-01-03,-2.83491,-1.52027
2015-01-04,-2.62286,-0.48061
2015-01-05,-2.56760,0.08000
2015-01-06,-2.33078,0.72252
2015-01-07,-2.05890,1.24073
2015-01-08,-1.95631,1.63438
2015-01-09,-1.62453,1.30445
2015-01-10,-1.38813,0.89453
2015-01-11,-1.17478,0.58986
2015-01-12,-1.21899,0.71262
2015-01-13,-1.21850,1.07921
2015-01-14,-1.11642,1.00233
2015-01-15,-0.92669,0.86485
2015-01-16,-0.70760,0.79854
2015-01-17,-0.55226,0.64253
2015-01-18,-0.45367,0.34980
2015-01-19,-0.21146,0.18838
2015-01-20,-0.16085,0.44498
2015-01-21,-0.10164,0.80129
2015-01-22,-0.05364,0.81298
2015-01-23,-0.11885,0.77954
2015-01-24,-0.08956,1.04131
2015-01-25,-0.10855,1.43453
2015-01-26,-0.03369,1.61908
2015-01-27,-0.04570,1.75197
2015-01-28,0.05531,1.63828
2015-01-29,0.35287,1.16805
2015-01-30,0.33289,0.87421
2015-01-31,0.37256,1.00377
2015-02-01,0.24958,0.99862
2015-02-02,0.13963,0.96299
2015-02-03,0.51514,1.00906
2015-02-04,0.64526,1.28334
2015-02-05,0.72682,1.63329
2015-02-06,1.00364,1.49428
2015-02-07,0.97634,0.74957
2015-02-08,0.87279,-0.07351
2015-02-09,0.69261,-0.53753
2015-02-10,0.59598,-1.21995
2015-02-11,0.36731,-1.69070
2015-02-12,0.20442,-1.69001
2015-02-13,0.24931,-1.63073
2015-02-14,0.27857,-1.59856
2015-02-15,0.27004,-1.26795
2015-02-16,0.35849,-0.92260
2015-02-17,0.51165,-0.69812
2015-02-18,0.46965,-1.02663
2015-02-19,0.44607,-1.15265
2015-02-20,0.49670,-1.13184
2015-02-21,0.33508,-1.05798
2015-02-22,-0.00904,-0.87389
2015-02-23,-0.16402,-0.66299
2015-02-24,-0.12612,-0.58922
2015-02-25,-0.00362,-0.82359
2015-02-26,0.03433,-0.98202
2015-02-27,-0.09725,-0.76386
2015-02-28,-0.22461,-0.29116
2015-03-01,-0.19312,-0.19967
2015-03-02,0.11599,-0.82859
2015-03-03,0.25308,-0.96048
2015-03-04,0.41353,-1.36118
2015-03-05,0.29550,-1.35731
2015-03-06,0.13522,-1.22898
2015-03-07,0.05915,-1.09330
2015-03-08,0.23843,-0.79802
2015-03-09,0.53386,-0.43049
2015-03-10,0.76143,-0.29000
2015-03-11,0.81586,-0.12598
2015-03-12,0.99265,0.06083
2015-03-13,0.94093,0.33665
2015-03-14,0.80124,0.57088
2015-03-15,0.79977,0.50082
2015-03-16,0.98239,0.66402
2015-03-17,0.88368,0.86169
2015-03-18,0.71984,0.86659
2015-03-19,0.64052,0.64565
2015-03-20,0.64652,0.21603
2015-03-21,0.94932,-0.10743
2015-03-22,1.11109,-0.04985
2015-03-23,1.07722,-0.58766
2015-03-24,1.00837,-1.05801
2015-03-25,0.94030,-0.73236
2015-03-26,0.60953,-0.45330
2015-03-27,0.63024,-0.16936
2015-03-28,0.79818,-0.05550
2015-03-29,0.91665,-0.00294
2015-03-30,0.93281,0.10988
2015-03-31,0.87341,0.28382
