Date,PC1,PC2
2015-01-01,-3.15924,3.88607
2015-01-02,-3.42126,3.44720
2015-01-03,-3.10288,2.16513
2015-01-04,-2.70750,0.89151
2015-01-05,-2.46827,-0.34372
2015-01-06,-2.23747,-1.56792
2015-01-07,-1.96804,-2.48101
2015-01-08,-1.84327,-2.53989
2015-01-09,-1.59200,-2.26476
2015-01-10,-1.37234,-2.20665
2015-01-11,-1.25871,-1.96053
2015-01-12,-1.23215,-1.49868
2015-01-13,-1.19414,-1.20103
2015-01-14,-0.95078,-0.69913
2015-01-15,-0.77287,-0.43235
2015-01-16,-0.64127,-0.38405
2015-01-17,-0.60084,-0.42034
2015-01-18,-0.62191,-0.11371
2015-01-19,-0.35839,0.18249
2015-01-20,-0.18261,0.23640
2015-01-21,0.02788,0.08042
2015-01-22,0.21171,-0.02364
2015-01-23,0.43914,-0.07028
2015-01-24,0.59573,-0.25608
2015-01-25,0.74044,-0.93186
2015-01-26,0.62899,-1.25040
2015-01-27,0.56559,-0.95823
2015-01-28,0.47855,-0.55817
2015-01-29,0.45600,-0.37355
2015-01-30,0.33435,-0.31158
2015-01-31,0.11382,-0.42193
2015-02-01,0.02201,-0.16961
2015-02-02,-0.02314,-0.32121
2015-02-03,0.16165,-1.03578
2015-02-04,0.39068,-1.31700
2015-02-05,0.51396,-1.12796
2015-02-06,0.64909,-1.03910
2015-02-07,0.58280,-0.94059
2015-02-08,0.56570,-0.41876
2015-02-09,0.53017,-0.01416
2015-02-10,0.54506,0.20251
2015-02-11,0.46646,0.40382
2015-02-12,0.34286,0.48339
2015-02-13,0.28517,0.57811
2015-02-14,0.40700,0.61583
2015-02-15,0.44675,0.45366
2015-02-16,0.40793,0.53806
2015-02-17,0.26838,0.63122
2015-02-18,0.16253,0.66224
2015-02-19,0.08335,0.36872
2015-02-20,0.01179,-0.05420
2015-02-21,-0.07838,-0.02371
2015-02-22,-0.04708,0.23405
2015-02-23,0.16878,0.36448
2015-02-24,0.12081,0.40762
2015-02-25,0.01058,0.54810
2015-02-26,-0.00307,0.48779
2015-02-27,-0.01295,0.27797
2015-02-28,0.05726,0.13160
2015-03-01,0.08542,0.22595
2015-03-02,0.30774,0.37929
2015-03-03,0.44231,0.07537
2015-03-04,0.61932,0.02790
2015-03-05,0.50827,0.32988
2015-03-06,0.52323,0.37058
2015-03-07,0.53899,-0.02861
2015-03-08,0.40933,-0.11421
2015-03-09,0.37788,-0.10561
2015-03-10,0.39017,-0.22845
2015-03-11,0.36024,-0.49484
2015-03-12,0.53586,-0.19739
2015-03-13,0.69321,0.29542
2015-03-14,0.84156,0.45441
2015-03-15,0.81988,0.52002
2015-03-16,0.80035,0.54569
2015-03-17,0.67929,0.59800
2015-03-18,0.58231,0.44981
2015-03-19,0.59193,0.39940
2015-03-20,0.61799,0.43579
2015-03-21,0.74624,0.29282
2015-03-22,0.97676,0.36487
2015-03-23,1.06757,0.81685
2015-03-24,1.05393,1.07043
2015-03-25,1.05549,0.93272
2015-03-26,0.81262,0.86487
2015-03-27,0.77394,0.91063
2015-03-28,0.74206,0.78569
2015-03-29,0.63620,0.80167
2015-03-30,0.69685,0.50401
2015-03-31,0.77065,0.17019
