Date,PC1,PC2
2015-01-01,-1.14791,-0.05984
2015-01-02,-1.06860,-0.05715
2015-01-03,-0.99202,-0.24477
2015-01-04,-1.09486,-0.61681
2015-01-05,-1.30295,-1.01098
2015-01-06,-1.42893,-1.02692
2015-01-07,-1.41368,-1.38058
2015-01-08,-1.16939,-1.81202
2015-01-09,-0.93593,-1.86195
2015-01-10,-0.78053,-1.57565
2015-01-11,-0.66880,-1.43081
2015-01-12,-0.50682,-1.26915
2015-01-13,-0.29935,-1.21364
2015-01-14,0.06751,-1.11404
2015-01-15,0.42492,-0.81215
2015-01-16,0.64669,-0.54127
2015-01-17,0.45313,-0.32193
2015-01-18,0.44556,-0.36918
2015-01-19,0.40176,-0.43139
2015-01-20,0.59900,-0.51478
2015-01-21,0.72575,-0.56215
2015-01-22,0.76932,-0.41687
2015-01-23,0.52304,0.09889
2015-01-24,0.52017,0.48120
2015-01-25,0.42572,0.55999
2015-01-26,0.06500,0.58259
2015-01-27,-0.26983,0.51856
2015-01-28,-0.41078,0.35553
2015-01-29,-0.37246,0.23556
2015-01-30,-0.29590,-0.08299
2015-01-31,-0.26973,-0.21903
2015-02-01,-0.08874,0.02992
2015-02-02,0.05712,0.18290
2015-02-03,0.13660,0.30430
2015-02-04,0.09867,0.46098
2015-02-05,0.50834,0.85130
2015-02-06,0.70195,0.98214
2015-02-07,0.70925,1.09597
2015-02-08,0.53989,1.40128
2015-02-09,0.42423,1.23942
2015-02-10,0.40169,0.75305
2015-02-11,0.30889,0.54991
2015-02-12,0.13967,0.62059
2015-02-13,-0.17765,0.80293
2015-02-14,-0.37728,1.02267
2015-02-15,-0.49726,0.93924
2015-02-16,-0.59177,0.84860
2015-02-17,-0.56973,0.87743
2015-02-18,-0.41901,0.80886
2015-02-19,-0.32215,0.44921
2015-02-20,-0.20234,0.43449
2015-02-21,0.06176,0.71143
2015-02-22,-0.00430,0.71217
2015-02-23,-0.13607,0.71635
2015-02-24,-0.32804,0.46685
2015-02-25,-0.51263,0.54538
2015-02-26,-0.54778,0.56388
2015-02-27,-0.55669,0.68826
2015-02-28,-0.57157,0.70185
2015-03-01,-0.73980,0.64407
2015-03-02,-1.11218,0.47090
2015-03-03,-1.09334,0.30744
2015-03-04,-1.19795,0.34094
2015-03-05,-1.33457,0.40227
2015-03-06,-1.49983,0.22359
2015-03-07,-1.53590,-0.37363
2015-03-08,-1.26594,-0.82931
2015-03-09,-0.79381,-1.18646
2015-03-10,-0.24359,-1.35789
2015-03-11,0.10989,-1.62989
2015-03-12,0.50970,-2.06092
2015-03-13,0.89960,-2.06604
2015-03-14,1.70553,-1.87743
2015-03-15,2.43310,-1.38500
2015-03-16,2.70475,-1.17745
2015-03-17,2.61932,-1.03113
2015-03-18,2.53770,-0.72760
2015-03-19,2.38966,-0.27442
2015-03-20,2.26706,-0.04766
2015-03-21,1.93020,0.14976
2015-03-22,1.59007,0.50249
2015-03-23,1.40283,0.88944
2015-03-24,1.26540,1.23539
2015-03-25,1.10079,1.53635
2015-03-26,0.79493,1.77853
2015-03-27,0.47508,1.89050
2015-03-28,0.21681,1.95144
2015-03-29,0.10080,1.98153
2015-03-30,-0.17189,1.74381
2015-03-31,-0.39187,1.42377
