Date,PC1,PC2
2015-01-01,-0.96386,-0.41651
2015-01-02,-0.79734,-0.38954
2015-01-03,-0.68218,-0.17943
2015-01-04,-0.75237,0.17330
2015-01-05,-1.01514,0.61285
2015-01-06,-1.18906,0.64884
2015-01-07,-1.09777,0.80530
2015-01-08,-0.83486,1.20603
2015-01-09,-0.65932,1.36593
2015-01-10,-0.52173,1.13458
2015-01-11,-0.37933,0.94312
2015-01-12,-0.17851,0.52729
2015-01-13,0.05160,0.26581
2015-01-14,0.36148,0.05261
2015-01-15,0.70865,-0.35650
2015-01-16,0.94469,-0.76427
2015-01-17,0.76331,-1.16439
2015-01-18,0.68425,-1.10172
2015-01-19,0.53583,-0.85129
2015-01-20,0.64159,-0.56558
2015-01-21,0.72595,-0.46856
2015-01-22,0.76855,-0.57436
2015-01-23,0.51264,-0.81306
2015-01-24,0.51205,-0.98670
2015-01-25,0.42662,-0.92060
2015-01-26,0.01413,-0.81445
2015-01-27,-0.37459,-0.62703
2015-01-28,-0.54574,-0.38570
2015-01-29,-0.46956,-0.26643
2015-01-30,-0.36349,0.07576
2015-01-31,-0.28061,0.25757
2015-02-01,-0.16056,0.19607
2015-02-02,-0.06465,0.32909
2015-02-03,0.02736,0.35927
2015-02-04,0.06387,0.11804
2015-02-05,0.51297,-0.35030
2015-02-06,0.76561,-0.56347
2015-02-07,0.79475,-0.72386
2015-02-08,0.60641,-0.91357
2015-02-09,0.44371,-0.59559
2015-02-10,0.44123,-0.16842
2015-02-11,0.34581,-0.05695
2015-02-12,0.17348,-0.07828
2015-02-13,-0.15334,-0.21947
2015-02-14,-0.32295,-0.40280
2015-02-15,-0.44152,-0.38426
2015-02-16,-0.54908,-0.31703
2015-02-17,-0.53477,-0.41533
2015-02-18,-0.43603,-0.39710
2015-02-19,-0.32169,-0.21529
2015-02-20,-0.22025,-0.20555
2015-02-21,0.06632,-0.45452
2015-02-22,0.03165,-0.45743
2015-02-23,-0.10007,-0.61362
2015-02-24,-0.27081,-0.49044
2015-02-25,-0.48595,-0.57463
2015-02-26,-0.56842,-0.55403
2015-02-27,-0.62126,-0.66224
2015-02-28,-0.72179,-0.60266
2015-03-01,-0.94026,-0.38018
2015-03-02,-1.26912,-0.19110
2015-03-03,-1.24960,0.01212
2015-03-04,-1.35636,0.12817
2015-03-05,-1.58464,0.29174
2015-03-06,-1.77030,0.50563
2015-03-07,-1.82945,1.13268
2015-03-08,-1.60211,1.69670
2015-03-09,-1.10264,2.04769
2015-03-10,-0.56651,2.21620
2015-03-11,-0.22244,2.49869
2015-03-12,0.26316,2.76498
2015-03-13,0.75563,2.72218
2015-03-14,1.69127,2.29594
2015-03-15,2.49329,1.70920
2015-03-16,2.78740,1.36393
2015-03-17,2.69871,1.13892
2015-03-18,2.61415,0.73634
2015-03-19,2.40063,0.37650
2015-03-20,2.17076,0.21343
2015-03-21,1.76638,0.15781
2015-03-22,1.38661,-0.06148
2015-03-23,1.15508,-0.48636
2015-03-24,1.02426,-0.82759
2015-03-25,0.94373,-1.18707
2015-03-26,0.63681,-1.48896
2015-03-27,0.29514,-1.60842
2015-03-28,0.02294,-1.73796
2015-03-29,-0.05739,-1.95390
2015-03-30,-0.30563,-1.86041
2015-03-31,-0.53652,-1.48115
