Date,PC1,PC2
2015-01-01,-1.15030,-0.42456
2015-01-02,-1.04980,-0.40198
2015-01-03,-0.96978,-0.15612
2015-01-04,-1.03892,0.25612
2015-01-05,-1.24685,0.74512
2015-01-06,-1.36852,0.81203
2015-01-07,-1.26653,0.98000
2015-01-08,-0.95289,1.34555
2015-01-09,-0.73483,1.44297
2015-01-10,-0.58718,1.17999
2015-01-11,-0.45146,0.99870
2015-01-12,-0.25035,0.65421
2015-01-13,0.00221,0.44110
2015-01-14,0.33766,0.24155
2015-01-15,0.64319,-0.14868
2015-01-16,0.83567,-0.48704
2015-01-17,0.62261,-0.74099
2015-01-18,0.60481,-0.62176
2015-01-19,0.53821,-0.41522
2015-01-20,0.70085,-0.21072
2015-01-21,0.81692,-0.12006
2015-01-22,0.85087,-0.26037
2015-01-23,0.57226,-0.59948
2015-01-24,0.51451,-0.85062
2015-01-25,0.39274,-0.83010
2015-01-26,0.01418,-0.73796
2015-01-27,-0.31059,-0.59831
2015-01-28,-0.44594,-0.38451
2015-01-29,-0.39746,-0.26118
2015-01-30,-0.30710,0.10223
2015-01-31,-0.24687,0.30149
2015-02-01,-0.12602,0.23230
2015-02-02,-0.04116,0.32810
2015-02-03,0.01232,0.30781
2015-02-04,0.00463,0.03233
2015-02-05,0.40825,-0.51092
2015-02-06,0.63455,-0.77343
2015-02-07,0.62088,-0.89751
2015-02-08,0.39647,-1.04478
2015-02-09,0.22999,-0.66799
2015-02-10,0.21463,-0.15284
2015-02-11,0.11907,0.02388
2015-02-12,-0.03443,0.01041
2015-02-13,-0.34065,-0.10670
2015-02-14,-0.52159,-0.27121
2015-02-15,-0.58121,-0.25912
2015-02-16,-0.63422,-0.22396
2015-02-17,-0.56304,-0.35666
2015-02-18,-0.41849,-0.31886
2015-02-19,-0.29775,-0.05483
2015-02-20,-0.19937,-0.02684
2015-02-21,0.05546,-0.32162
2015-02-22,0.00989,-0.30204
2015-02-23,-0.15179,-0.34518
2015-02-24,-0.29485,-0.19434
2015-02-25,-0.46669,-0.28105
2015-02-26,-0.53115,-0.22945
2015-02-27,-0.56422,-0.30399
2015-02-28,-0.62210,-0.22649
2015-03-01,-0.80739,-0.07046
2015-03-02,-1.12763,0.08668
2015-03-03,-1.11953,0.27747
2015-03-04,-1.25526,0.36101
2015-03-05,-1.42627,0.47593
2015-03-06,-1.55006,0.66818
2015-03-07,-1.53932,1.33564
2015-03-08,-1.25645,1.90069
2015-03-09,-0.76060,2.23760
2015-03-10,-0.22599,2.43765
2015-03-11,0.13869,2.69628
2015-03-12,0.62104,2.89476
2015-03-13,1.06053,2.72815
2015-03-14,1.89530,2.19359
2015-03-15,2.57970,1.54857
2015-03-16,2.83882,1.23932
2015-03-17,2.71612,1.04140
2015-03-18,2.61284,0.61260
2015-03-19,2.40483,0.23139
2015-03-20,2.23245,0.08103
2015-03-21,1.83410,0.01472
2015-03-22,1.43084,-0.21124
2015-03-23,1.18619,-0.62157
2015-03-24,1.03404,-0.97177
2015-03-25,0.87872,-1.31456
2015-03-26,0.56124,-1.54100
2015-03-27,0.24524,-1.62602
2015-03-28,0.00833,-1.75463
2015-03-29,-0.06610,-1.94466
2015-03-30,-0.29723,-1.79355
2015-03-31,-0.50955,-1.42018
