Date,PC1,PC2
2015-01-01,-1.00262,-1.13714
2015-01-02,-1.00357,-1.10017
2015-01-03,-1.00285,-1.09735
2015-01-04,-1.00002,-1.30472
2015-01-05,-1.00054,-1.53857
2015-01-06,-1.00519,-1.65702
2015-01-07,-1.01302,-1.76215
2015-01-08,-1.01598,-1.69946
2015-01-09,-1.01126,-1.62816
2015-01-10,-1.00243,-1.50464
2015-01-11,-0.99805,-1.41667
2015-01-12,-1.00130,-1.17392
2015-01-13,-1.01284,-0.92985
2015-01-14,-1.01750,-0.61036
2015-01-15,-1.01576,-0.18635
2015-01-16,-1.01632,0.13700
2015-01-17,-1.01022,0.15755
2015-01-18,-1.00811,0.15028
2015-01-19,-1.00182,-0.08477
2015-01-20,-1.00038,-0.02629
2015-01-21,-0.99114,0.05240
2015-01-22,-0.98547,0.19869
2015-01-23,-0.98352,0.15489
2015-01-24,-0.97984,0.26024
2015-01-25,-0.97769,0.24899
2015-01-26,-0.97869,-0.00223
2015-01-27,-0.98049,-0.31112
2015-01-28,-0.98981,-0.53878
2015-01-29,-1.00056,-0.54701
2015-01-30,-1.00193,-0.53137
2015-01-31,-0.99897,-0.54638
2015-02-01,-0.99401,-0.37028
2015-02-02,-0.98718,-0.29892
2015-02-03,-0.99303,-0.20947
2015-02-04,-0.99365,-0.16949
2015-02-05,-0.99138,0.23373
2015-02-06,-0.99296,0.47307
2015-02-07,-0.99577,0.57715
2015-02-08,-0.99145,0.56870
2015-02-09,-0.98733,0.41205
2015-02-10,-0.99000,0.27033
2015-02-11,-0.99411,0.21564
2015-02-12,-0.99355,0.21565
2015-02-13,-0.98515,0.06832
2015-02-14,-0.98427,-0.08100
2015-02-15,-0.99109,-0.32412
2015-02-16,-0.99164,-0.50038
2015-02-17,-0.98889,-0.53191
2015-02-18,-0.99369,-0.42137
2015-02-19,-1.00226,-0.42236
2015-02-20,-0.99688,-0.34668
2015-02-21,-0.99356,-0.01075
2015-02-22,-0.99178,0.01552
2015-02-23,-0.99289,0.00810
2015-02-24,-0.99589,-0.11773
2015-02-25,-0.99307,-0.23504
2015-02-26,-0.98908,-0.25758
2015-02-27,-0.98709,-0.13659
2015-02-28,-0.98467,-0.09383
2015-03-01,-0.98711,-0.26657
2015-03-02,-0.98636,-0.64248
2015-03-03,-0.98570,-0.68878
2015-03-04,-0.98057,-0.63002
2015-03-05,-0.98582,-0.68919
2015-03-06,-0.99507,-0.87182
2015-03-07,-1.00269,-1.13768
2015-03-08,-1.00724,-1.01322
2015-03-09,-1.01290,-0.70980
2015-03-10,-1.00685,-0.38356
2015-03-11,-1.00613,-0.27263
2015-03-12,-1.01483,-0.14346
2015-03-13,-1.01524,0.08737
2015-03-14,-1.01518,0.83099
2015-03-15,-1.00522,1.70921
2015-03-16,-0.99806,2.09853
2015-03-17,-0.99389,2.16851
2015-03-18,-0.98379,2.22448
2015-03-19,-0.98398,2.28675
2015-03-20,-0.98826,2.21258
2015-03-21,-0.98548,1.97740
2015-03-22,-0.98259,1.81800
2015-03-23,-0.97820,1.79135
2015-03-24,-0.96975,1.80288
2015-03-25,-0.96895,1.80670
2015-03-26,-0.96914,1.67370
2015-03-27,-0.97170,1.36719
2015-03-28,-0.97847,1.19501
2015-03-29,-0.98235,1.06257
2015-03-30,-0.98819,0.77033
2015-03-31,-0.98847,0.54794
