Date,PC1,PC2
2015-01-01,-1.46184,0.06906
2015-01-02,-1.40975,0.20051
2015-01-03,-1.45893,0.41483
2015-01-04,-1.66655,0.56391
2015-01-05,-1.89577,0.52259
2015-01-06,-2.01250,0.36855
2015-01-07,-2.15068,0.64881
2015-01-08,-2.15617,1.05205
2015-01-09,-2.09500,1.23042
2015-01-10,-1.93093,1.16698
2015-01-11,-1.82568,1.18441
2015-01-12,-1.56733,1.16857
2015-01-13,-1.35684,1.24673
2015-01-14,-1.11393,1.41996
2015-01-15,-0.77157,1.50431
2015-01-16,-0.55638,1.53989
2015-01-17,-0.50119,1.21231
2015-01-18,-0.45775,1.11225
2015-01-19,-0.60367,1.05812
2015-01-20,-0.57224,1.22012
2015-01-21,-0.47063,1.30634
2015-01-22,-0.30890,1.23729
2015-01-23,-0.23350,0.72429
2015-01-24,-0.12975,0.52308
2015-01-25,-0.15253,0.42459
2015-01-26,-0.28612,0.07443
2015-01-27,-0.54556,-0.17142
2015-01-28,-0.79458,-0.17439
2015-01-29,-0.81266,-0.03851
2015-01-30,-0.82082,0.20833
2015-01-31,-0.83779,0.33534
2015-02-01,-0.67279,0.28683
2015-02-02,-0.63019,0.31084
2015-02-03,-0.59040,0.36026
2015-02-04,-0.46736,0.29831
2015-02-05,-0.06662,0.42969
2015-02-06,0.15220,0.53069
2015-02-07,0.29797,0.45181
2015-02-08,0.34254,0.12343
2015-02-09,0.17918,0.09445
2015-02-10,0.00494,0.35473
2015-02-11,-0.07425,0.37779
2015-02-12,-0.08722,0.18947
2015-02-13,-0.17395,-0.19807
2015-02-14,-0.27795,-0.40233
2015-02-15,-0.50517,-0.36241
2015-02-16,-0.59326,-0.38497
2015-02-17,-0.51583,-0.42555
2015-02-18,-0.40640,-0.30835
2015-02-19,-0.43750,-0.02919
2015-02-20,-0.37451,0.03243
2015-02-21,-0.14143,0.07287
2015-02-22,-0.13604,0.01289
2015-02-23,-0.10265,-0.12395
2015-02-24,-0.14518,-0.16719
2015-02-25,-0.17549,-0.42470
2015-02-26,-0.22415,-0.51203
2015-02-27,-0.05252,-0.67000
2015-02-28,0.03363,-0.74481
2015-03-01,-0.14051,-0.77917
2015-03-02,-0.42033,-0.90975
2015-03-03,-0.48995,-0.76583
2015-03-04,-0.41086,-0.86323
2015-03-05,-0.45516,-1.04195
2015-03-06,-0.59950,-1.08034
2015-03-07,-0.87437,-0.77628
2015-03-08,-0.87562,-0.38990
2015-03-09,-0.76357,0.17855
2015-03-10,-0.55419,0.67873
2015-03-11,-0.51864,1.10377
2015-03-12,-0.47755,1.73553
2015-03-13,-0.24466,2.11313
2015-03-14,0.31510,2.70328
2015-03-15,0.98802,2.97399
2015-03-16,1.27367,3.01187
2015-03-17,1.39989,2.79074
2015-03-18,1.57017,2.48912
2015-03-19,1.73565,2.01558
2015-03-20,1.69206,1.72455
2015-03-21,1.57548,1.31513
2015-03-22,1.56318,0.80923
2015-03-23,1.61347,0.36679
2015-03-24,1.69684,-0.00033
2015-03-25,1.75808,-0.28760
2015-03-26,1.67538,-0.69369
2015-03-27,1.50435,-1.01110
2015-03-28,1.43262,-1.27191
2015-03-29,1.37905,-1.36167
2015-03-30,1.13359,-1.39461
2015-03-31,0.93604,-1.34849
