Date,PC1,PC2
2015-01-01,-1.33963,-0.52147
2015-01-02,-1.28981,-0.46889
2015-01-03,-1.40676,-0.28728
2015-01-04,-1.61911,-0.27118
2015-01-05,-1.89477,-0.22669
2015-01-06,-2.02719,-0.26213
2015-01-07,-2.13240,-0.28520
2015-01-08,-2.17709,-0.09554
2015-01-09,-2.17936,0.09063
2015-01-10,-2.06421,0.19647
2015-01-11,-1.99818,0.28963
2015-01-12,-1.73280,0.31404
2015-01-13,-1.52945,0.38450
2015-01-14,-1.34250,0.58098
2015-01-15,-1.05689,0.77158
2015-01-16,-0.88821,0.90134
2015-01-17,-0.76942,0.69453
2015-01-18,-0.71925,0.67112
2015-01-19,-0.83076,0.57351
2015-01-20,-0.85514,0.73903
2015-01-21,-0.73640,0.75648
2015-01-22,-0.58555,0.79621
2015-01-23,-0.47517,0.61016
2015-01-24,-0.40250,0.63418
2015-01-25,-0.44776,0.65059
2015-01-26,-0.54889,0.47751
2015-01-27,-0.78710,0.32436
2015-01-28,-0.99879,0.20202
2015-01-29,-0.97369,0.15054
2015-01-30,-1.02219,0.29608
2015-01-31,-1.05805,0.36645
2015-02-01,-0.91495,0.43553
2015-02-02,-0.97372,0.65288
2015-02-03,-1.01382,0.82537
2015-02-04,-0.81438,0.67242
2015-02-05,-0.41214,0.76868
2015-02-06,-0.18083,0.80913
2015-02-07,0.00743,0.73339
2015-02-08,0.05161,0.65602
2015-02-09,-0.13006,0.65968
2015-02-10,-0.26840,0.63146
2015-02-11,-0.35983,0.64549
2015-02-12,-0.44198,0.72885
2015-02-13,-0.49713,0.55091
2015-02-14,-0.58909,0.44864
2015-02-15,-0.77541,0.32955
2015-02-16,-0.81321,0.20897
2015-02-17,-0.63475,0.00961
2015-02-18,-0.49587,-0.00058
2015-02-19,-0.50188,0.01959
2015-02-20,-0.49536,0.15854
2015-02-21,-0.41919,0.51305
2015-02-22,-0.49064,0.65168
2015-02-23,-0.42821,0.56233
2015-02-24,-0.41285,0.43366
2015-02-25,-0.40574,0.28072
2015-02-26,-0.45919,0.25276
2015-02-27,-0.21115,0.09925
2015-02-28,-0.09754,0.04672
2015-03-01,-0.24784,-0.04006
2015-03-02,-0.40728,-0.35879
2015-03-03,-0.44350,-0.39738
2015-03-04,-0.37773,-0.37675
2015-03-05,-0.45529,-0.35850
2015-03-06,-0.56534,-0.45595
2015-03-07,-0.83069,-0.43396
2015-03-08,-0.98263,-0.02836
2015-03-09,-1.05221,0.50220
2015-03-10,-0.98930,0.96563
2015-03-11,-1.03668,1.24826
2015-03-12,-1.04065,1.50909
2015-03-13,-0.83448,1.70533
2015-03-14,-0.41345,2.22215
2015-03-15,0.03780,2.84165
2015-03-16,0.21837,3.10733
2015-03-17,0.39658,2.96540
2015-03-18,0.69368,2.66391
2015-03-19,0.93511,2.42221
2015-03-20,0.93741,2.24974
2015-03-21,0.89381,1.98083
2015-03-22,0.95439,1.70910
2015-03-23,1.03364,1.53226
2015-03-24,1.10870,1.45611
2015-03-25,1.21408,1.29737
2015-03-26,1.20611,1.02599
2015-03-27,1.17317,0.64492
2015-03-28,1.21442,0.33573
2015-03-29,1.31224,-0.00701
2015-03-30,1.22337,-0.37058
2015-03-31,1.12334,-0.57332
