Date,PC1,PC2
2015-01-01,-4.08155,5.07106
2015-01-02,-4.05086,5.17317
2015-01-03,-4.05207,5.41731
2015-01-04,-4.25493,5.70702
2015-01-05,-4.48948,5.81863
2015-01-06,-4.61539,5.68255
2015-01-07,-4.75126,5.99354
2015-01-08,-4.71136,6.43196
2015-01-09,-4.63228,6.63551
2015-01-10,-4.48110,6.49277
2015-01-11,-4.38071,6.41371
2015-01-12,-4.15002,6.30475
2015-01-13,-3.94525,6.33865
2015-01-14,-3.64810,6.44204
2015-01-15,-3.22460,6.40510
2015-01-16,-2.90575,6.32654
2015-01-17,-2.85772,5.93997
2015-01-18,-2.85678,5.87826
2015-01-19,-3.07068,5.92365
2015-01-20,-3.01423,6.14376
2015-01-21,-2.91307,6.28849
2015-01-22,-2.74993,6.22613
2015-01-23,-2.77054,5.65603
2015-01-24,-2.64894,5.37911
2015-01-25,-2.65229,5.29677
2015-01-26,-2.89428,5.06658
2015-01-27,-3.19791,4.93220
2015-01-28,-3.45007,4.99322
2015-01-29,-3.49438,5.15223
2015-01-30,-3.49244,5.47534
2015-01-31,-3.50353,5.62344
2015-02-01,-3.31231,5.48895
2015-02-02,-3.22126,5.46281
2015-02-03,-3.15026,5.48289
2015-02-04,-3.11073,5.36847
2015-02-05,-2.70791,5.32638
2015-02-06,-2.47908,5.38067
2015-02-07,-2.38262,5.27486
2015-02-08,-2.36738,4.91144
2015-02-09,-2.50929,4.92338
2015-02-10,-2.66591,5.26305
2015-02-11,-2.73377,5.38237
2015-02-12,-2.72740,5.24894
2015-02-13,-2.83681,4.84229
2015-02-14,-2.97488,4.63107
2015-02-15,-3.23580,4.75909
2015-02-16,-3.41146,4.76880
2015-02-17,-3.43358,4.65777
2015-02-18,-3.34081,4.70820
2015-02-19,-3.37637,5.05623
2015-02-20,-3.28719,5.08678
2015-02-21,-2.94317,4.95330
2015-02-22,-2.90975,4.88832
2015-02-23,-2.91781,4.77225
2015-02-24,-3.05305,4.86261
2015-02-25,-3.15331,4.60434
2015-02-26,-3.16009,4.49609
2015-02-27,-3.03039,4.32677
2015-02-28,-2.98136,4.34035
2015-03-01,-3.15881,4.42225
2015-03-02,-3.52408,4.38672
2015-03-03,-3.57075,4.51345
2015-03-04,-3.49607,4.43330
2015-03-05,-3.56603,4.34696
2015-03-06,-3.77373,4.40300
2015-03-07,-4.06946,4.86104
2015-03-08,-3.97135,5.26676
2015-03-09,-3.70357,5.78766
2015-03-10,-3.37778,6.18565
2015-03-11,-3.27870,6.57074
2015-03-12,-3.19613,7.21776
2015-03-13,-2.97998,7.47871
2015-03-14,-2.25923,7.78658
2015-03-15,-1.36613,7.75600
2015-03-16,-0.95984,7.69701
2015-03-17,-0.87291,7.48047
2015-03-18,-0.78102,7.16822
2015-03-19,-0.70600,6.67049
2015-03-20,-0.78274,6.44221
2015-03-21,-0.99576,6.09923
2015-03-22,-1.13115,5.64272
2015-03-23,-1.13141,5.14825
2015-03-24,-1.08327,4.65983
2015-03-25,-1.06819,4.29125
2015-03-26,-1.18744,3.86301
2015-03-27,-1.48895,3.57908
2015-03-28,-1.67342,3.37656
2015-03-29,-1.81358,3.27991
2015-03-30,-2.12007,3.35763
2015-03-31,-2.34375,3.54702
