Date,PC1,PC2
2015-01-01,-1.02529,-0.46642
2015-01-02,-0.96160,-0.49237
2015-01-03,-0.94414,-0.65727
2015-01-04,-1.11220,-0.92874
2015-01-05,-1.37885,-1.15297
2015-01-06,-1.50024,-1.10251
2015-01-07,-1.52430,-1.44154
2015-01-08,-1.35934,-1.87269
2015-01-09,-1.14394,-1.96083
2015-01-10,-0.92556,-1.73534
2015-01-11,-0.78199,-1.64447
2015-01-12,-0.56129,-1.57425
2015-01-13,-0.33510,-1.62077
2015-01-14,0.03572,-1.64481
2015-01-15,0.44889,-1.47500
2015-01-16,0.71974,-1.30955
2015-01-17,0.59869,-1.05972
2015-01-18,0.56905,-1.09847
2015-01-19,0.49592,-1.10850
2015-01-20,0.65344,-1.18391
2015-01-21,0.77366,-1.22675
2015-01-22,0.85845,-1.07592
2015-01-23,0.71138,-0.51424
2015-01-24,0.75996,-0.15076
2015-01-25,0.67653,-0.01433
2015-01-26,0.34430,0.16087
2015-01-27,0.00346,0.21557
2015-01-28,-0.17639,0.11373
2015-01-29,-0.16771,-0.02199
2015-01-30,-0.15668,-0.31591
2015-01-31,-0.16285,-0.45210
2015-02-01,0.04676,-0.24458
2015-02-02,0.17878,-0.10331
2015-02-03,0.26231,0.00403
2015-02-04,0.27424,0.12719
2015-02-05,0.74622,0.30453
2015-02-06,0.98812,0.34402
2015-02-07,1.02247,0.43550
2015-02-08,0.91378,0.77361
2015-02-09,0.74362,0.70566
2015-02-10,0.63253,0.29975
2015-02-11,0.51465,0.15439
2015-02-12,0.35276,0.26493
2015-02-13,0.07559,0.50692
2015-02-14,-0.07332,0.73186
2015-02-15,-0.17508,0.66997
2015-02-16,-0.25915,0.61192
2015-02-17,-0.21765,0.57430
2015-02-18,-0.07439,0.44009
2015-02-19,-0.03004,0.08420
2015-02-20,0.09406,0.06885
2015-02-21,0.39548,0.25072
2015-02-22,0.32803,0.28269
2015-02-23,0.20328,0.30793
2015-02-24,0.00109,0.14307
2015-02-25,-0.15257,0.26383
2015-02-26,-0.19558,0.29630
2015-02-27,-0.16354,0.42768
2015-02-28,-0.15670,0.48687
2015-03-01,-0.32189,0.51660
2015-03-02,-0.68673,0.46566
2015-03-03,-0.69509,0.33391
2015-03-04,-0.77930,0.42736
2015-03-05,-0.91240,0.55170
2015-03-06,-1.11702,0.41641
2015-03-07,-1.27174,-0.09316
2015-03-08,-1.11582,-0.53416
2015-03-09,-0.75510,-0.99168
2015-03-10,-0.28607,-1.29447
2015-03-11,-0.00934,-1.62010
2015-03-12,0.31737,-2.12022
2015-03-13,0.69424,-2.25734
2015-03-14,1.54164,-2.33828
2015-03-15,2.35161,-2.06675
2015-03-16,2.65362,-1.92824
2015-03-17,2.60112,-1.73967
2015-03-18,2.58221,-1.46882
2015-03-19,2.50803,-1.02060
2015-03-20,2.42789,-0.73613
2015-03-21,2.11890,-0.41450
2015-03-22,1.84511,0.04590
2015-03-23,1.75021,0.48158
2015-03-24,1.67771,0.84359
2015-03-25,1.55654,1.12654
2015-03-26,1.28969,1.41507
2015-03-27,0.97323,1.56891
2015-03-28,0.72373,1.63376
2015-03-29,0.61457,1.60902
2015-03-30,0.31930,1.43693
2015-03-31,0.06684,1.24484
