Date,PC1,PC2
2015-01-01,-0.59228,-0.63265
2015-01-02,-1.24501,-0.37915
2015-01-03,-0.87739,-0.66557
2015-01-04,-1.05553,-0.98099
2015-01-05,-1.48823,-1.06703
2015-01-06,-1.48424,-1.13852
2015-01-07,-1.49452,-1.43012
2015-01-08,-1.45445,-1.83684
2015-01-09,-1.12515,-1.96142
2015-01-10,-0.93885,-1.74906
2015-01-11,-0.84058,-1.59192
2015-01-12,-0.56416,-1.60434
2015-01-13,-0.33224,-1.61205
2015-01-14,-0.02114,-1.60770
2015-01-15,0.48091,-1.52482
2015-01-16,0.70048,-1.26920
2015-01-17,0.60753,-1.08119
2015-01-18,0.55703,-1.09464
2015-01-19,0.53017,-1.11535
2015-01-20,0.60101,-1.16570
2015-01-21,0.81354,-1.26125
2015-01-22,0.83379,-1.05073
2015-01-23,0.72033,-0.52962
2015-01-24,0.75595,-0.15739
2015-01-25,0.68404,-0.00184
2015-01-26,0.33814,0.14787
2015-01-27,0.00213,0.21524
2015-01-28,-0.16324,0.13256
2015-01-29,-0.18437,-0.03850
2015-01-30,-0.16200,-0.30153
2015-01-31,-0.15159,-0.44440
2015-02-01,0.00021,-0.26773
2015-02-02,0.20776,-0.07254
2015-02-03,0.20917,-0.02705
2015-02-04,0.29349,0.13160
2015-02-05,0.70527,0.31021
2015-02-06,1.00893,0.30946
2015-02-07,0.99968,0.45310
2015-02-08,0.90880,0.75603
2015-02-09,0.75512,0.69342
2015-02-10,0.59455,0.31313
2015-02-11,0.52448,0.13482
2015-02-12,0.34351,0.26096
2015-02-13,0.06385,0.51844
2015-02-14,-0.07312,0.71483
2015-02-15,-0.17498,0.68641
2015-02-16,-0.28650,0.59734
2015-02-17,-0.21162,0.59403
2015-02-18,-0.08903,0.42148
2015-02-19,-0.05365,0.10332
2015-02-20,0.11565,0.05457
2015-02-21,0.35436,0.24190
2015-02-22,0.35543,0.31699
2015-02-23,0.17836,0.25643
2015-02-24,0.00734,0.20110
2015-02-25,-0.14544,0.22104
2015-02-26,-0.21219,0.32600
2015-02-27,-0.14937,0.42393
2015-02-28,-0.14403,0.48215
2015-03-01,-0.35453,0.52405
2015-03-02,-0.62951,0.45739
2015-03-03,-0.74005,0.34499
2015-03-04,-0.75541,0.42439
2015-03-05,-0.90092,0.56370
2015-03-06,-1.14274,0.39946
2015-03-07,-1.25918,-0.06236
2015-03-08,-1.13284,-0.56472
2015-03-09,-0.77097,-0.96924
2015-03-10,-0.32065,-1.29530
2015-03-11,0.00318,-1.65837
2015-03-12,0.24000,-2.07001
2015-03-13,0.70060,-2.32627
2015-03-14,1.50967,-2.29802
2015-03-15,2.31412,-2.11006
2015-03-16,2.65968,-1.93386
2015-03-17,2.59846,-1.76335
2015-03-18,2.54117,-1.46453
2015-03-19,2.55231,-1.05987
2015-03-20,2.40092,-0.73448
2015-03-21,2.11157,-0.43478
2015-03-22,1.86856,0.01713
2015-03-23,1.73265,0.48566
2015-03-24,1.68064,0.81427
2015-03-25,1.57525,1.11979
2015-03-26,1.28759,1.40949
2015-03-27,0.96317,1.56468
2015-03-28,0.76478,1.63057
2015-03-29,0.58966,1.61182
2015-03-30,0.34138,1.44463
2015-03-31,0.08227,1.24473
