Date,PC1,PC2
2004-01-01,-3.28317,0.45379
2004-01-02,-3.07075,-0.56454
2004-01-03,-2.51832,-1.70058
2004-01-04,-1.68919,-2.27700
2004-01-05,-0.84588,-2.59167
2004-01-06,-0.08619,-3.04292
2004-01-07,0.55366,-3.10867
2004-01-08,1.18743,-2.87142
2004-01-09,1.73531,-2.76320
2004-01-10,1.95180,-2.89247
2004-01-11,2.18883,-3.10973
2004-01-12,2.34705,-3.05960
2004-01-13,2.32241,-2.50467
2004-01-14,2.18007,-1.83384
2004-01-15,2.01233,-1.16448
2004-01-16,1.92059,-0.78129
2004-01-17,1.84155,-0.52441
2004-01-18,1.69839,-0.38733
2004-01-19,1.57072,0.07158
2004-01-20,1.39524,0.35995
2004-01-21,1.29360,0.48933
2004-01-22,1.43747,0.48987
2004-01-23,1.67558,0.26623
2004-01-24,1.68267,0.13726
2004-01-25,1.70320,0.08701
2004-01-26,1.79799,-0.13879
2004-01-27,1.94758,-0.27767
2004-01-28,2.00322,-0.32129
2004-01-29,2.08944,-0.25576
2004-01-30,2.16460,0.10149
2004-01-31,2.09401,0.25918
2004-02-01,1.92029,0.25512
2004-02-02,1.89951,0.21455
2004-02-03,1.82406,0.23009
2004-02-04,1.80954,0.30535
2004-02-05,1.71339,0.38472
2004-02-06,1.66526,0.29821
2004-02-07,1.55039,0.27151
2004-02-08,1.38210,0.37083
2004-02-09,1.35338,0.33909
2004-02-10,1.31590,0.13855
2004-02-11,1.13638,0.01191
2004-02-12,1.00815,-0.00365
2004-02-13,1.13419,0.10174
2004-02-14,1.17677,0.02684
2004-02-15,1.14788,0.08921
2004-02-16,1.13639,0.21300
2004-02-17,1.06142,0.38395
2004-02-18,0.95686,0.28987
2004-02-19,0.91292,0.17545
2004-02-20,1.02113,0.19552
2004-02-21,1.04435,0.26631
2004-02-22,0.99764,0.27741
2004-02-23,1.01470,0.21389
2004-02-24,1.04242,0.14263
2004-02-25,1.03236,0.16796
2004-02-26,0.95620,0.24299
2004-02-27,0.97537,0.22912
2004-02-28,1.05524,0.14613
2004-02-29,0.92420,-0.00468
2004-03-01,0.94684,-0.03795
2004-03-02,1.12034,-0.04727
2004-03-03,1.11363,-0.10951
2004-03-04,0.97987,-0.31362
2004-03-05,0.94082,-0.29430
2004-03-06,0.99373,-0.07162
2004-03-07,0.97328,0.17234
2004-03-08,0.95287,0.24626
2004-03-09,0.79476,0.22117
2004-03-10,0.76715,0.24408
2004-03-11,0.78324,0.19827
2004-03-12,0.73010,0.22684
2004-03-13,0.66364,0.44790
2004-03-14,0.49363,0.44768
2004-03-15,0.42030,0.15700
2004-03-16,0.48174,-0.01669
2004-03-17,0.51152,-0.01659
2004-03-18,0.55406,0.02077
2004-03-19,0.47492,-0.03197
2004-03-20,0.50258,-0.10005
2004-03-21,0.60286,-0.27398
2004-03-22,0.67111,-0.23108
2004-03-23,0.60041,0.01119
2004-03-24,0.48763,0.16671
2004-03-25,0.40168,0.29289
2004-03-26,0.37955,0.32752
2004-03-27,0.39392,0.34973
2004-03-28,0.40111,0.50636
2004-03-29,0.29417,0.77725
2004-03-30,0.14984,0.80200
