Date,PC1,PC2
2006-01-01,-0.22574,-0.48229
2006-01-02,-0.32242,-0.40360
2006-01-03,-0.46045,-0.15309
2006-01-04,-0.53560,0.03755
2006-01-05,-0.33634,0.02302
2006-01-06,-0.28149,0.28936
2006-01-07,-0.06135,0.56341
2006-01-08,-0.30987,1.06253
2006-01-09,-0.45850,1.12508
2006-01-10,-0.36391,1.06301
2006-01-11,-0.34579,1.13938
2006-01-12,-0.24214,1.33254
2006-01-13,-0.04578,1.24930
2006-01-14,0.30744,1.00944
2006-01-15,0.62016,0.76014
2006-01-16,1.03997,0.48111
2006-01-17,1.51195,0.04192
2006-01-18,1.86964,-0.39284
2006-01-19,2.20975,-0.84025
2006-01-20,2.21499,-1.25476
2006-01-21,2.09836,-1.47652
2006-01-22,1.91452,-1.54590
2006-01-23,1.47917,-1.39314
2006-01-24,1.14424,-1.05351
2006-01-25,0.93041,-1.09094
2006-01-26,0.67421,-1.56255
2006-01-27,0.75436,-2.01227
2006-01-28,0.60611,-1.97285
2006-01-29,0.35360,-1.74601
2006-01-30,-0.01831,-1.50025
2006-01-31,-0.29387,-1.60683
2006-02-01,-0.50828,-1.82554
2006-02-02,-0.70727,-1.81584
2006-02-03,-0.85575,-1.77970
2006-02-04,-1.02562,-1.79459
2006-02-05,-1.35338,-1.73781
2006-02-06,-1.54216,-1.57699
2006-02-07,-1.63625,-1.30717
2006-02-08,-1.58124,-1.07235
2006-02-09,-1.36589,-0.99835
2006-02-10,-0.99671,-0.98223
2006-02-11,-0.99633,-0.84419
2006-02-12,-0.97763,-0.80107
2006-02-13,-0.98287,-0.67500
2006-02-14,-0.99144,-0.44088
2006-02-15,-0.87291,-0.16319
2006-02-16,-0.87632,0.00987
2006-02-17,-0.91801,0.24051
2006-02-18,-1.01511,0.40580
2006-02-19,-0.93868,0.93027
2006-02-20,-1.02263,1.20015
2006-02-21,-1.06913,1.31963
2006-02-22,-1.12268,1.36420
2006-02-23,-1.13507,1.44325
2006-02-24,-0.94684,1.68092
2006-02-25,-0.33559,1.92147
2006-02-26,0.30806,1.61168
2006-02-27,0.77116,1.25025
2006-02-28,1.04401,0.72069
2006-03-01,1.07474,0.37542
2006-03-02,0.90993,0.37004
2006-03-03,0.73556,0.38428
2006-03-04,0.38643,0.08541
2006-03-05,0.32492,-0.19883
2006-03-06,0.39057,-0.22641
2006-03-07,0.48660,-0.26114
2006-03-08,0.50962,-0.08429
2006-03-09,0.72151,-0.07545
2006-03-10,0.83975,0.01516
2006-03-11,0.81674,0.03482
2006-03-12,0.67632,0.36847
2006-03-13,0.63745,0.47117
2006-03-14,0.67377,0.42960
2006-03-15,0.64674,0.51024
2006-03-16,0.78586,0.63449
2006-03-17,0.81904,0.59299
2006-03-18,0.77649,0.52536
2006-03-19,0.64901,0.53458
2006-03-20,0.77108,0.56876
2006-03-21,0.66420,0.68887
2006-03-22,0.79069,0.62289
2006-03-23,0.88233,0.44816
2006-03-24,1.10319,0.26482
2006-03-25,1.22885,0.21492
2006-03-26,1.51814,0.23089
2006-03-27,1.61062,0.16201
2006-03-28,1.58258,0.06793
2006-03-29,1.65631,0.08758
2006-03-30,1.74297,-0.00269
2006-03-31,1.57764,-0.11404
