,a,b
0,"[9202.673744208327, -1480.3185111189136, -2238.123859889386, -1313.195298011264]","[-31.465930652715855, 5.073176644152735, 7.621603794931565, 4.442662681955979]"
1,"[-9794.779783621701, -1187.3762161625286, -1269.8929391426261, -1582.0340037429917]","[33.56294144744745, 4.074377981479815, 4.328841638478606, 5.35444942363759]"
2,"[4226.420918574875, -1462.7980690291927, -380.69775208777924, -1212.8273080254914]","[-14.495417554730453, 5.027204601698888, 1.294062041153025, 4.100274887333361]"
3,"[-3414.355862630226, -273.4856631726992, 573.0452709529677, -113.76973255181423]","[11.745922329547152, 0.943768395138239, -1.9509247519187953, 0.3708877846205985]"
4,"[-2579.077268057177, 318.3686689186939, 2440.1128994299393, 2550.595194888688]","[8.849654900609238, -1.0790401746594585, -8.288008017154976, -8.66048621781933]"
5,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
6,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
7,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
8,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
9,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
10,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
11,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
12,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
13,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
14,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
15,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
16,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
17,"[3163.00919840079, 4920.341087120439, 2368.5534868226305, -11059.17851599534]","[-10.564028829985801, -16.418802121207232, -7.893072570785966, 36.647036699687774]"
18,"[3293.378814302894, 2153.469454837637, 963.1850321702223, -18674.321159746658]","[-10.99976443270216, -7.1927012044901, -3.224550566280836, 61.83311724079568]"
19,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
21,"[-4136.182150648593, -4103.040991954842, 2003.3598888229003, -2118.6495395902803]","[13.871497926557861, 13.710283987481668, -6.670330609138357, 6.978551447674666]"
22,"[11659.369407099006, -6257.791910009787, 688.4588880174194, -1756.0708619073082]","[-39.04275608670205, 20.922310487332016, -2.2940579269269246, 5.774386506586506]"
23,"[901.0188877848794, -4299.169082113265, 3028.7996997042083, -4813.437876363736]","[-3.0096583186198647, 14.368993695539444, -10.081765297349765, 15.927459724837682]"
24,"[1435.9965724459623, -4414.286571572504, -2646.6155557512275, 2543.0767387969586]","[-4.805614480906855, 14.750249134453247, 8.859323402304385, -8.497251900267411]"
25,"[5612.736329667387, -3695.1206788176296, -7717.577403421094, 3133.383862638884]","[-18.816141042552793, 12.344357403982483, 25.799016487204987, -10.468422926062056]"
26,"[4818.542918392305, -2527.0545526321475, -14603.562158739545, 2836.7364027663893]","[-16.16543260506178, 8.431833249053076, 48.777128584695106, -9.4851488631238]"
27,"[-2519.269278122832, -3922.0601522181487, 208.21236224672325, 1267.5370740473566]","[8.45726943246796, 13.10769572038814, -0.6398292368276158, -4.280063638836012]"
28,"[485.7201987044226, -3653.7736952101695, 15910.837586820875, -430.51293691811856]","[-1.6250241129887113, 12.208715376216405, -52.9673813763077, 1.3563913193921149]"
29,"[-4582.649018451996, -14417.017081977492, 1332.3068205507982, -108.34228363232623]","[15.355757215445882, 48.23992651088339, -4.37308286314975, 0.28784392119335456]"
30,"[3602.9290923657986, -6410.378666934447, -5863.625282411947, -3922.3893937878156]","[-12.072216811051112, 21.434696012024173, 19.534585079079783, 12.95914212707427]"
31,"[-5836.0018169832365, -2993.234514009783, 4451.788112305095, -3907.618780094383]","[19.545503995327177, 9.988704124013468, -14.823428359014764, 12.910655287596017]"
32,"[-2566.5298339762667, 2334.5127619823743, 5096.451220190504, 2521.6884498476707]","[8.578801695645751, -7.80754924951569, -16.99172248978333, -8.446630274198524]"
33,"[-166.12500106289383, 5108.473689689967, -6472.218385786623, 4376.275997540849]","[0.5320251298445465, -17.07212715889074, 21.549063632816004, -14.597831394434694]"
34,"[516.7238648840271, -1475.0726529983503, -2701.1310840138467, 8115.427978763325]","[-1.760294307433234, 4.939387323592121, 8.97605191951658, -26.997433269923693]"
35,"[9469.82276980063, -6505.559466321628, -13404.080202975185, 120.46867673750288]","[-31.688582820388444, 21.71350539540375, 44.60446096976416, -0.40100552603621004]"
36,"[-2360.9841504561723, -6231.872154836453, 38.37415509242592, 25492.59199564204]","[7.873997641190007, 20.799920410399633, -0.13204210960419063, -84.63379503677746]"
37,"[-4281.331072786573, 7766.551253207394, 33127.14443858777, 21154.803516950637]","[14.257051775521491, -25.844542320984, -110.23360082228518, -70.29864876864659]"
38,"[5564.8298155118155, 13713.783856684538, 24885.460497063676, 15651.436912140663]","[-18.582627330692343, -45.77504490223657, -83.01733151701619, -52.06821183506895]"
39,"[2869.0593271495995, 6269.033628553774, 15046.255142498037, 8726.762049556331]","[-9.600511644490414, -20.945088107778865, -50.21661623956696, -29.00557930625085]"
40,"[-365.60249028254225, 6861.110048443044, 1147.8898927313635, 1288.0984093210893]","[1.1935767390942553, -22.899595970979448, -3.8244272734656746, -4.199376648747825]"
41,"[-425.4936299080296, 4607.502324862405, -3360.9456406514437, 10407.905524169391]","[1.3882679881413174, -15.390151458549369, 11.232702930355192, -34.618383745215056]"
42,"[197.7915733305193, -95.66724569474025, -4079.6279113727787, 13260.992919085837]","[-0.6872774721926272, 0.31697951389470835, 13.607647500084044, -44.09381486977858]"
43,"[1136.576798352997, 2805.850422832065, -4814.059225935868, -3878.907701599518]","[-3.8277371250412884, -9.381072550278835, 16.033701484546402, 12.95475082291405]"
44,"[2067.855579954447, -258.86476027329485, -1366.0903503342272, 10785.676859639601]","[-6.9470781061248, 0.8638915359775976, 4.544018053225298, -35.780489972294006]"
45,"[331.0265056173394, -1968.5677134192706, -1912.74854732128, 4665.916388245546]","[-1.1392888174053313, 6.5681524738936945, 6.346693153795846, -15.475443961911337]"
46,"[-1695.2573896364388, -169.84073258409927, -102.04385729164309, 4913.89442638369]","[5.63333905838372, 0.5675089311369843, 0.3402099689383618, -16.24350441967417]"
47,"[-2297.729801904665, -189.1987515217369, -1814.7213755717664, 10707.497580116536]","[7.645135312003329, 0.6313221424522121, 6.017548952526691, -35.325172304686845]"
48,"[-1763.369561933631, -265.82192438086605, -2696.4895045269977, 8485.149722741435]","[5.856594100844224, 0.8848047560191692, 8.909707364041964, -27.94373983286498]"
49,"[-847.5666544654621, -1548.8006428472643, -2025.5581068585727, 10577.649438824952]","[2.8068435717131783, 5.141871367394456, 6.712522922530568, -34.88629565187802]"
50,"[-386.2383297826896, -1655.622389173005, -2482.404772825652, 11300.432059093773]","[1.2742224976457526, 5.474242882257658, 8.203237694081544, -37.17554290930186]"
51,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
52,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
53,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
54,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
55,"[-80.90794204516594, -1742.3412872359922, 768.8110743020576, 4210.089474732222]","[0.2564987967458502, 5.760165933677406, -2.559586287241944, -13.867632552402547]"
56,"[-619.7130610151729, -2200.8674901874924, 1375.1701773117927, 10573.439681823302]","[2.060628745468722, 7.2981848489788685, -4.576415799159161, -34.85240858113822]"
57,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
58,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
59,"[17708.86247461655, -2018.9865879805384, 1549.9752840123942, 8870.9251354288]","[-59.3600378431001, 6.735834513422803, -5.207295106306981, -29.441844659018255]"
60,"[16954.914955993594, -157.6959042985648, 590.1173204827772, 5265.051618699092]","[-56.75685190839187, 0.5127856670719982, -2.0030581137815036, -17.49748462731063]"
61,"[20527.10211302275, 1157.8367411509007, 3306.5849422640663, 9341.81162537755]","[-68.6512673220997, -3.871709269192326, -11.03343207461314, -30.97094550743509]"
62,"[24983.323168763425, 1202.581546925075, 9013.307830714059, -1886.4698346247283]","[-83.43298615148619, -3.9968671954923614, -29.979618461340092, 6.209151384849248]"
63,"[14672.370321943885, 16205.496195817725, 10997.314523065475, 10186.63850304074]","[-48.91167177342963, -53.877517580331585, -36.584228348653944, -33.7776264655751]"
64,"[24986.385171472037, 28946.594318780168, 16085.7302884656, 9910.426687044739]","[-83.21316858070188, -96.3315078067145, -53.46828544324888, -32.90775205082051]"
65,"[10657.145965214377, 20957.72027595105, -12699.315506109648, 6097.259337341038]","[-35.43865474050428, -69.63230307009704, 42.20275515863166, -20.254816434269618]"
66,"[-3448.914488731415, 5119.765453656229, 16665.06518610404, 9505.827208105042]","[11.54780971004404, -16.92781757978898, -55.45253747807936, -31.535364668311427]"
67,"[-5524.924787080727, 8123.819412944291, 20989.962839126525, 6947.603203070513]","[18.42984305253182, -26.940459250014598, -69.80414238209947, -23.073349944271452]"
68,"[10103.509879968575, 6243.411473073668, -3003.7128909200483, 7230.672939056956]","[-33.651298234792954, -20.716830372618098, 9.965127697048404, -24.013553079524737]"
69,"[12800.739242168782, 3515.9788909948084, 4692.921075631752, 9527.354587989033]","[-42.66725013260929, -11.661234646262209, -15.583260894096648, -31.609123600383867]"
70,"[4624.065571621894, -2062.19401696892, 1329.9327181802255, 11594.781593284504]","[-15.430552309559431, 6.885946955770647, -4.40943983304316, -38.4755112678095]"
71,"[4461.656205579238, -71.01138348976163, 6768.474113098686, 6983.580474097128]","[-14.882793575013283, 0.26445172508464676, -22.477126578123197, -23.189402814229013]"
72,"[1896.836545719075, 9771.195283322742, 13123.63696532269, 18354.102482432325]","[-6.352121411822203, -32.437935546014074, -43.532008698565534, -60.84198488583586]"
73,"[4126.787923541024, 14471.054516450866, 14773.682862344327, 12856.797079794549]","[-13.764211396004036, -48.011675540153355, -49.00133095990791, -42.5697639694704]"
74,"[8631.349187402127, 6460.336185351265, 23143.819571232205, 3734.226505860198]","[-28.720874707891817, -21.431525287174846, -76.69039287152921, -12.352642279926656]"
75,"[8347.949061110536, -2144.3859243102775, 11284.632707561424, 13773.640654672206]","[-27.783749494332106, 7.085662494440039, -37.385978484605424, -45.69055870020458]"
76,"[6253.493017991367, -1425.7501482171647, 11780.581413149132, 1284.0741579472706]","[-20.824647065322743, 4.70949247500625, -39.052628262046476, -4.2168276818166515]"
77,"[3960.1848275471293, -4341.096721315595, 12824.74378810404, 23595.677829577035]","[-13.213791263964984, 14.381713069816612, -42.49571779328954, -78.04958161246212]"
78,"[7591.57049973752, -5452.603950320714, 13875.720977348585, 303.6950730979989]","[-25.288013462570323, 18.08112989154931, -45.93926597532531, -0.8994998624799149]"
79,"[3032.1234464296253, -7672.842026752982, 10016.370935331935, 691.1473607557144]","[-10.103950078064909, 25.471824683826192, -33.215324481995204, -2.191224817724739]"
80,"[4097.218095068083, -6970.518443263742, 8620.977392895746, 848.2112283669551]","[-13.635152804491089, 23.141156981886674, -28.579976987893676, -2.70807694463063]"
81,"[9453.133567412833, 1627.9915275182855, 8647.357937841543, 10240.127629510216]","[-31.409178961080517, -5.416025870144898, -28.68486930992908, -33.74969669674432]"
82,"[12933.812308587407, 4759.975763628696, 7922.493958881755, 21339.306706029864]","[-42.982749879513726, -15.817850564636009, -26.268409864500395, -70.51922459707576]"
83,"[16937.435699784804, 5225.492960635836, 9320.132097284126, 6105.619894658424]","[-56.311327030703794, -17.37114990835751, -30.913148952145214, -20.133436802113376]"
84,"[14382.505629918287, 2723.919404224842, 6883.89077037182, 5849.675040163476]","[-47.83842220513131, -9.069915120240282, -22.837707246577676, -19.33650880692466]"
85,"[10976.070449343346, 4363.40061791635, 9150.336219146326, 31187.91290945539]","[-36.52932092634652, -14.525670210687839, -30.342986760013215, -103.36584850502707]"
86,"[11875.636482414588, 2490.229325993513, 6737.119742541984, 31739.869561334053]","[-39.574122368685636, -8.303537419677662, -22.340428356171277, -105.28368947522753]"
87,"[2751.594982191041, 2203.364756189946, 7937.867884448143, 5464.380003118818]","[-9.179622131346829, -7.346647277929238, -26.320731344487257, -18.14291538078218]"
88,"[7342.583789223311, 4538.402716318682, 9839.657739181033, 297.6087495338155]","[-24.500087773270675, -15.126072355457394, -32.62654215378816, -0.9918382903730633]"
89,"[-1727.7359584596038, 3932.2178069170072, 6890.204106684831, 16868.030308951107]","[5.769746767550728, -13.110927249754354, -22.832626318708037, -56.10262078187722]"
90,"[1685.557893570288, 6511.531605574052, -5380.913922411031, 9650.242451546954]","[-5.629479126601934, -21.733369995258407, 18.029534603286894, -32.11496423780243]"
91,"[3197.5156768473553, 4699.553684550656, -11661.456360260749, 125.32643184988812]","[-10.692049294437048, -15.683592859586762, 38.95480543924213, -0.4333765108057382]"
92,"[5428.112379383125, 2455.8488254369577, -6684.272893911851, -3751.8602976081033]","[-18.171888736572, -8.207712787220846, 22.356510688231307, 12.504833996775858]"
93,"[11373.051847219833, 519.7334218075422, -2288.2322514048715, -10232.013377035484]","[-38.1139018312839, -1.7322449622092075, 7.678698865824915, 34.14056669567187]"
94,"[-2576.465882039897, 2422.6143889514474, 930.945776894638, 2445.1673919075547]","[8.651397547904583, -8.112248338988639, -3.0913598623682743, -8.173129732605025]"
95,"[-11083.327880200486, 2100.2031786474727, 1733.762516256496, 4834.212454375401]","[37.22727869265082, -7.040396616916031, -5.788493348349404, -16.178571848544752]"
96,"[-609.1898608681549, 1566.8855458595658, 2555.8647660465695, 5694.112125016163]","[2.0508392410174374, -5.250287283752772, -8.559881886029746, -19.057851183135096]"
97,"[2956.9860473426825, 495.94193924688125, 1548.8662402579014, 7159.217128952893]","[-9.947225366287539, -1.6475085360623745, -5.191825803891609, -23.983552958858624]"
98,"[5095.694583892302, -379.0661248353231, 2167.5469794001697, 9150.421079497002]","[-17.169342631972995, 1.3003998250351336, -7.273034474370076, -30.705569292311026]"
99,"[6631.0488218515875, -1600.4419747632592, 4506.507346188255, -9715.647891468283]","[-22.365758511613773, 5.413174020772386, -15.155075014448535, 32.703612706731285]"
100,"[3042.3544954305435, -2007.3458417407392, 5197.678691860214, -21128.373893728716]","[-10.263321943478445, 6.789576172603019, -17.50254448513972, 71.17050750038469]"
101,"[-885.8452745662572, -905.5094296307589, 6224.1350493955915, -4807.0609741718345]","[2.9932754352007773, 3.073281491610964, -20.993406504988037, 16.22924572856142]"
102,"[5419.829119449041, -1994.354541321001, 5624.357635708159, 4414.806254892396]","[-18.330765275715876, 6.7544836356537985, -18.98982410925849, -14.864501940184555]"
103,"[3216.8710713172, -3421.181911242222, 5866.503500307137, -563.0728776817043]","[-10.885146593119071, 11.588996279393184, -19.844623963093877, 1.9221086609622449]"
104,"[1285.6155969428846, -3517.16680184438, 6284.848069468832, 1093.2032271223482]","[-4.35775393422835, 11.933427402278307, -21.279800612225422, -3.684779343465064]"
105,"[3925.4211765121454, -1796.09414006624, 3929.315042644809, 983.7125844585169]","[-13.330320207574248, 6.107962058432759, -13.33488255392327, -3.3181886055356573]"
106,"[1974.6589106863596, -3006.7952127363487, 3532.754563763501, 1001.7513151295971]","[-6.720041582794851, 10.236115083345577, -12.00134105291497, -3.387107248864558]"
107,"[-1044.1335144868237, -2257.2661566490915, 3797.745220754729, 2734.125471904907]","[3.5559403923155717, 7.699753459436718, -12.925009706678955, -9.280733158773499]"
108,"[1729.1526872129114, -10.9467297440212, 4553.497300992467, 2615.8936050639163]","[-5.910611617241818, 0.039155529754940986, -15.524914526047377, -8.889790917830098]"
109,"[671.2393129500396, -166.578338673239, 7292.118835927731, 2071.2272829879385]","[-2.302423589703609, 0.5702803163045375, -24.891384608576463, -7.04964886745125]"
110,"[-311.92599479398456, -501.3086983537053, 6353.585248762482, 2995.415726838688]","[1.0658446153123171, 1.7179039942079684, -21.71134955962695, -10.2094891585929]"
111,"[-989.1229829583078, -1877.285348379999, 4260.186557963925, 1353.3677900233213]","[3.39195916426974, 6.443240766565495, -14.579868545202041, -4.621139691984474]"
112,"[-1638.9241548537323, 285.19481600438246, 5274.045247782816, 1055.228042965765]","[5.646982695947317, -0.9824365348154, -18.064143814699758, -3.6038524246376817]"
113,"[-2326.934638682194, 1912.075341893611, 5467.599375127212, 33.60809495546272]","[8.047312885452204, -6.591229635063586, -18.747027216108314, -0.13341610340756735]"
114,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
115,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
116,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
117,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
118,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
119,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
120,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
121,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
122,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
123,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
124,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
125,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
126,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
127,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
128,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
129,"[-4649.510377538217, -486.2721381176845, 20425.22278737997, 24103.930582799432]","[15.553749638310638, 1.655878522306343, -68.17601819217062, -80.26421995711924]"
130,"[741.3050264926062, 4914.652663994457, 23817.629228207214, 18302.248969789143]","[-2.4920624716842, -16.399199081385568, -79.51459039336046, -60.970192219176695]"
131,"[-1225.9935971447387, 5232.883541992855, 9897.776375006091, 17883.53128629707]","[4.10536890958452, -17.48310719438009, -33.05940775473536, -59.661317950823396]"
132,"[-2033.4375218352177, 6186.969868407357, 4343.260035656901, 17601.38621163866]","[6.821519098127802, -20.714150762987227, -14.501712225358043, -58.759368727093964]"
133,"[3667.994883206649, 1872.1174212591322, 8124.537970680065, 26281.792021289362]","[-12.321074125266147, -6.266490051549636, -27.1957950870216, -87.90686692137736]"
134,"[4321.024336074787, 3089.7851591388967, 3508.653547657765, 16636.897428589502]","[-14.529693702824018, -10.37014075250889, -11.762574103971243, -55.693110994490695]"
135,"[3266.015706293852, 2753.311392029478, 4614.491727702197, -2851.4602694921405]","[-10.991416992313876, -9.260599390499202, -15.503995386858804, 9.628936263415182]"
136,"[2596.3306887841377, 104.62578851885581, 5811.526082321864, 7778.96071812619]","[-8.747634629749449, -0.35209306838794807, -19.572266032686347, -26.15645644714853]"
137,"[6580.613597541117, 1403.3396797262708, 4547.648553640297, 4443.526458472255]","[-22.200378787598297, -4.734282000793159, -15.348128562431883, -14.97315515116832]"
138,"[5356.599298939266, 3141.5961982239514, 2637.0064026125283, 2328.261907325239]","[-18.115962476185253, -10.620976936623263, -8.92062951625659, -7.865173977030217]"
139,"[9459.521535790318, -2067.9143380410364, -474.34182312196566, 1481.0891139868047]","[-32.0400572711953, 7.0170572327560645, 1.6038394339501927, -5.011197941738627]"
140,"[7812.202960967326, -4317.182480723954, -451.8447039962233, 53.64261724504402]","[-26.498301652399604, 14.674690240807127, 1.5293794643499905, -0.1904960249429399]"
141,"[8126.696299396024, -291.83329949951025, -1376.7736496814516, -543.1609217899979]","[-27.634960597933045, 1.0031015250868172, 4.67415505645755, 1.8268436367870828]"
142,"[8853.227308834154, -4171.765356265947, -2576.5729766323043, -925.7575154990834]","[-30.13352190402271, 14.233571211174269, 8.76626907648249, 3.126634991933096]"
